Plan Control Code,Plan Control Number,Bottom Lease Number,Bottom Area,Bottom Block,Surface Lease Number,Surface Area,Surface Block,Operator Name,Operator Number,Plan Type Code,Received Date,Plan Final Action Code,Plan Final Action Date,NEPA Determination Type,Water Depth (feet),Plan
R,6965,,,,G16770,GC,  641,Chevron U.S.A. Inc.,00078,DOCD,3/18/2020,,,,4000,
S,8006,G35827,MC,  505,G35827,MC,  505,"LLOG Exploration Offshore, L.L.C.",02058,EP,3/18/2020,,,,3220,
S,8005,,,, 00184,EC,   72,"EC Offshore Properties, Inc.",03147,EP,3/17/2020,,,,52,
S,8005,00184,EC,   72, 00184,EC,   72,"EC Offshore Properties, Inc.",03147,EP,3/17/2020,,,,52,
S,8004,G36209,EI,  262,G03331,EI,  251,"Arena Offshore, LP",02628,DOCD,3/11/2020,,,CERA,160,
S,8004,,,,G03331,EI,  251,"Arena Offshore, LP",02628,DOCD,3/11/2020,,,CERA,160,
R,6963,G35662,GC,  478,G35662,GC,  478,Murphy Exploration & Production Company - USA,02647,EP,3/10/2020,,,CERA,3752,
R,6963,G35662,GC,  478,G35662,GC,  478,Murphy Exploration & Production Company - USA,02647,EP,3/10/2020,,,CERA,3790,
N,10108,G36755,GI,   45,G36755,GI,   45,"Contango Operators, Inc.",02503,EP,3/5/2020,,,CERA,106,
N,10108,,,,G36755,GI,   45,"Contango Operators, Inc.",02503,EP,3/5/2020,,,CERA,106,
R,6961,,,,G01665,MP,  288,Talos Petroleum LLC,01834,DOCD,3/5/2020,,,CERA,393,
R,6960,,,,G12355,SS,  198,"Renaissance Offshore, LLC",03209,DOCD,3/4/2020,,,CERA,100,
R,6959,,,,G02118,EI,  338,"Arena Offshore, LP",02628,DOCD,3/4/2020,,,CERA,270,
R,6960,G12355,SS,  198,G12355,SS,  198,"Renaissance Offshore, LLC",03209,DOCD,3/4/2020,,,CERA,100,
R,6958,G27277,MC,  503,G27277,MC,  503,"LLOG Exploration Offshore, L.L.C.",02058,EP,2/27/2020,,,SEA,3099,
R,6957,G04909,MP,   64,G04909,MP,   64,"Sanare Energy Partners, LLC",03520,DOCD,2/26/2020,,,CERA,41,
R,6957,,,,G04909,MP,   64,"Sanare Energy Partners, LLC",03520,DOCD,2/26/2020,,,CERA,40,
R,6957,G04909,MP,   64,G04909,MP,   64,"Sanare Energy Partners, LLC",03520,DOCD,2/26/2020,,,CERA,32,
R,6957,G04909,MP,   64,G04909,MP,   64,"Sanare Energy Partners, LLC",03520,DOCD,2/26/2020,,,CERA,35,
R,6957,,,,G04909,MP,   64,"Sanare Energy Partners, LLC",03520,DOCD,2/26/2020,,,CERA,30,
R,6957,,,,G04909,MP,   64,"Sanare Energy Partners, LLC",03520,DOCD,2/26/2020,,,CERA,32,
R,6956,,,,G10380,AC,   25,Exxon Mobil Corporation,00276,DOCD,2/26/2020,,,CERA,4825,
R,6957,G05692,MP,   65,G05692,MP,   65,"Sanare Energy Partners, LLC",03520,DOCD,2/26/2020,,,CERA,36,
R,6957,G04909,MP,   64,G04909,MP,   64,"Sanare Energy Partners, LLC",03520,DOCD,2/26/2020,,,CERA,28,
R,6957,G04909,MP,   64,G04909,MP,   64,"Sanare Energy Partners, LLC",03520,DOCD,2/26/2020,,,CERA,36,
R,6957,G04909,MP,   64,G04909,MP,   64,"Sanare Energy Partners, LLC",03520,DOCD,2/26/2020,,,CERA,40,
R,6957,G05692,MP,   65,G05692,MP,   65,"Sanare Energy Partners, LLC",03520,DOCD,2/26/2020,,,CERA,35,
R,6957,,,,G04909,MP,   64,"Sanare Energy Partners, LLC",03520,DOCD,2/26/2020,,,CERA,35,
R,6957,,,,G05692,MP,   65,"Sanare Energy Partners, LLC",03520,DOCD,2/26/2020,,,CERA,33,
R,6957,,,,G04909,MP,   64,"Sanare Energy Partners, LLC",03520,DOCD,2/26/2020,,,CERA,36,
S,8003,,,, 00378,MP,   58,"Cantium, LLC",03481,DOCD,2/21/2020,,,,53,
