LEASE_NUMBER,LEASE_STATUS_CD
G17106,EXPIR
G17107,EXPIR
G17108,EXPIR
G17109,EXPIR
G17110,EXPIR
G17111,EXPIR
G17113,REJECT
G17114,EXPIR
G17116,EXPIR
G17117,EXPIR
G17118,EXPIR
G17119,TERMIN
G17122,EXPIR
G17123,TERMIN
G17124,TERMIN
G17125,REJECT
G17126,EXPIR
G17128,EXPIR
G17129,REJECT
G17130,EXPIR
G17131,EXPIR
G17132,EXPIR
G17133,TERMIN
G17135,EXPIR
G17136,EXPIR
G17138,EXPIR
G17139,REJECT
G17140,EXPIR
G17141,EXPIR
G17142,TERMIN
G17144,RELINQ
G17145,RELINQ
G17146,REJECT
G17148,TERMIN
G17149,RELINQ
G17150,TERMIN
G17151,TERMIN
G17153,EXPIR
G17154,EXPIR
G17155,RELINQ
G17157,TERMIN
G17158,EXPIR
G17159,EXPIR
G17160,EXPIR
G17161,TERMIN
G17163,RELINQ
G17164,RELINQ
G17165,EXPIR
G17166,EXPIR
G17167,EXPIR
G17168,TERMIN
G17169,EXPIR
G17171,EXPIR
G17172,EXPIR
G17173,EXPIR
G17174,EXPIR
G17175,EXPIR
G17176,EXPIR
G17177,TERMIN
G17178,EXPIR
G17179,TERMIN
G17180,EXPIR
G17181,TERMIN
G17182,RELINQ
G17183,RELINQ
G17184,RELINQ
G17186,EXPIR
G17187,EXPIR
G17188,TERMIN
G17189,EXPIR
G17190,TERMIN
G17193,EXPIR
G17194,EXPIR
G17196,EXPIR
G17197,RELINQ
G17198,EXPIR
G17199,TERMIN
G17200,EXPIR
G17202,TERMIN
G17203,EXPIR
G17204,RELINQ
G17206,EXPIR
G17207,EXPIR
G17209,TERMIN
G17210,EXPIR
G17211,EXPIR
G17212,TERMIN
G17213,RELINQ
G17214,EXPIR
G17215,EXPIR
G17216,EXPIR
G17218,EXPIR
G17220,EXPIR
G17221,EXPIR
G17222,REJECT
G17223,RELINQ
G17227,TERMIN
G17228,REJECT
G17229,EXPIR
G17230,EXPIR
