DOC_ID,REGION,DOC_IMPORTED_DATE,DOC_PAGES,DOC_FILESIZE,ROW_NUMBER,SEGMENT_NUMBER,DOC_TYPE,DOC_NOTES,DOC_DATE
30541,Gulf of Mexico,4/4/2022 10:22:53 AM,29,1182594,G21289,12332,APPLICATION ,,9/22/1999
30542,Gulf of Mexico,4/4/2022 10:32:28 AM,431,23802040,G21012,12125,APPLICATION,,7/12/1999
30543,Gulf of Mexico,4/4/2022 10:33:02 AM,411,18087503,G21013,12129,APPLICATION,,7/27/1999
30544,Gulf of Mexico,4/4/2022 10:37:26 AM,70,3068681,G21263,12268,APPLICATION,,7/26/1999
30545,Gulf of Mexico,4/4/2022 10:39:25 AM,64,2408714,G21271,12285,APPLICATION,,8/31/1999
146,Gulf of Mexico,3/22/2000,81,2857025,G21014      ,12133,APPLICATION       ,                              ,2/19/1999
30546,Gulf of Mexico,4/4/2022 10:41:51 AM,157,7382127,G21269,12280,APPLICATION ,,9/8/1999
30547,Gulf of Mexico,4/4/2022 10:44:46 AM,182,10957937,G21277,12255,APPLICATION ,,9/24/1999
30548,Gulf of Mexico,4/4/2022 10:47:18 AM,129,5738679,G21285,12319,APPLICATION ,,9/24/1999
30549,Gulf of Mexico,4/4/2022 10:50:44 AM,194,8676981,G21261,12265,APPLICATION ,,8/24/1999
30550,Gulf of Mexico,4/4/2022 10:57:49 AM,80,3028939,G21272,12286,APPLICATION ,,10/14/1999
30551,Gulf of Mexico,4/4/2022 11:00:06 AM,91,4477402,G21268,12279,APPLICATION ,,8/16/1999
30552,Gulf of Mexico,4/4/2022 11:03:12 AM,98,4730383,G21280,12311,APPLICATION ,,10/4/1999
30553,Gulf of Mexico,4/4/2022 11:05:37 AM,77,3502116,G21066,12274,APPLICATION ,,8/13/1999
30554,Gulf of Mexico,4/4/2022 11:08:12 AM,100,4245137,G21292,12341,APPLICATION ,,10/22/1999
30555,Gulf of Mexico,4/4/2022 11:10:50 AM,144,7561759,G21276,12300,APPLICATION ,,9/16/1999
30556,Gulf of Mexico,4/4/2022 11:23:25 AM,84,3594321,G21264,12269,APPLICATION ,,8/13/1999
30557,Gulf of Mexico,4/4/2022 11:26:01 AM,90,6030832,G21044,12239,APPLICATION ,,7/21/1999
30558,Gulf of Mexico,4/4/2022 11:27:54 AM,86,3666737,G21258,12257,APPLICATION ,,9/13/1999
30559,Gulf of Mexico,4/4/2022 11:35:03 AM,89,3811953,G20578,12019,APPLICATION,,8/20/1999
