LEASE_NUMBER,SEELEASEFILE,ASSIGNMENTPERCENTAGE,ASGNEDAPPRDATE,OWNER_ALIQUOT_CD,ASGN_EFF_DATE,MMS_START_DATE,MMS_COMPANY_NUM
G22783,BP Exploration & Production Inc., 100.00000 %,5/1/2001,1,5/1/2001,11/9/2000,2481
G22785,"Pure Resources, L.P.",  50.00000 %,6/1/2001,1,6/1/2001,1/24/2001,2493
G22786,Apache Corporation, 100.00000 %,7/1/2001,1,7/1/2001,2/14/1977,105
G22804,Nippon Oil Exploration U.S.A. Limited, 100.00000 %,7/1/2001,1,7/1/2001,11/1/1989,1482
G22805,Nippon Oil Exploration U.S.A. Limited,  50.00000 %,7/1/2001,1,7/1/2001,11/1/1989,1482
G22810,Chevron U.S.A. Inc., 100.00000 %,5/1/2001,1,5/1/2001,4/21/1977,78
G22817,"Duke Energy Hydrocarbons, LLC",  63.00000 %,5/1/2001,1,5/1/2001,6/28/1999,2375
G22819,The Houston Exploration Company, 100.00000 %,7/1/2001,1,7/1/2001,8/5/1994,1046
G22824,Union Oil Company of California, 100.00000 %,7/1/2001,1,7/1/2001,6/13/1955,3
G22840,Walter Oil & Gas Corporation, 100.00000 %,5/1/2001,1,5/1/2001,5/27/1982,730
G22847,Shell Offshore Inc., 100.00000 %,6/1/2001,1,6/1/2001,12/21/1981,689
G22849,Shell Offshore Inc., 100.00000 %,6/1/2001,1,6/1/2001,12/21/1981,689
G22853,Kerr-McGee Oil & Gas Corporation, 100.00000 %,7/1/2001,1,7/1/2001,9/15/1997,2219
G22854,Samedan Oil Corporation,  75.00000 %,7/1/2001,1,7/1/2001,5/13/1968,185
G22860,"Davis Offshore, L.P.",  25.00000 %,7/1/2001,1,7/1/2001,11/13/2000,2480
G22872,Exxon Asset Management Company, 100.00000 %,7/1/2001,1,7/1/2001,8/7/1998,2295
G22876,Exxon Asset Management Company, 100.00000 %,7/1/2001,1,7/1/2001,8/7/1998,2295
G22897,Chevron U.S.A. Inc., 100.00000 %,7/1/2001,1,7/1/2001,4/21/1977,78
G22903,BP Exploration & Production Inc., 100.00000 %,7/1/2001,1,7/1/2001,11/9/2000,2481
G22921,Amerada Hess Corporation,  45.00000 %,5/1/2001,1,5/1/2001,8/25/1969,59
G22922,Amerada Hess Corporation,  45.00000 %,5/1/2001,1,5/1/2001,8/25/1969,59
G22934,Nexen Petroleum Offshore U.S.A. Inc., 100.00000 %,6/1/2001,1,6/1/2001,1/31/2001,2079
G22935,"Devon Energy Production Company, L.P.",  50.00000 %,7/1/2001,1,7/1/2001,2/1/2000,2421
G22940,Nexen Petroleum Offshore U.S.A. Inc., 100.00000 %,6/1/2001,1,6/1/2001,1/31/2001,2079
G22942,"Spinnaker Exploration Company, L.L.C.",  25.00000 %,5/1/2001,1,5/1/2001,2/14/1997,2169
G22945,Exxon Asset Management Company, 100.00000 %,5/1/2001,1,5/1/2001,8/7/1998,2295
G22950,"Dominion Exploration & Production, Inc.",  37.50000 %,7/1/2001,1,7/1/2001,,282
G22950,"Spinnaker Exploration Company, L.L.C.",  25.00000 %,7/1/2001,1,7/1/2001,,2169
G22951,Murphy Exploration & Production Company,  37.50000 %,5/1/2001,1,5/1/2001,,1689
G22959,Murphy Exploration & Production Company,  37.50000 %,6/1/2001,1,6/1/2001,,1689
G22963,BP Exploration & Production Inc., 100.00000 %,6/1/2001,1,6/1/2001,11/9/2000,2481
G22964,Nexen Petroleum Offshore U.S.A. Inc., 100.00000 %,5/1/2001,1,5/1/2001,1/31/2001,2079
G22972,"Dominion Exploration & Production, Inc.",  50.00000 %,7/1/2001,1,7/1/2001,6/14/2000,282
G22976,Exxon Asset Management Company, 100.00000 %,5/1/2001,1,5/1/2001,8/7/1998,2295
G22980,"Dominion Exploration & Production, Inc.",  50.00000 %,7/1/2001,1,7/1/2001,6/14/2000,282
G22986,BHP Billiton Petroleum (Deepwater) Inc., 100.00000 %,5/1/2001,1,5/1/2001,1/31/2003,2277
G22987,Kerr-McGee Oil & Gas Corporation, 100.00000 %,6/1/2001,1,6/1/2001,,2219
G22995,Chevron U.S.A. Inc., 100.00000 %,7/1/2001,1,7/1/2001,4/21/1977,78
G22996,Conoco Inc., 100.00000 %,7/1/2001,1,7/1/2001,10/14/1981,1
G23002,Chevron U.S.A. Inc., 100.00000 %,7/1/2001,1,7/1/2001,4/21/1977,78
G23008,BHP Billiton Petroleum (Deepwater) Inc.,  45.00000 %,7/1/2001,1,7/1/2001,1/31/2003,2277
G23008,BP Exploration & Production Inc.,  55.00000 %,7/1/2001,1,7/1/2001,11/9/2000,2481
G23043,Kerr-McGee Oil & Gas Corporation, 100.00000 %,6/1/2001,1,6/1/2001,9/15/1997,2219
G23045,Union Oil Company of California, 100.00000 %,7/1/2001,1,7/1/2001,6/13/1955,3
G23046,Union Oil Company of California, 100.00000 %,7/1/2001,1,7/1/2001,6/13/1955,3
G23100,Marathon Oil Company, 100.00000 %,10/1/2001,1,10/1/2001,9/20/1982,724
G23112,Shell Offshore Inc., 100.00000 %,10/1/2001,1,10/1/2001,12/21/1981,689
G23124,"Hydro Gulf of Mexico, L.L.C.", 100.00000 %,10/1/2001,1,10/1/2001,2/8/2006,2169
G23129,"F-W Oil Interests, Inc.", 100.00000 %,12/1/2001,1,12/1/2001,8/21/2000,2462
G23130,"F-W Oil Interests, Inc.", 100.00000 %,12/1/2001,1,12/1/2001,8/21/2000,2462
G23135,"DDD Energy, Inc.",  50.00000 %,10/1/2001,1,10/1/2001,7/22/1993,1824
G23146,"Magnum Hunter Production, Inc.", 100.00000 %,10/1/2001,1,10/1/2001,3/4/1999,2349
