API_WELL_NUMBER,MMS_COMPANY_NUM,BUS_ASC_NAME,BOTM_AREA_CODE,BOTM_BLOCK_NUM,BOTM_LEASE_NUM,DISTRICT_CODE,APD_RECEIVED_DT,SURF_N_S_DIST,SURF_N_S_CODE,SURF_E_W_DIST,SURF_E_W_CODE,SURF_AREA_CODE,SURF_BLOCK_NUM,SURF_LEASE_NUM,WELL_NAME,WELL_NAME_SFIX,WATER_DEPTH,RIG_ID_NUM,RIG_NAME,SURF_X_COORD_LOC,SURF_Y_COORD_LOC,SURF_LATITUDE,SURF_LONGITUDE,APD_APRV_DATE,REGION_CODE
608074032300,78,Chevron U.S.A. Inc.,GB,913,G34528,3,2/25/2019,2140,S,2286,W,GB,913,G34528,  001,ST00BP00,4877,50279.0,T.O. DISCOVERER INSPIRATION,1855565.756,9822939.911,27.06860028,-92.33865611,5/14/2019 11:23:03 AM,G
608074032301,78,Chevron U.S.A. Inc.,GB,913,G34528,3,7/18/2019,2140,S,2286,W,GB,913,G34528,  001,ST00BP01,4879,50279.0,T.O. DISCOVERER INSPIRATION,1855565.792,9822939.835,27.06860007,-92.338656,7/21/2019,G
608074032400,1500,"TotalEnergies E&P USA, Inc.",GB,1003,G36155,3,1/27/2020,7411,S,6007,W,GB,1003,G36155,  001,ST00BP00,4520,51095.0,NOBLE FAYE KOZACK (FKA KHAMSIN),1890967.437,9796530.939,26.995375,-92.23033833,3/24/2020 1:58:18 PM,G
608074032401,1500,"TotalEnergies E&P USA, Inc.",GB,1003,G36155,3,7/8/2020,7418,S,6011,W,GB,1003,G36155,  001,ST00BP01,4520,51095.0,NOBLE FAYE KOZACK (FKA KHAMSIN),1890970.785,9796537.624,26.99539334,-92.23032792,7/5/2020,G
608074032500,689,Shell Offshore Inc.,GB,962,G34529,3,1/1/2021,5123,S,6365,E,GB,962,G34529,  001,ST00BP00,5030,50170.0,T.O. DEEPWATER POSEIDON,1941955.016,9810083.062,27.03172333,-92.07342,3/2/2021 10:29:21 AM,G
608074032600,689,Shell Offshore Inc.,GB,962,G34529,3,4/29/2021,5983,S,7125,E,GB,962,G34529,  002,ST00BP00,5062,50170.0,T.O. DEEPWATER POSEIDON,1941194.987,9810943.022,27.034105,-92.07573583,5/1/2021 2:12:50 PM,G
608074032700,2117,Shell Gulf of Mexico Inc.,GB,386,G10350,3,12/3/2021,1194,S,3941,W,GB,386,G10350,LL006,ST00BP00,2629,50160.0,T.O. DEEPWATER PROTEUS,1873060.991,10012074.01,27.588775,-92.28153417,1/20/2022 9:49:12 AM,G
608074032800,689,Shell Offshore Inc.,GB,958,G32460,3,11/14/2022,4178,S,5727,W,GB,959,G30876,  005,ST00BP00,4360,50170.0,T.O. DEEPWATER POSEIDON,1890687.012,9809138.039,27.03007167,-92.23096361,2/1/2023 10:21:05 AM,G
608074062801,771,"Texaco Exploration and Production, Inc.",GB,269,G12644,4,8/2/1998,1272,S,8413,E,GB,269,G12644,  001,ST00BP00,1102,,,1417187.0,10043832.0,27.67630712,-93.68994043,,G
608074063501,1819,ATP Oil & Gas Corporation,GB,409,G15891,5,8/15/2006 3:28:29 PM,7689,S,7151,E,GB,409,G15891,  003,ST01BP00,1360,90628.0,DIAMOND OCEAN QUEST,1545169.0,10002729.0,27.56460706,-93.29408866,8/17/2006 8:40:06 AM,G
