PLAN_CTRL_CD,PLAN_CTRL_NUM,PLAN_SUB_CODE,PLAN_SUB_RECV_DT,DEEMED_SUBMITTED_DATE,NEPA_DETER_TYPE,PLAN_FNL_ACTN_CD,PLAN_FNL_ACTN_DT
N,7531,I,8/12/2002,8/26/2002,CERA,A,9/20/2002
S,5999,A,8/12/2002,8/15/2002,CERA,A,8/15/2002
R,3834,I,8/13/2002,8/15/2002,CERA,A,8/16/2002
S,6008,I,8/13/2002,8/27/2002,CERA,A,10/28/2002
N,7504,I,7/15/2002,7/29/2002,CERA,A,8/19/2002
R,3833,A,8/13/2002,8/21/2002,CER,A,8/21/2002
N,7447,A,6/5/2002,8/13/2002,,A,9/9/2002
S,5949,I,6/11/2002,7/10/2002,CER,A,8/14/2002
N,7532,I,8/14/2002,8/28/2002,CERA,A,10/1/2002
S,5995,A,8/12/2002,8/28/2002,CERA,A,9/17/2002
S,5900,A,6/25/2002,7/24/2002,CERA,A,10/29/2002
S,6009,I,8/14/2002,8/21/2002,CERA,A,8/21/2002
R,3835,I,8/14/2002,9/12/2002,CERA,A,9/13/2002
N,7469,A,8/9/2002,8/15/2002,,A,3/12/2003
N,7511,I,7/23/2002,8/6/2002,CERA,A,8/29/2002
N,7519,A,8/2/2002,8/2/2002,,X,8/2/2002
S,5949,A,8/5/2002,8/14/2002,CERA,A,8/14/2002
S,6004,I,8/5/2002,9/3/2002,,A,9/9/2002
S,5764,P,8/5/2002,9/3/2002,,,
N,7371,A,8/5/2002,8/5/2002,,X,8/5/2002
S,6000,A,8/5/2002,9/3/2002,,A,10/7/2002
S,5995,I,7/26/2002,8/9/2002,CERA,A,9/17/2002
N,7516,I,7/29/2002,8/26/2002,CERA,A,8/28/2002
S,6001,A,8/6/2002,8/16/2002,,A,8/16/2002
N,7511,A,8/6/2002,8/20/2002,CERA,A,8/29/2002
N,7523,I,8/6/2002,8/20/2002,CERA,A,9/19/2002
S,6004,A,8/6/2002,9/4/2002,CERA,A,9/9/2002
S,6000,I,7/31/2002,8/28/2002,CERA,A,10/7/2002
N,7520,I,7/31/2002,8/8/2002,CERA,A,8/8/2002
N,7524,I,8/7/2002,9/5/2002,CERA,A,10/21/2002
N,7497,A,8/5/2002,8/21/2002,SEAE,C,9/20/2002
N,7525,I,8/7/2002,8/21/2002,CERA,A,9/10/2002
N,7526,I,8/7/2002,8/21/2002,CERA,A,9/3/2002
S,6005,I,8/6/2002,8/9/2002,CER,A,8/9/2002
N,7518,A,8/7/2002,8/21/2002,,A,10/29/2002
N,7460,A,7/18/2002,8/1/2002,CERA,A,8/8/2002
S,5997,I,7/30/2002,8/27/2002,CERA,A,8/29/2002
