PROD_YEAR,OIL_STB,GAS_MCF
1989,280717909,4729179975
2022,631979390,784561265
1991,294773846,4801921142
1992,304865294,4743703591
1987,327567672,4615442470
2010,566628383,2250426803
2008,423394331,2329939579
2002,567877774,4526471813
2004,535355490,4005739765
2013,458988197,1328228039
2019,693004577,1034781551
1988,301206145,4669062881
1990,274588473,5006062619
1995,345074597,4874359642
2005,466925700,3155658994
2016,585717389,1220856225
2020,610125313,807061540
1993,308595948,4749049920
1985,350345117,4138956486
1998,444286882,5110552769
2009,570309328,2451076806
2001,558789512,5060518334
1997,411622518,5248698790
2000,523029835,4958172377
2018,642067723,993372453
2014,510468308,1276606546
1986,355542244,4124326693
1996,368869292,5178550641
2012,464791806,1535890027
2007,468008677,2812717546
2017,613776078,1078371375
2021,623225261,792381680
2023,680821709,750148395
1994,314095928,4920343747
1999,495172107,5057740045
2015,553008012,1307847247
2003,561420633,4428927788
2006,472077444,2922176102
2011,481697356,1826593930
