FIELD,Field 1,YEAR,DISCYR,Field 2,Orig Oil Reserves,Orig Gas Reserves,Orig BOE Reserves,Field 3,CUMOIL,CUMGAS,CUMBOE,Field 4,Oil Reserves,Gas Reserves,BOE Reserves,FCLASS
AC024,,1998,1998,,"7,798,119","9,357,743","9,463,198",,0,0,0,,"7,798,119","9,357,743","9,463,198",
AC024,,1999,1998,,"8,459,206","7,190,325","9,738,623",,0,0,0,,"8,459,206","7,190,325","9,738,623",
AC024,,2000,1998,,"4,967,694","7,451,541","6,293,591",,0,0,0,,"4,967,694","7,451,541","6,293,591",
AC024,,2001,1998,,"7,125,984","5,700,787","8,140,359",,0,0,0,,"7,125,984","5,700,787","8,140,359",
AC024,,2002,1998,,"7,125,984","5,700,787","8,140,359",,"1,600,948","1,305,359","1,833,218",,"5,525,036","4,395,428","6,307,141",
AC024,,2003,1998,,"7,125,984","5,344,488","8,076,961",,"4,104,374","3,130,467","4,661,397",,"3,021,610","2,214,021","3,415,564",
AC024,,2004,1998,,"9,639,114","7,036,553","10,891,170",,"6,415,958","4,739,432","7,259,273",,"3,223,156","2,297,121","3,631,897",
AC024,,2005,1998,,"9,639,114","7,036,553","10,891,170",,"7,869,363","5,755,718","8,893,512",,"1,769,751","1,280,835","1,997,658",
AC024,,2006,1998,,"10,442,374","7,936,204","11,854,510",,"8,871,740","6,473,620","10,023,630",,"1,570,634","1,462,584","1,830,880",
AC024,,2007,1998,,"10,832,000","8,069,840","12,267,915",,"9,370,215","6,906,017","10,599,044",,"1,461,785","1,163,823","1,668,871",
AC024,,2008,1998,,"10,832,000","8,069,840","12,267,915",,"9,730,589","7,235,128","11,017,978",,"1,101,411","834,712","1,249,937",
AC024,,2009,1998,,"10,832,000","8,069,840","12,267,915",,"9,942,118","7,375,129","11,254,419",,"889,882","694,711","1,013,496",
AC024,,2010,1998,,"10,832,000","8,069,840","12,267,915",,"9,968,955","7,404,889","11,286,551",,"863,045","664,951","981,364",
AC024,,2011,1998,,"10,832,000","8,069,840","12,267,915",,"9,980,770","7,423,406","11,301,661",,"851,230","646,434","966,254",
AC024,,2012,1998,,"12,129,011","7,653,406","13,490,827",,"10,200,492","7,457,071","11,527,373",,"1,928,519","196,335","1,963,454",
AC024,,2013,1998,,"12,129,011","7,653,406","13,490,827",,"10,642,406","7,491,445","11,975,403",,"1,486,605","161,961","1,515,424",
AC024,,2014,1998,,"12,129,011","7,653,406","13,490,827",,"11,073,786","7,563,598","12,419,622",,"1,055,225","89,808","1,071,205",
AC024,,2015,1998,,"12,129,011","7,859,599","13,527,516",,"11,490,984","7,774,489","12,874,345",,"638,027","85,110","653,171",
