WAR_START_DT,WAR_END_DT,RIG_NAME,API_WELL_NUMBER,WELL_NAME,WELL_ACTIVITY_CD,DRILLING_MD,DRILL_FLUID_WGT
3/3/2024 12:01:00 AM,3/9/2024 11:59:00 PM,* NON RIG UNIT OPERATION,177192017700,D010,PA,14455.0,8.6
3/3/2024 12:01:00 AM,3/9/2024 11:59:00 PM,* NON RIG UNIT OPERATION,177192018400,D007,PA,14455.0,8.6
10/27/2024 12:01:00 AM,11/2/2024 11:59:00 PM,T.O. DEEPWATER TITAN,608114077400,BP003,PA,14455.0,8.6
6/23/2024 12:01:00 AM,6/29/2024 11:59:00 PM,STENA EVOLUTION,608174150100,C006,PA,14455.0,8.6
5/19/2024 12:01:00 AM,5/25/2024 11:59:00 PM,* WIRELINE UNIT,608115005700,A008,PA,14455.0,8.6
5/26/2024 12:01:00 AM,6/1/2024 11:59:00 PM,* WIRELINE UNIT,608115005700,A008,PA,14455.0,8.6
6/30/2024 12:01:00 AM,7/6/2024 11:59:00 PM,STENA EVOLUTION,608174150100,C006,PA,14455.0,8.6
6/2/2024 12:01:00 AM,6/8/2024 11:59:00 PM,* WIRELINE UNIT,608115005700,A008,CHZ,9263.0,0.0
6/9/2024 12:01:00 AM,6/15/2024 11:59:00 PM,* WIRELINE UNIT,608115005700,A008,CHZ,9263.0,0.0
6/16/2024 12:01:00 AM,6/22/2024 11:59:00 PM,* WIRELINE UNIT,608115005700,A008,CHZ,9263.0,0.0
6/23/2024 12:01:00 AM,6/29/2024 11:59:00 PM,* WIRELINE UNIT,608115005700,A008,DRL,22415.0,13.5
6/30/2024 12:01:00 AM,7/6/2024 11:59:00 PM,* WIRELINE UNIT,608115005700,A008,DRL,22842.0,13.5
7/7/2024 12:01:00 AM,7/13/2024 11:59:00 PM,* WIRELINE UNIT,608115005700,A008,COM,25974.0,8.6
5/5/2024 12:01:00 AM,5/11/2024 11:59:00 PM,OLYMPUS N88,608174123600,MB023,DRL,18763.0,13.5
5/12/2024 12:01:00 AM,5/18/2024 11:59:00 PM,OLYMPUS N88,608174123600,MB023,COM,25974.0,8.6
4/21/2024 12:01:00 AM,4/27/2024 11:59:00 PM,T.O. DEEPWATER PONTUS,608174137801,VA007,COM,25974.0,8.6
4/28/2024 12:01:00 AM,5/4/2024 11:59:00 PM,T.O. DEEPWATER PONTUS,608174137801,VA007,COM,25974.0,8.6
5/10/2024,5/11/2024 11:59:00 PM,T.O. DEEPWATER PONTUS,608174138500,VA009,COM,25974.0,8.6
9/22/2024 12:01:00 AM,9/28/2024 11:59:00 PM,* NON RIG UNIT OPERATION,177202001702,A003,COM,25974.0,8.6
9/22/2024 12:01:00 AM,9/28/2024 11:59:00 PM,* NON RIG UNIT OPERATION,177204000501,A010,COM,25974.0,8.6
9/22/2024 12:01:00 AM,9/28/2024 11:59:00 PM,* NON RIG UNIT OPERATION,177204001002,A013,COM,25974.0,8.6
9/22/2024 12:01:00 AM,9/28/2024 11:59:00 PM,* NON RIG UNIT OPERATION,177204001402,A015,COM,25974.0,8.6
9/22/2024 12:01:00 AM,9/28/2024 11:59:00 PM,* NON RIG UNIT OPERATION,177204001601,A018,DRL,3538.0,9.1
9/22/2024 12:01:00 AM,9/28/2024 11:59:00 PM,* NON RIG UNIT OPERATION,177204001702,A019,DRL,7446.0,9.2
1/28/2024 12:01:00 AM,2/3/2024 11:59:00 PM,* WIRELINE UNIT,177064083301,A005,DRL,9455.0,10.7
1/28/2024 12:01:00 AM,2/3/2024 11:59:00 PM,* WIRELINE UNIT,177064079800,A001,TA,9455.0,10.7
1/28/2024 12:01:00 AM,2/3/2024 11:59:00 PM,* WIRELINE UNIT,177064070800,A004,COM,9555.0,0.0
1/28/2024 12:01:00 AM,2/3/2024 11:59:00 PM,* WIRELINE UNIT,177064072500,A005,COM,9555.0,9.2
1/21/2024 12:01:00 AM,1/27/2024 11:59:00 PM,* WIRELINE UNIT,177064074101,B003,COM,9555.0,9.2
1/28/2024 12:01:00 AM,2/3/2024 11:59:00 PM,* WIRELINE UNIT,177064074101,B003,WO,9555.0,0.0
1/28/2024 12:01:00 AM,2/3/2024 11:59:00 PM,* COIL TUBING UNIT,177064089101,A006,,,
1/28/2024 12:01:00 AM,2/3/2024 11:59:00 PM,* WIRELINE UNIT,177064087901,B005,DRL,280.0,8.9
6/23/2024 12:01:00 AM,6/29/2024 11:59:00 PM,* WIRELINE UNIT,608044013100,A017,DRL,4840.0,9.3
6/23/2024 12:01:00 AM,6/29/2024 11:59:00 PM,* WIRELINE UNIT,608044013501,A020,DRL,10150.0,10.5
6/23/2024 12:01:00 AM,6/29/2024 11:59:00 PM,* WIRELINE UNIT,177024107100,A001,DRL,10783.0,13.6
6/23/2024 12:01:00 AM,6/29/2024 11:59:00 PM,* WIRELINE UNIT,177024108701,A003,COM,10783.0,13.6
6/23/2024 12:01:00 AM,6/29/2024 11:59:00 PM,* WIRELINE UNIT,177024109102,A004,COM,10783.0,13.6
7/4/2024,7/6/2024 11:59:00 PM,* DIVE SUPPORT VESSEL (DSV),177064079800,A001,COM,,9.2
6/23/2024 12:01:00 AM,6/29/2024 11:59:00 PM,* WIRELINE UNIT,177024112800,A007,CHZ,10783.0,0.0
6/29/2024,6/29/2024 11:59:00 PM,* WIRELINE UNIT,177024110804,A006,CHZ,10783.0,0.0
6/23/2024 12:01:00 AM,6/29/2024 11:59:00 PM,* WIRELINE UNIT,608044014000,A024,CHZ,10783.0,0.0
6/23/2024 12:01:00 AM,6/29/2024 11:59:00 PM,* WIRELINE UNIT,608044014401,A029,CHZ,10783.0,0.0
3/24/2024 12:01:00 AM,3/30/2024 11:59:00 PM,VALARIS DS-16 (ROWAN RESOLUTE),608174149401,SS010,TA,10783.0,0.0
3/17/2024 12:01:00 AM,3/23/2024 11:59:00 PM,* NON RIG UNIT OPERATION,177090029900,M004,TA,10783.0,0.0
3/24/2024 12:01:00 AM,3/30/2024 11:59:00 PM,* NON RIG UNIT OPERATION,177090029900,M004,PA,10783.0,0.0
3/31/2024 12:01:00 AM,4/6/2024 11:59:00 PM,* NON RIG UNIT OPERATION,177090029900,M004,DRL,,9.2
4/7/2024 12:01:00 AM,4/13/2024 11:59:00 PM,* NON RIG UNIT OPERATION,177090029900,M004,DRL,,9.7
3/10/2024 12:01:00 AM,3/16/2024 11:59:00 PM,* NON RIG UNIT OPERATION,177090094300,014,DRL,,9.9
3/17/2024 12:01:00 AM,3/23/2024 11:59:00 PM,* NON RIG UNIT OPERATION,177090094300,014,DRL,,10.2
3/24/2024 12:01:00 AM,3/30/2024 11:59:00 PM,* NON RIG UNIT OPERATION,177090094300,014,DRL,,10.4
3/31/2024 12:01:00 AM,4/6/2024 11:59:00 PM,* NON RIG UNIT OPERATION,177090094300,014,ST,,10.9
4/7/2024 12:01:00 AM,4/13/2024 11:59:00 PM,* NON RIG UNIT OPERATION,177090094300,014,WO,7886.0,9.6
3/31/2024 12:01:00 AM,4/6/2024 11:59:00 PM,* LIFT BOAT,177084091200,A001,TA,7886.0,9.6
3/31/2024 12:01:00 AM,4/6/2024 11:59:00 PM,* LIFT BOAT,177084092201,A002,TA,7886.0,9.6
4/21/2024 12:01:00 AM,4/24/2024 11:59:00 PM,NOBLE GLOBETROTTER II,608174149201,UI005,TA,7886.0,9.6
6/16/2024 12:01:00 AM,6/22/2024 11:59:00 PM,OLYMPUS N88,608174123600,MB023,PA,7886.0,9.6
6/23/2024 12:01:00 AM,6/29/2024 11:59:00 PM,OLYMPUS N88,608174123600,MB023,PA,7886.0,9.6
6/30/2024,7/6/2024,OLYMPUS N88,608174123600,MB023,TA,12970.0,8.6
5/16/2024,5/18/2024 11:59:00 PM,VALARIS DS-18 (ROWAN RELENTLESS),608174149500,BP003,TA,12970.0,8.6
3/10/2024 12:01:00 AM,3/16/2024 11:59:00 PM,THUNDER HORSE PDQ,608174104600,TA011,PA,12970.0,8.6
3/31/2024 12:01:00 AM,4/6/2024 11:59:00 PM,* LIFT BOAT,177084094101,A006,DRL,865.0,9.0
2/25/2024 12:01:00 AM,3/2/2024 11:59:00 PM,NABORS MODS 200,608105005802,A014,TA,9505.0,8.6
3/3/2024 12:01:00 AM,3/9/2024 11:59:00 PM,NABORS MODS 200,608105005802,A014,TA,9505.0,8.6
5/19/2024 12:01:00 AM,5/25/2024 11:59:00 PM,VALARIS DS-18 (ROWAN RELENTLESS),608174149500,BP003,TA,9505.0,8.6
