INCCOUNT,INC_ISSUE_DATE,BUS_ASC_NAME,MMS_COMPANY_NUM
1,8/13/1984,Exxon Mobil Corporation,276
2,11/4/1983,"Hilcorp North Slope, LLC",113
3,12/10/1978,ConocoPhillips Company,56
1,4/19/2017 10:56:03 AM,"Hilcorp Alaska, LLC",3361
1,10/1/1991,BP America Production Company,114
1,10/4/1985,SWEPI LP,832
1,6/23/1984,Exxon Mobil Corporation,276
1,6/18/1983,"ConocoPhillips Alaska, Inc.",635
1,9/23/1993,"ConocoPhillips Alaska, Inc.",635
1,10/27/1978,ConocoPhillips Company,56
3,7/3/1989,SWEPI LP,832
1,7/19/1989,SWEPI LP,832
3,3/16/1982,"ConocoPhillips Alaska, Inc.",635
1,6/17/1983,"ConocoPhillips Alaska, Inc.",635
