API_WELL_NUMBER,WELL_NAME,BUS_ASC_NAME,OPERATIONS_COMPLETED_DATE,TOOL_LOGGING_METHOD_NAME,LOG_INTV_TOP_MD,LOG_INTV_BOTM_MD,LOG_TOOL_TYPE_CODE
177114156300,002,SCHLUMBERGER,3/25/2017,MWD/LWD,30733,30891,AGR
608074031400,002,SCHLUMBERGER,6/17/2017,MWD/LWD,21549,26972,AGR
608174128900,006,SCHLUMBERGER,7/15/2017,MWD/LWD,30730,31646,AGR
177104167601,K018,SCHLUMBERGER,7/15/2017,WIRELINE,27990,31646,AGR
608084004700,002,SCHLUMBERGER,9/4/2017,MWD/LWD,29918,33390,AGR
608114061500,MD018,SCHLUMBERGER,6/23/2018,MWD/LWD,8722,10041,AGR
177104167800,K017,SCHLUMBERGER,7/6/2018,MWD/LWD,10041,11218,AGR
177144001205,076,SCHLUMBERGER,7/14/2018,MWD/LWD,11218,12081,AGR
608174128900,006,SCHLUMBERGER,7/17/2018,MWD/LWD,12081,13640,AGR
608174112305,PI001,SCHLUMBERGER,1/24/2019,MWD/LWD,9273,11550,AGR
608114007502,A005,SCHLUMBERGER,10/12/2019,WIRELINE,18607,23220,AGR
177144001503,078,SCHLUMBERGER,12/2/2019,MWD/LWD,7052,7082,AGR
177114156100,C008,SCHLUMBERGER,12/2/2019,MWD/LWD,1604,7081,AGR
177094121802,A005,SCHLUMBERGER,12/2/2019,MWD/LWD,1604,7081,AGR
608124009400,JU101,SCHLUMBERGER,1/19/2021,MWD/LWD,4308,6025,AGR
177190084601,C004,SCHLUMBERGER,1/22/2021,MWD/LWD,6025,7245,AGR
608114063200,006,SCHLUMBERGER,4/28/2021,MWD/LWD,7245,10800,AGR
177114020302,B017,SCHLUMBERGER,5/6/2021,MWD/LWD,10800,20957,AGR
608114066900,005,SCHLUMBERGER,5/15/2021,MWD/LWD,20957,22701,AGR
177064098401,A004,SCHLUMBERGER,5/22/2021,MWD/LWD,22701,31430,AGR
608114066300,PC001,SCHLUMBERGER,5/23/2021,MWD/LWD,31430,31512,AGR
608174134500,002,SCHLUMBERGER,6/3/2021,WIRELINE,31050,31502,AGR
608174123200,006,SCHLUMBERGER,6/5/2021,WIRELINE,22904,31325,AGR
608174135000,001,SCHLUMBERGER,12/12/2015,MWD/LWD,21800,32318,AGR
608174133200,001,SCHLUMBERGER,1/8/2016,WIRELINE,31275,32400,AGR
