SN_APD_CSG_INTV,SN_APD_FK,CSNG_INTV_NUM,CSNG_INTV_TYPE_CD,CSNG_INTV_NAME,CSNG_HOLESIZE,CSNG_MUD_WGT_PPG,CSNG_MUD_TYPE_CD,CSNG_FRAC_GRAD_PPG,CSNG_TOP_MD,CSNG_CEMENT_VOL,CSNG_PREVENTER_CD,CSNG_BOP_STACK_SIZE,CSNG_WELLHEAD_RATING,CSNG_ANNULAR_RATING,CSNG_BOP_RATING,CSNG_ANNULAR_TEST_PRSS,CSNG_BOP_DIV_TEST_PRSS,CSNG_MUD_TEST_PRSS,CSNG_LINER_TEST,CSNG_FORMATION_TEST_PRSS
-323629,-14874,2,C,P,6.75,10.5,OBM,15.0,0.0,276.0,BOP,13.625,5000.0,5000.0,10000.0,3500,5000,9.0,2600.0,
-324356,-14905,1,C,C,24.0,9.0,WBM,12.0,0.0,2840.0,DIV,21.25,3000.0,0.0,2000.0,0,250,9.0,250.0,0.0
-324358,-14905,3,C,I,12.25,11.5,WBM,17.6,0.0,783.0,BOP,13.625,10000.0,5000.0,10000.0,3500,10000,11.5,6000.0,17.6
-324359,-14905,4,L,P,8.5,14.6,WBM,18.3,12992.0,316.0,BOP,13.625,10000.0,5000.0,10000.0,3500,10000,14.6,3500.0,0.0
-324360,-14906,1,C,C,26.0,8.6,WBM,10.7,,6230.0,BOP,18.75,15000.0,10000.0,15000.0,5000,5000,9.8,1600.0,10.7
-324361,-14906,2,C,S,17.5,10.2,SBM,11.9,,1140.0,BOP,18.75,15000.0,10000.0,15000.0,5000,5000,10.2,2100.0,11.7
-325443,-14932,1,C,C,20.0,9.0,WBM,11.8,0.0,1967.0,DIV,30.0,3000.0,500.0,500.0,250,250,9.0,250.0,0.0
-325444,-14932,2,C,S,13.5,9.5,WBM,14.7,0.0,3078.0,BOP,13.625,3000.0,5000.0,10000.0,3500,5000,9.5,2600.0,14.7
-325445,-14932,3,C,P,9.875,12.5,SBM,17.5,0.0,1207.0,BOP,13.625,5000.0,5000.0,10000.0,3500,5000,12.5,4825.0,0.0
-325446,-14933,1,C,C,26.0,10.5,WBM,12.4,,7997.0,BOP,18.75,15000.0,10000.0,15000.0,3500,8100,8.6,2150.0,12.4
-325447,-14933,2,L,S,20.0,11.9,SBM,14.2,4100.0,2044.0,BOP,18.75,15000.0,10000.0,15000.0,3500,8100,11.9,1525.0,14.2
-325448,-14933,3,C,I,16.5,13.7,SBM,16.0,,1629.0,BOP,18.75,15000.0,10000.0,15000.0,3500,8100,13.7,5300.0,16.0
-325449,-14933,4,L,I,14.5,14.5,SBM,16.7,11200.0,1185.0,BOP,18.75,15000.0,10000.0,15000.0,3500,8100,14.5,3650.0,16.7
-325450,-14933,5,L,P,12.25,15.2,SBM,17.3,,1196.0,BOP,18.75,15000.0,10000.0,15000.0,3500,8100,15.2,3250.0,0.0
-351714,-16036,1,C,I,9.875,10.8,WBM,15.4,0.0,0.0,BOP,13.625,5000.0,5000.0,10000.0,3500,5000,8.6,3000.0,12.5
-351715,-16036,2,C,P,6.75,10.4,OBM,16.2,0.0,353.0,BOP,13.625,5000.0,5000.0,10000.0,3500,5000,9.3,4000.0,0.0
-354734,-16140,2,C,S,26.0,9.5,WBM,12.3,4226.0,6270.0,BOP,18.75,15000.0,10000.0,15000.0,6150,6500,8.6,3000.0,12.2
-354735,-16140,3,L,I,21.0,12.0,SBM,16.2,7526.0,2420.0,BOP,18.75,15000.0,10000.0,15000.0,6150,6500,12.0,3000.0,16.0
-354736,-16140,4,C,I,16.5,15.1,SBM,16.3,4226.0,2060.0,BOP,18.75,15000.0,10000.0,15000.0,5900,6500,15.1,4275.0,15.5
-354737,-16140,5,L,I,12.25,13.5,SBM,16.5,25980.0,530.0,BOP,18.75,15000.0,10000.0,15000.0,6100,6500,13.5,4700.0,15.5
-352181,-16045,7,L,P,12.25,12.8,SBM,15.8,14432.0,830.0,BOP,18.75,10000.0,10000.0,15000.0,4500,4500,13.0,2000.0,0.0
-352667,-16065,1,C,C,26.0,9.8,WBM,12.5,0.0,3374.0,DIV,30.0,3000.0,0.0,1000.0,0,250,9.8,250.0,0.0
-352668,-16065,2,C,S,20.0,11.7,WBM,15.5,0.0,4405.0,BOP,16.75,5000.0,5000.0,5000.0,3500,5000,11.7,3300.0,15.5
-352669,-16065,3,L,I,17.5,13.4,SBM,15.5,4880.0,156.0,BOP,16.75,5000.0,5000.0,5000.0,3500,5000,13.4,1100.0,15.5
-352670,-16065,4,C,I,17.5,14.6,SBM,17.3,0.0,1439.0,BOP,13.625,10000.0,5000.0,10000.0,3500,7500,14.6,6600.0,17.3
-352671,-16065,5,C,P,12.24,16.5,WBM,18.5,0.0,1646.0,BOP,13.625,10000.0,5000.0,10000.0,3500,7500,16.5,6600.0,18.5
-352672,-16065,6,L,P,8.5,17.3,WBM,18.7,12850.0,425.0,BOP,13.625,10000.0,5000.0,10000.0,3500,7500,17.3,1800.0,0.0
-352686,-16066,1,C,C,26.0,9.8,WBM,12.5,0.0,3374.0,DIV,30.0,3000.0,0.0,1000.0,0,250,9.8,250.0,0.0
-352687,-16066,2,C,S,20.0,11.7,WBM,15.5,0.0,4405.0,BOP,16.75,5000.0,5000.0,5000.0,3500,5000,11.7,3300.0,15.5
-352688,-16066,3,L,I,17.5,13.4,SBM,15.5,4880.0,156.0,BOP,16.75,5000.0,5000.0,5000.0,3500,5000,13.4,1100.0,15.5
-352689,-16066,4,C,I,17.5,14.6,SBM,17.3,0.0,1439.0,BOP,13.625,10000.0,5000.0,10000.0,3500,7500,14.6,6600.0,17.3
-352690,-16066,5,C,P,12.24,16.5,WBM,18.5,0.0,1646.0,BOP,13.625,10000.0,5000.0,10000.0,3500,7500,16.5,6600.0,18.5
-352691,-16066,6,L,P,8.5,17.3,WBM,18.7,12850.0,425.0,BOP,13.625,10000.0,5000.0,10000.0,3500,7500,17.3,1800.0,0.0
-352717,-16058,1,L,P,8.5,16.3,WBM,17.7,9564.0,702.0,BOP,18.75,10000.0,10000.0,15000.0,3500,8500,16.3,1500.0,17.1
-352723,-16070,1,C,I,17.5,15.2,SBM,16.6,,387.0,BOP,18.75,15000.0,10000.0,15000.0,5300,9650,15.4,6700.0,16.5
-352722,-16058,2,L,P,6.0,16.6,WBM,18.0,13120.0,220.0,BOP,18.75,10000.0,10000.0,15000.0,3500,8500,16.6,1300.0,18.0
-352724,-16070,2,L,I,14.5,15.4,SBM,16.6,20115.0,745.0,BOP,18.75,15000.0,10000.0,15000.0,5300,9650,15.4,2100.0,16.5
-352725,-16070,3,L,I,13.0,15.7,SBM,16.6,26422.0,205.0,BOP,18.75,15000.0,10000.0,15000.0,5300,9650,15.7,1700.0,16.6
-352726,-16070,4,L,I,12.25,15.9,SBM,16.7,26372.0,641.0,BOP,18.75,15000.0,10000.0,15000.0,5300,9650,15.9,1400.0,16.7
-352712,-16068,1,L,C,28.0,10.0,WBM,13.5,911.0,3743.0,DIV,30.0,1000.0,0.0,1000.0,0,250,10.0,250.0,12.7
-352713,-16068,2,C,S,24.0,11.8,WBM,15.1,,5287.0,BOP,21.25,5000.0,5000.0,10000.0,1500,5000,11.8,2785.0,15.7
-352714,-16068,3,C,I,17.5,15.0,WBM,17.5,,5515.0,BOP,21.25,10000.0,5000.0,10000.0,3500,8000,15.0,7000.0,17.2
-352715,-16068,4,L,I,14.75,14.7,SBM,18.1,9979.0,1117.0,BOP,21.25,1000.0,5000.0,10000.0,3500,8000,14.7,2700.0,17.8
-352716,-16068,5,L,P,12.25,16.2,SBM,18.5,12225.0,2686.0,BOP,21.25,15000.0,5000.0,10000.0,3500,8000,16.2,2500.0,0.0
-352727,-16070,5,O,O,10.25,16.2,SBM,16.7,,,BOP,18.75,15000.0,10000.0,15000.0,0,0,0.0,,
-352745,-16069,1,L,P,7.5,15.2,WBM,17.1,7330.0,780.0,BOP,13.625,10000.0,5000.0,10000.0,3500,5000,15.2,1100.0,0.0
-352746,-16071,1,C,C,30.0,9.3,GSW,9.4,0.0,3790.0,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0
-352747,-16071,2,C,C,24.0,10.4,GSW,11.4,0.0,7147.0,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0
-352748,-16071,3,L,S,20.0,10.8,SBM,12.2,8953.0,2069.0,BOP,18.75,15000.0,10000.0,15000.0,6600,6600,10.8,1800.0,12.2
-352749,-16071,4,C,I,17.5,11.4,SBM,12.7,0.0,1825.0,BOP,18.75,15000.0,10000.0,15000.0,6600,6600,11.4,1500.0,12.7
-352750,-16071,5,C,I,12.25,12.2,SBM,12.7,0.0,924.0,BOP,18.75,15000.0,10000.0,15000.0,6600,6600,11.3,3300.0,12.7
-352751,-16071,6,L,I,9.875,11.3,SBM,13.1,12322.0,432.0,BOP,18.75,15000.0,10000.0,15000.0,6600,6600,11.3,1690.0,13.1
-352752,-16071,7,L,P,8.5,12.2,SBM,13.7,12122.0,474.0,BOP,18.75,15000.0,10000.0,15000.0,6600,6600,12.2,4000.0,13.7
-352802,-16073,1,C,C,30.0,9.3,GSW,9.4,0.0,3790.0,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0
-352803,-16073,2,C,C,24.0,10.4,GSW,11.4,0.0,7147.0,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0
-352804,-16073,3,L,S,20.0,10.8,SBM,12.2,8953.0,2069.0,BOP,18.75,15000.0,10000.0,15000.0,6600,6600,10.8,1800.0,12.2
-352805,-16073,4,C,I,17.5,11.4,SBM,12.7,0.0,1825.0,BOP,18.75,15000.0,10000.0,15000.0,6600,6600,11.4,1500.0,12.7
-352806,-16073,5,C,I,12.25,12.2,SBM,12.7,0.0,924.0,BOP,18.75,15000.0,10000.0,15000.0,6600,6600,11.3,3300.0,12.7
-352807,-16073,6,L,I,9.875,11.3,SBM,13.1,12322.0,432.0,BOP,18.75,15000.0,10000.0,15000.0,6600,6600,11.3,1690.0,13.1
-352808,-16073,7,L,P,8.5,12.2,SBM,13.7,12122.0,474.0,BOP,18.75,15000.0,10000.0,15000.0,6600,6600,12.2,4000.0,13.7
-352817,-16074,1,C,C,32.0,9.1,WBM,9.6,0.0,3174.0,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0
-352818,-16074,2,C,S,32.0,9.5,WBM,10.0,0.0,2420.0,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0
-352819,-16074,3,C,S,26.0,10.5,WBM,11.1,0.0,4900.0,BOP,18.75,15000.0,10000.0,15000.0,5900,5900,8.6,4500.0,10.9
-352820,-16074,4,L,I,22.0,10.6,SBM,11.7,6719.0,606.0,BOP,18.75,15000.0,10000.0,15000.0,5900,5900,10.6,1000.0,11.7
-352821,-16074,5,L,I,20.0,11.2,SBM,15.0,6222.0,962.0,BOP,18.75,15000.0,10000.0,15000.0,5900,5900,11.2,2100.0,15.0
-352822,-16074,6,C,I,17.5,14.0,SBM,16.4,0.0,2018.0,BOP,18.75,15000.0,10000.0,15000.0,6700,8300,14.8,2900.0,16.0
-352823,-16074,7,L,I,14.75,14.4,SBM,16.0,20534.0,771.0,BOP,18.75,15000.0,10000.0,15000.0,6700,8300,14.8,1200.0,15.7
