SN_EOR_FK,CASING_SIZE,CASING_CUT_DATE,CASING_CUT_METHOD_CD,CASING_CUT_DEPTH,CASING_CUT_MDL_IND
-163871,10.75,5/26/2016,M,25,BELOW
-163871,16.0,5/26/2016,M,25,BELOW
-163871,30.0,5/26/2016,M,22,BELOW
-163870,7.625,5/27/2016,M,25,BELOW
-163870,9.625,5/27/2016,M,25,BELOW
-163870,13.375,5/27/2016,M,25,BELOW
-163870,16.0,5/27/2016,M,25,BELOW
-168030,7.625,5/24/2017,M,325,BELOW
-168030,11.875,5/31/2016,S,18,BELOW
-173751,26.0,8/30/2018,M,586,ABOVE
-173751,16.0,8/30/2018,M,586,ABOVE
-173751,10.75,8/30/2018,M,586,ABOVE
-173751,7.625,8/30/2018,M,586,ABOVE
-174227,36.0,9/4/2018,M,108,ABOVE
-174394,16.0,10/4/2018,M,20,BELOW
-174228,16.0,9/4/2018,M,102,ABOVE
-174228,11.88,9/4/2018,M,102,ABOVE
-174229,20.0,9/4/2018,M,108,ABOVE
-174347,10.75,9/22/2018,S,25,BELOW
-174347,16.0,9/22/2018,S,25,BELOW
-174347,26.0,9/23/2018,S,20,BELOW
-177173,30.0,8/1/2019,M,19,BELOW
-178189,10.75,8/21/2019,E,20,BELOW
-177972,7.0,8/25/2019,M,306,BELOW
-178548,10.75,3/20/2019,M,25,BELOW
-177982,7.0,8/26/2019,M,325,BELOW
-179588,10.75,1/5/2020,M,24,BELOW
-178230,10.75,10/16/2019,M,21,BELOW
-178230,20.0,10/16/2019,M,21,BELOW
-181171,10.75,5/28/2019,M,25,BELOW
-181171,30.0,5/28/2019,M,25,BELOW
-181192,13.375,7/4/2019,M,25,BELOW
-181193,20.0,11/20/2018,M,20,BELOW
-181193,30.0,11/20/2018,M,20,BELOW
-198455,9.625,12/17/2022,M,25,BELOW
-198455,13.375,12/17/2022,M,25,BELOW
-198455,30.0,12/17/2022,M,25,BELOW
-198496,30.0,12/25/2022,M,33,BELOW
-198496,20.0,12/25/2022,M,33,BELOW
-198496,13.375,12/25/2022,M,33,BELOW
-198497,9.625,12/25/2022,M,25,BELOW
-198497,13.375,12/25/2022,M,25,BELOW
-198497,30.0,12/25/2022,M,25,BELOW
-197915,13.375,12/31/2022,M,20,BELOW
-197915,20.0,12/31/2022,M,20,BELOW
-197915,24.0,12/31/2022,M,20,BELOW
-197843,20.0,1/11/2023,M,20,BELOW
-198764,24.0,1/30/2023,M,22,BELOW
-201077,10.75,12/15/2023,M,19,BELOW
-201077,16.0,12/15/2023,M,19,BELOW
-201077,24.0,12/16/2023,M,18,BELOW
-201214,9.625,12/23/2023,M,17,BELOW
-201214,11.75,12/23/2023,M,17,BELOW
-201214,16.0,12/23/2023,M,17,BELOW
-201059,20.0,11/27/2024,M,29,BELOW
-203160,13.375,11/29/2024,M,30,BELOW
-203160,20.0,11/30/2024,M,27,BELOW
-203144,11.75,11/23/2024,M,29,BELOW
-203144,20.0,11/30/2024,M,29,BELOW
-165869,10.75,10/17/2016,M,15,BELOW
-165869,16.0,10/18/2016,M,15,BELOW
-165869,30.0,10/18/2016,M,15,BELOW
-165869,48.0,10/18/2016,M,15,BELOW
-165899,10.75,10/15/2016,M,16,BELOW
-165899,16.0,10/17/2016,M,15,BELOW
-165899,30.0,10/17/2016,M,15,BELOW
-165441,16.0,10/14/2016,M,22,BELOW
-165441,30.0,10/18/2016,M,19,BELOW
-165588,30.0,9/18/2016,E,25,BELOW
-165588,20.0,9/18/2016,E,25,BELOW
-165588,13.375,9/18/2016,E,25,BELOW
-165567,9.625,9/18/2016,E,15,BELOW
-165525,30.0,9/18/2016,E,15,BELOW
-165525,16.0,9/18/2016,E,15,BELOW
-165525,10.75,9/18/2016,E,15,BELOW
-165561,30.0,9/18/2016,E,15,BELOW
-165561,16.0,9/18/2016,E,15,BELOW
-166394,10.75,12/17/2016,M,20,BELOW
-165649,13.375,10/4/2016,M,39,BELOW
