SN_EOR_FK,GEO_MARKER_NAME,TOP_MD
-108634,L Sand,10390.0
-109363,J2/J3 Sand,12909.0
-133932,J-1 Sand,12838.0
-139301,J-1 Sand,12782.0
-170636,J-2,12874.0
-178162,J-2,12874.0
-178162,J-1,12782.0
-108813,Bul(1)4,9888.0
-108870,Cip Op 2 D Sand,16700.0
-108893,Calabrian- 1,16837.0
-108893,Piacenzian-1A,17957.0
-108893,Piacenzian-1B,18104.0
-109088,LN Sand,
-109088,LP Sand,
-109088,IM Sand,
-108948,MS Sand,
-108948,PG Sand,13575.0
-108948,PI H-4 Sand,13659.0
-108948,PK H-4 Sand,13730.0
-108948,PD H-1 Sand,13459.0
-108948,PN (UPR) A-3 Sand,13927.0
-108948,PQ H-1 Sand,14092.0
-173593,PQ H-1,14092.0
-173593,PN (UPR) A-3,13928.0
-175144,PQ H-1,14092.0
-175144,PN UPR A-3,13928.0
-175144,PK H-4,13730.0
-173593,PK H-4,13730.0
-195966,PQ H1,14092.0
-195966,PN UPR A-3,13928.0
-195966,PK H-4,13730.0
-191053,PQ H-1,14092.0
-191053,PN (UPR) A-3,13928.0
-191053,PK H-4,13730.0
-178687,PQ H-1,14092.0
-178687,PN UPR A-3,13928.0
-178687,PK H-4,13730.0
-111411,Top of Big Hum,
-111411,Reservoir A,
-111411,Reservoir B,
-109045,G1,13932.0
-109045,G2,14086.0
-109045,G3,14326.0
-109045,G4,
-109045,J2,15082.0
-109045,Base J4,15132.0
-109045,L,
-109045,E,12212.0
-109045,F ,13554.0
-109045,H,14573.0
-109045,I1,14862.0
-109045,I2,14952.0
-109045,J-O,15020.0
-109045,J6,15294.0
-108943,G0 Sand,7962.0
-108943,G Sand,8052.0
-108943,G2 Sand,8252.0
-108943,L-4 Sand,10766.0
-110143,"6,250' Sand",6895.0
-110143,6800' Sand,7900.0
-110143,6900' Sand,8600.0
-109737,L7 A-1 Sand,14710.0
-108971,Cris I,
-109043,Cris R-2,
-109435,2450' Sand,2300.0
-109435,4600' Sand,4290.0
-109435,6400' Sand,6111.0
-109435,TEX X,2856.0
-109435,Amph E,5736.0
-109948,Lower Tex. X Sand,
-109890,7650' Sand,
-110101,GALT-40,
-110101,GMARG-10,
-109669,M-2 Sand,13010.0
-109669,MA Sand,
-109456,N Sand,8612.0
