SN_EOR,EOR_OPERATION_CD,API_WELL_NUMBER,WELL_NAME,WELL_NM_ST_SFIX,WELL_NM_BP_SFIX,MMS_COMPANY_NUM,BUS_ASC_NAME,BOTM_LEASE_NUMBER,BOTM_AREA_CODE,BOTM_BLOCK_NUMBER,SURF_LEASE_NUMBER,SURF_AREA_CODE,SURF_BLOCK_NUMBER,BOREHOLE_STAT_CD,BOREHOLE_STAT_DT,OPERATIONAL_NARRATIVE,SUBSEA_COMPLETION_FLAG,SUBSEA_PROTECTION_FLAG,SUBSEA_COMPLETION_BUOY_FLAG,SUBSEA_TREE_HEIGHT_AML,OBSTRUCTION_PROTECTION_FLAG,OBSTRUCTION_TYPE_CD,OBSTRUCTION_BUOY_FLAG,OBSTRUCTION_HEIGHT_AML
-182416,O,608174108300,BF004,0,0,78,Chevron U.S.A. Inc.,G16641,MC,696,G16641,MC,696,COM,12/18/2007,Tubing soak and acidizing operations. No changes to the wellbore.,YES,NO,NO,24.0,NO,,NO,
-182415,O,608174108202,BF003,1,1,78,Chevron U.S.A. Inc.,G16641,MC,696,G16641,MC,696,COM,2/5/2019,Tubing soak and acidizing operations. No changes to the wellbore.,YES,NO,NO,25.0,,,,
-182476,O,608164029700,A006,0,0,981,Anadarko Petroleum Corporation,G06894,VK,915,G06894,VK,915,TA,8/17/2020,Performed Zonal Isolation,NO,NO,NO,,NO,,NO,
-182932,A,177074057701,A001,1,0,3295,Fieldwood Energy LLC,G08680,SM,18,G08680,SM,18,TA,11/7/2020,Operations to temporarily abandon the well were completed on 11/07/2020.,NO,NO,NO,,NO,,NO,
-182973,A,177094148400,016,0,0,2628,"Arena Offshore, LP",G02601,EI,57,G02601,EI,57,TA,10/5/2020,Temporary abandonment through surface plug.,NO,NO,NO,,NO,,NO,
-183876,O,608114032400,A013,0,0,981,Anadarko Petroleum Corporation,G11080,GC,644,G11081,GC,645,COM,3/26/2006,Coil Tubing Acid Stimulation,NO,NO,YES,,,,,
-183879,W,608074019503,A001,2,0,1284,"W & T Offshore, Inc.",G11573,GB,783,G11573,GB,783,COM,6/26/2006,Pulled and re-installed re-designed PB valve,NO,NO,NO,,,,,
-184953,C,608084006500,SS009,0,0,981,Anadarko Petroleum Corporation,G21447,KC,919,G21444,KC,875,COM,2/9/2021,Performed completion operations,YES,NO,NO,21.0,NO,,NO,
-184955,C,177094045701,H010,1,0,2628,"Arena Offshore, LP",G00983,EI,252,G00982,EI,238,COM,4/26/2000,Zone change to the D-2 Sand.,NO,NO,NO,,NO,,NO,
-191833,W,177014039001,A002,1,0,105,Apache Corporation,G24730,WC,295,G24730,WC,295,COM,11/27/2006,Set XRRR Plug @ 350' MD,NO,NO,NO,,NO,,NO,
-198302,A,177072004300,034,0,0,105,Apache Corporation,G01182,SM,11,G01182,SM,11,TA,12/10/2022,,NO,NO,NO,,NO,,NO,
-198354,O,608114069101,SS002,1,0,2899,Talos ERT LLC,G33242,GC,281,G33242,GC,281,COM,12/4/2017,Performed extended flow test of the well's lobes,YES,NO,NO,23.0,,,,
