SN_HC_BEARING_INTVL,SN_EOR_FK,INTERVAL_NAME,TOP_MD,BOTTOM_MD,HYDROCARBON_TYPE_CD
-66983,-120005,A-9 STR SD 145,10592,10604.0,G
-66984,-120005,B-1 SEG100,11408,11480.0,G
-67367,-120013,B-1 SD SEG145,8557,8568.0,G
-67368,-120013,B-2 SEG925,9618,9730.0,G
-67369,-120014,2800'SD SEG110,5069,5116.0,G
-67370,-120014,3200SEG110,5690,5702.0,G
-67089,-120015,1700 SEG110,3343,3910.0,G
-59424,-112130,B-2 S550,8506,8570.0,G
-66985,-120020,2800 S950,2786,2806.0,G
-66986,-120020,B2 S950,8483,8590.0,G
-67180,-119564,D-1 SEG580,11640,11670.0,G
-67181,-119564,D-6 SEG580,12236,12256.0,G
-67182,-119564,E-1 SEG580,12624,12655.0,G
-67342,-119573,B-2 SAND,8670,8760.0,G
-67343,-119573,B-4 SEG400,9160,9180.0,G
-67344,-119573,C-1 SEG400,9343,9360.0,G
-67345,-119573,D-1 SEG400,11376,11393.0,G
-66987,-119586,1700 SEG950,3022,3644.0,G
-67302,-113951,3200SEG950,3552,3570.0,G
-61507,-114150,D-7 Sand,10422,10444.0,G
-68840,-124951,D-6 Sand,10316,10330.0,G
-106581,-178431,E-1 SEG400,10550,10620.0,G
-60701,-113627,F Stray,12256,12280.0,G
-106261,-178432,F SEG200,12360,12520.0,G
-21027,-30316,JQ Sand Sel S-1,10305,10309.0,O
-21028,-30316,KJ Sand ,11213,11259.0,O
-21029,-30316,KS Sand Sel R-1,11835,11839.0,O
-21030,-30617,JR S1 Sand,10068,10072.0,O
-21031,-30617,JH R2 Sand,9567,9571.0,O
-21036,-28826,KS Sand,11838,11856.0,G
-21037,-28826,KK Sand,11230,11265.0,O
-21038,-28826,KJ Sand,11118,11160.0,O
-47611,-87952,B-9 Sand,7952,7956.0,G
-66269,-120994,MASSIV-G,8512,8786.0,G
-66270,-120994,B-6 Sand,7756,7790.0,G
-66271,-120994,C-1 Sand,8240,8258.0,G
-95558,-164265,C1,8956,9008.0,G
-95559,-164265,B5 & B6,8388,8432.0,G
-95645,-164266,Mass B-11 Sand,9173,9297.0,G
-95646,-164266,Mass B-5 Sand,9007,9136.0,G
-95642,-164269,Mass B-4,9466,9522.0,G
-95643,-164269,Massiv G,9238,9408.0,G
-95644,-164269,B14 FBB4,8448,8477.0,G
-74033,-131564,MASS B4,8980,9130.0,G
-95630,-164276,Mass A-5,9621,9894.0,G
-95631,-164276,B-6 Sand,8784,8802.0,G
-29567,-48308,A-9 Sand,7202,7206.0,G
-95626,-164277,A-18 Sand,7540,7543.0,G
-95627,-164277,A-20 Sand,7580,7585.0,G
-95628,-164277,A-22 Sand,7742,7753.0,G
-95629,-164277,Mass B-4 Sand,8934,9260.0,G
-95621,-164278,Massive ,9390,9538.0,G
-95622,-164278,Mass B-11,9244,9334.0,G
-95623,-164278,C-1 Sand,8876,8906.0,G
-95624,-164278,B-12 Sand,8500,8524.0,G
-95625,-164278,B-6 Sand,8376,8418.0,G
-95619,-164279,B Series,8010,8145.0,G
-95620,-164279,Mass B-5,9084,9100.0,G
-29566,-48327,A-24 Sand,7618,7624.0,G
-37186,-66757,A-20 Sand,7362,7370.0,G
-95588,-164280,T Sand,9204,9270.0,G
-95589,-164280,G Sand,8707,8747.0,G
-95590,-164280,C-1 Sand,8334,8346.0,G
-95579,-164282,Mass B4,8888,8946.0,G
-95580,-164282,Mas FBB4,8836,8858.0,G
-95581,-164282,Mass G/GJ,8715,8787.0,G
-95582,-164282,B-12 Sand,8144,8166.0,G
-95584,-164283,C-1 Sand,8674,8690.0,G
-95585,-164283,B-5/6 Sand,8147,8195.0,G
-95586,-164283,A-22 Sand,7652,7655.0,G
-95587,-164283,A-4 FBB,6996,7008.0,G
-48932,-89456,5600' Sand,9614,9750.0,G
-42834,-73099,CI (4) SAND,4156,4185.0,G
-42835,-73099,D (5) SAND,4276,4290.0,G
-42836,-73099,Da (8) SAND,4406,4415.0,G
-42837,-73099,Db (7) SAND,4502,4540.0,B
-42840,-73099,Dh (3b) SAND,5106,5164.0,B
-42838,-73099,Dd (2) SAND,4650,4696.0,B
-42839,-73099,CMB SAND,4800,4850.0,B
-42854,-73099,CD-5,3658,3698.0,G
-85716,-149351,U--FB-2,10000,10006.0,O
-87404,-152975,Lentic 3,13656,13820.0,G
-87405,-152975,L 4,13962,14165.0,G
-87466,-153077,L-3,13742,13950.0,G
-87467,-153077,L-4,14030,14118.0,G
-95335,-164018,1290' Sand,15266,15430.0,G
