API_WELL_NUMBER,BOTM_LEASE_NUM,WELL_SPUD_DATE,TOTAL_DEPTH_DATE,BOREHOLE_STAT_DT,BH_TOTAL_MD,WELL_BORE_TVD
177004074300,G08626,2/10/1988,2/25/1988,2/26/1988,12346.0,9921.0
177004074301,G08626,2/26/1988,3/3/1988,6/18/2014,11350.0,9883.0
177004074400, 00301,12/17/1987,12/24/1987,7/7/2013,9430.0,8789.0
177004074500,G02833,11/21/1987,12/4/1987,5/4/2004,9869.0,8311.0
177004074501,G02833,,,3/6/2006,10257.0,8185.0
177004074600,G05294,11/27/1987,12/15/1987,12/20/1987,9200.0,9200.0
177004074700,G05290,3/7/1988,4/12/1988,11/23/1995,12350.0,12343.0
177004074800, 00301,12/28/1987,1/30/1988,7/9/2013,11415.0,10189.0
177004074900,G01996,2/26/1988,3/29/1988,8/13/2007,12100.0,11019.0
177004074970,G01996,1/3/1988,2/26/1988,2/26/1988,11289.0,10392.0
177004075000,G05286,3/19/1988,4/5/1988,6/25/2016,11530.0,11528.0
177004075100,G08402,2/23/1988,3/8/1988,3/15/1988,10600.0,10600.0
177004075200,G08626,,,6/1/1990,12453.0,10250.0
177004075300,G08626,,,6/1/1990,14267.0,10300.0
177004075400,G02825,4/13/1988,7/5/1988,3/18/2013,13120.0,12727.0
177004075500,G03381,7/28/1988,8/6/1988,8/8/1988,6740.0,6518.0
177004075600,G05272,5/18/1988,7/2/1988,10/12/1988,12800.0,12792.0
177004075700,G05280,6/13/1988,6/18/1988,6/20/1988,7885.0,7885.0
177004075800,G07609,6/20/1988,6/24/1988,6/25/1988,4000.0,4000.0
177004075900,G08621,6/7/1988,6/21/1988,10/11/1988,10125.0,10125.0
177004076000,G05286,7/3/1988,8/3/1988,1/26/1995,12202.0,10789.0
177004076001,G05286,1/26/1995,2/5/1995,8/31/2016,10743.0,8885.0
177004076100,G09401,7/20/1988,7/29/1988,10/11/1988,8516.0,8516.0
177004076200,G05292,10/31/1988,12/22/1988,11/10/2013,12415.0,11590.0
177004076300,G06572,12/3/1988,12/28/1988,7/6/2000,10397.0,9405.0
177004076301,G06572,7/6/2000,7/13/2000,12/9/2010,8800.0,8534.0
177004076400,G07597,11/28/1988,12/31/1988,11/2/1994,10916.0,10916.0
