API_WELL_NUMBER,WELL_NAME,GEO_MARKER_NAME,TOP_MD
177114156300,002,Peach D,25434
608074031400,002,Peach E,25584
608174128900,006,"""I2"" Sand",7910
177104167601,K018,"""K4"" Sand",9060
608084004700,002,"""L2"" Sand",9370
608114061500,MD018,"""N2"" Sand",9908
177104167800,K017,Fault 1,6496
177144001205,076,Fault 2,6799
608174128900,006,Top of Salt,7060
608174112305,PI001,Base of Salt,21709
608114007502,A005,UM1,22378
177144001503,078,MM7,26210
177114156100,C008,MM4,27403
177094121802,A005,Fault 3,27459
608124009400,JU101,Fault 4,28109
177190084601,C004,LM,29587
608114063200,006,Oligocene,30723
177114020302,B017,02,21257
608114066900,005,M4,19657
177064098401,A004,Top of Salt,5188
608114066300,PC001,Base of Salt,9518
608174134500,002,K Sand,13634
608174123200,006,M2 Sand,14229
608174135000,001,M56A Sand,17829
608174133200,001,M56B Sand,18217
177104140404,A014,M56C Sand,18790
608114066800,SS001,VM60,27358
608114066200,PS010,VM80,30667
608174134500,002,Q1_TerraCotta,20393
608114065600,SB002,R_AquaTerraCotta_U,21163
608084005703,001,R_AquaTerraCotta_L1,21317
608114067100,WI003,R_AquaTerraCotta_L2,21398
177114055401,I012,U0_Amber,23987
608174105701,001,U1_Amber,24569
608114067000,001,V1_Platinum,25573
177104149401,A017,W0_Tungsten,26922
608174132900,011,CM10,12348
608054005900,GA022,Q1_TerraCotta,20393
608114066901,005,R_AquaTerraCotta_U,21163
608174121404,006,R_AquaTerraCotta_L1,21317
608164045700,SS006,R_AquaTerraCotta_L2,21398
608174128800,001,U0_Amber,23987
608114061500,MD018,U1_Amber,24569
608114036904,A004,V1_Platinum,25573
608114040900,DC134,W0_Tungsten,26922
177190085602,B020,OO10 Sand,10368
177150100201,P008,CM20,12576
177254087401,CC051,GALT10,12860
608234002800,001,GALT30,13051
608174128900,006,GALT40,13187
177244035201,DA008,GALT50,13269
608234002800,001,GALT65,13355
608174129500,002,GALT60,13380
608174127701,B011,GALT70,13438
608174128900,006,GMARG10,13594
608114062201,005,Salt,11497
608114062700,001,WM30,28260
177104167700,C020,WM50,28970
177144001503,078,WM30,28260
608084004701,002,17000 Sand,17051
608114062900,002,18800 Sand,19087
608174112305,PI001,19000 Sand,19733
608174128200,002,Green,20898
608104014600,A008,Upper Pink Sand,21779
427094117200,C002,Upper Pink B Sand,21924
608114065500,SA002,Lower Pink Sand,22040
608174120701,MB008,WM50,28970
608084005400,002,WM30,28260
608114066800,SS001,Wilcox 5_T,25594
608174134300,002,Wilcox 6_T,25910
177154127500,K002,Salt,11497
608114066700,007,WM50,28970
608114066800,SS001,A-1 Sand,7000
608114067200,006,B-2 Sand,8970
177104140403,A014,C-9 Sand,9752
608174133200,001,D-1 Sand,9850
608114066903,005,D-5 Sand,10410
608124011101,JU105,Salt,11497
608174135002,001,Top of Salt,7219
608174135200,001,Base of Salt,10504
608174134000,AW001,PS4,13252
608114066600,PC002,PPU,16751
608094000200,002,N Seq_t,17763
608114067500,003,O Seq,18860
608114063600,002,S Seq,20033
608174128500,001,V Seq,20464
608114063500,002,LAM_Seq,21142
608174112305,PI001,LV Seq,21431
177124068900,A017,LV Sand_T,21609
608174129100,001,CC_T,22239
608084004800,001,DD_T,22481
608114059300,DC321,EE_T,22665
608174128900,006,FF_T,22760
427084064500,001,Wilcox 1_T,24516
608174046602,A003,Wilcox 2_T,25054
608174129300,004,Wilcox 3_T,25320
608174128900,006,Wilcox 4_T,25510
608174129100,001,Wilcox 5_T,25594
608174128700,001,Wilcox 6_T,25910
177104167800,K017,17000 Sand,17051
