SN_APD_FK,SN_ATTACHMENT_BLOB_FK,ATT_NAME,ATT_EXTENSION
-2581,-78066,VESSEL FINANCIAL CERTIFICATE,pdf
-2581,-78067,HCQ-125 SPECS,pdf
-2581,-78071,LOOP EDDIE CURRENT MONITORING,pdf
-2586,-78540,ABS/DNV Certificate,pdf
-2586,-78539,BOP & Diverter Schematics with Operating Procedures,pdf
-2586,-78543,+10 Ball Valve,pdf
-2613,-79166,Proposed Well Location Plat,pdf
-2613,-79171,Safe Welding Area Drawing,pdf
-2613,-79172,ABS/DNV Certificate,pdf
-3568,-118351,Proposed Well Location Plat,pdf
-3568,-118339,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2655,-81597,Application for Permit to Drill,PDF
-2670,-81969,Application for Permit to Drill,PDF
-2581,-78928,Engineering Calculation,pdf
-2586,-78536,Proposed Well Location Plat,pdf
-2628,-80927,Application for Permit to Drill,PDF
-2586,-79601,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2586,-79604,Directional Program,pdf
-2586,-79603,Proposed Wellbore Schematic,pdf
-2586,-79602,Engineering Calculation,pdf
-2613,-79649,Application for Permit to Drill,PDF
-2613,-79396,Proposed Wellbore Schematic,pdf
-2613,-79394,Engineering Calculation,pdf
-2613,-79393,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2613,-79400,Directional Program,pdf
-2613,-79397,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-2586,-79605,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-2613,-79174,BOP & Diverter Schematics with Operating Procedures,pdf
-2613,-79175,U.S. Coast Guard Certificate,pdf
-2593,-79979,Application for Permit to Drill,PDF
-2613,-79177,Barite Statement,pdf
-2924,-91000,Proposed Well Location Plat,pdf
-2924,-91001,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2816,-89247,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2816,-89249,Proposed Wellbore Schematic,pdf
-2816,-89248,Engineering Calculation,pdf
-2816,-86864,BOP & Diverter Schematics with Operating Procedures,pdf
-2816,-86867,Safe Welding Area Drawing,pdf
-2816,-86862,Directional Program,pdf
-2816,-86863,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-2816,-86865,ABS/DNV Certificate,pdf
