LEASE_NUMBER,COMPLETION_NAME,PRODUCTION_DATE,DAYS_ON_PROD,PRODUCT_CODE,MON_O_PROD_VOL,MON_G_PROD_VOL,MON_WTR_PROD_VOL,API_WELL_NUMBER,WELL_STAT_CD,AREA_CODE_BLOCK_NUM,OPERATOR_NUM,SORT_NAME,BOEM_FIELD,INJECTION_VOLUME,PROD_INTERVAL_CD,FIRST_PROD_DATE,UNIT_AGT_NUMBER,UNIT_ALOC_SUFFIX
00016,A004,200901,0,U,0,0,0,177194003101,14,WD   31,687,CNOOC PETROLEUM USA INC,WD030,0,X01,,,
00016,A010,200901,0,O,0,0,0,177194029700,12,WD   31,687,CNOOC PETROLEUM USA INC,WD030,0,S02,19940630.0,,
00016,E002,200901,0,O,0,0,0,177190022500,12,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,Q04,19720331.0,,
00016,E002D,200901,0,O,0,0,0,177190022500,12,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,Q01,19610228.0,,
00016,E002Q,200901,0,O,0,0,0,177190022500,12,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,Q64,,,
00016,E002T,200901,0,O,0,0,0,177190022500,12,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,Q65,,,
00016,E016,200901,8,G,0,3642,0,177194064700,11,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,S03,20000605.0,,
00016,E018,200901,0,O,0,0,0,177194065600,12,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,D01,19980420.0,,
00016,E018D,200901,0,O,0,0,0,177194065600,12,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,D02,19980424.0,,
00016,E019A,200901,0,O,0,0,0,177194028200,12,WD   31,2409,MARITECH RESOURCES INC,WD030,0,S02,19940331.0,,
00016,F013,200901,0,O,0,0,0,177190070500,12,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,D01,19851031.0,,
00016,F013D,200901,0,O,0,0,0,177190070500,12,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,D02,19640331.0,,
00016,F015,200901,0,O,0,0,0,177190070100,12,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,D62,,,
00016,F015D,200901,0,O,0,0,0,177190070100,12,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,D02,19690630.0,,
00016,F020,200901,0,O,0,0,0,177192018600,12,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,S02,19850630.0,,
00016,F021,200901,0,O,0,0,0,177194036001,12,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,S01,19960831.0,,
00016,F023,200901,0,U,0,0,0,177194039600,14,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,X01,,,
00016,F026,200901,0,O,0,0,0,177194045101,12,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,S02,20020331.0,,
00016,F027,200901,29,O,2779,1707,12947,177194063200,9,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,S01,19960704.0,,
00016,F028,200901,0,O,0,0,0,177194063500,12,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,D01,20020124.0,,
00016,F028D,200901,31,O,4479,1404,20852,177194063500,9,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,D02,20020128.0,,
00016,L010,200901,0,O,0,0,0,177194015000,12,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,S03,19960525.0,,
00016,L011,200901,1,O,17,14,144,177194030200,9,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,S02,20061130.0,,
00016,L012,200901,0,O,0,0,0,177194030600,12,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,S01,19831031.0,,
00016,L013,200901,8,O,816,848,2361,177194043302,9,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,D01,20050430.0,,
00016,L013D,200901,0,O,0,0,0,177194043302,12,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,D02,,,
00016,L019,200901,0,G,0,0,0,177194049600,13,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,D02,,,
00016,L019,200901,0,G,0,0,0,177194049600,13,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,D03,,,
00016,L020,200901,8,O,625,953,1746,177194050502,9,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,S01,19940930.0,,
00016,L021,200901,3,O,38,732,52,177194058100,9,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,D02,20031231.0,,
00016,L021D,200901,8,G,0,3991,0,177194058100,11,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,D03,20031231.0,,
00016,L022D,200901,0,O,0,0,0,177194057800,12,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,D02,19940430.0,,
00016,N010,200901,0,O,0,0,0,177190070200,12,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,D62,,,
00016,N010D,200901,0,O,0,0,0,177190070200,12,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,D02,19730930.0,,
00016,N018,200901,31,O,4735,4932,23274,177190071101,9,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,S01,20010708.0,,
00016,N019,200901,31,O,5219,3234,37885,177194026000,9,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,S01,19820731.0,,
00016,N020,200901,0,O,0,0,0,177194026101,12,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,D01,19990513.0,,
00016,N020D,200901,4,O,182,41,1055,177194026101,9,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,D02,19990513.0,,
00016,N021,200901,0,O,0,0,0,177194057100,12,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,S02,20010531.0,,
00016,N022,200901,31,O,2237,349,2072,177194060401,9,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,S01,20010623.0,,
00016,N023,200901,0,U,0,0,0,177194060101,14,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,X01,,,
00016,N024,200901,31,O,6638,522,31293,177194071201,9,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,S01,20020815.0,,
00016,S018,200901,0,G,0,0,0,177190072300,13,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,D06,19960817.0,,
00016,S024,200901,8,O,1007,349,4,177194049200,9,WD   31,276,EXXON MOBIL CORPORATION,WD030,0,S02,20050630.0,,
00018,B021,200901,20,O,185,4,2033,177154057901,9,ST   66,276,EXXON MOBIL CORPORATION,ST054,0,S01,19980220.0,891003444.0,0
00019,G005,200901,0,O,0,0,0,177154054200,12,ST   54,276,EXXON MOBIL CORPORATION,ST054,0,S01,19860811.0,891003444.0,0
00019,G007,200901,0,O,0,0,0,177154052300,12,ST   54,276,EXXON MOBIL CORPORATION,ST054,0,S01,19890731.0,891003444.0,0
00019,G008,200901,0,O,0,0,0,177154051801,12,ST   54,276,EXXON MOBIL CORPORATION,ST054,0,S01,19951202.0,891003444.0,0
00019,G011,200901,0,G,0,0,0,177154051400,13,ST   54,276,EXXON MOBIL CORPORATION,ST054,0,S01,19821231.0,891003444.0,0
00019,G013,200901,31,O,2537,57,42840,177154050900,9,ST   54,276,EXXON MOBIL CORPORATION,ST054,0,S01,19821130.0,891003444.0,0
00019,G014,200901,29,G,0,7908,1083,177154052000,11,ST   54,276,EXXON MOBIL CORPORATION,ST054,0,S05,20040531.0,891003444.0,0
00019,G017,200901,0,O,0,0,0,177154054300,12,ST   54,276,EXXON MOBIL CORPORATION,ST054,0,S01,19830831.0,891003444.0,0
00019,G018,200901,31,O,4052,91,3950,177154052802,9,ST   54,276,EXXON MOBIL CORPORATION,ST054,0,S01,19971104.0,891003444.0,0
00019,G020,200901,0,O,0,0,0,177154054800,12,ST   54,276,EXXON MOBIL CORPORATION,ST054,0,S01,19830930.0,891003444.0,0
00019,G022,200901,0,O,0,0,0,177154064703,12,ST   54,276,EXXON MOBIL CORPORATION,ST054,0,S01,19980316.0,891003444.0,0
00019,G023,200901,0,O,0,0,0,177154054901,12,ST   54,276,EXXON MOBIL CORPORATION,ST054,0,S01,19951112.0,891003444.0,0
00019,G028,200901,26,O,4285,424,55051,177154080101,9,ST   54,276,EXXON MOBIL CORPORATION,ST054,0,S01,19970603.0,891003444.0,0
00019,G031,200901,31,O,4955,111,19916,177154080201,9,ST   54,276,EXXON MOBIL CORPORATION,ST054,0,S01,19980118.0,891003444.0,0
00019,G032,200901,31,O,2457,55,11591,177154087800,9,ST   54,276,EXXON MOBIL CORPORATION,ST054,0,S01,19960204.0,891003444.0,0
00020,006,200901,31,O,29671,44108,0,177154078402,8,ST   67,105,APACHE CORPORATION,ST054,0,S01,20081114.0,891003444.0,0
00020,B001,200901,0,U,0,0,0,177150031700,14,ST   67,276,EXXON MOBIL CORPORATION,ST054,0,X01,,,
00020,B003,200901,0,U,0,0,0,177150031900,14,ST   67,276,EXXON MOBIL CORPORATION,ST054,0,X01,,,
00020,B008,200901,0,U,0,0,0,177150084500,14,ST   67,276,EXXON MOBIL CORPORATION,ST054,0,X01,,,
00020,B009,200901,0,U,0,0,0,177150102200,14,ST   67,276,EXXON MOBIL CORPORATION,ST054,0,X01,,,
00020,B022,200901,31,O,4064,91,12631,177154057000,9,ST   67,276,EXXON MOBIL CORPORATION,ST054,0,D04,19980516.0,891003444.0,0
00020,B023,200901,0,O,0,0,0,177154056601,12,ST   67,276,EXXON MOBIL CORPORATION,ST054,0,S01,19970202.0,891003444.0,0
00020,B025,200901,31,O,4833,108,17689,177154058505,9,ST   67,276,EXXON MOBIL CORPORATION,ST054,0,S01,20030608.0,891003444.0,0
00020,B026,200901,31,O,2019,45,28439,177154061701,9,ST   67,276,EXXON MOBIL CORPORATION,ST054,0,S01,19950430.0,891003444.0,0
00020,B027,200901,0,O,0,0,0,177154063803,12,ST   67,276,EXXON MOBIL CORPORATION,ST054,0,S01,19970316.0,891003444.0,0
00020,B029,200901,31,G,95,7265,0,177154098201,11,ST   67,276,EXXON MOBIL CORPORATION,ST054,0,S02,20090131.0,891003444.0,0
00020,B030,200901,31,O,4747,4941,209,177154097100,8,ST   67,276,EXXON MOBIL CORPORATION,ST054,0,D03,20090111.0,891003444.0,0
00020,B030D,200901,2,O,161,87,334,177154097100,9,ST   67,276,EXXON MOBIL CORPORATION,ST054,0,D01,19991212.0,891003444.0,0
00020,B031,200901,30,O,9146,18173,130,177154096800,8,ST   67,276,EXXON MOBIL CORPORATION,ST054,0,S04,20080815.0,891003444.0,0
