API_WELL_NUMBER,BH_ACTV_TYPE_CD,PREV_API_NUMBER,ACTIVITY_DATE,WELL_NAME,WELL_NAME_SUFFIX,SURF_LEASE_NUMBER,SURF_AREA_CODE,SURF_BLOCK_NUMBER,WELL_SPUD_DATE,BOTM_LEASE_NUMBER,BOTM_AREA_CODE,BOTM_BLOCK_NUMBER,BH_TOTAL_MD,REGION_CODE
177074010601,API,177074011200,10/18/1999,  007,ST01BP01,G01183,SM,15,7/17/1974,G01183,SM,15,10948,G
177074012700,API,177074012770,7/27/2007, A003,ST00BP01,G02595,SM,243,6/5/1989,G02595,SM,243,9253,G
177074012770,API,177074012700,7/27/2007, A003,ST00BP00,G02595,SM,243,11/16/1974,G02595,SM,243,12975,G
177074012770,API,177074012771,7/27/2007, A003,ST00BP00,G02595,SM,243,11/16/1974,G02595,SM,243,12975,G
177074024600,API,177074024671,10/1/2008, E002,ST00BP02,G02600,SM,281,3/1/1978,G02600,SM,281,15138,G
177074024671,API,177074024600,10/1/2008, E002,ST00BP01,G02600,SM,281,11/15/1977,G02600,SM,281,15995,G
177074024671,API,177074024607,10/1/2008, E002,ST00BP01,G02600,SM,281,11/15/1977,G02600,SM,281,15995,G
177084015970,API,177084015900,9/2/2010, A019,ST00BP00,G02280,SM,130,7/18/1976,G02281,SM,131,7432,G
177084022171,API,177084022172,10/19/2011, A015,ST03BP00,G02279,SM,106,10/20/1995,G02279,SM,106,9690,G
177084053371,API,177084053372,7/21/2008,  001,ST03BP00,G04809,SM,161,6/4/1982,G04809,SM,161,10684,G
177084080770,API,177084084770,4/30/2008, A002,ST00BP00,G14439,SM,80,12/7/1995,G14439,SM,80,2804,G
177090000801,API,177090001200,10/18/1999, A008,ST01BP00, 00580,EI,215,9/28/1960, 00580,EI,215,9223,G
177090000901,API,177090016100,10/18/1999, A009,ST01BP00, 00580,EI,215,11/4/1960, 00580,EI,215,9737,G
177090028872,API,177090028870,5/25/2006, J007,ST00BP02, 00049,EI,119,5/9/1957, 00049,EI,119,7391,G
177090037400,API,177090037471,1/27/2009, A002,ST00BP02, 00047,EI,110,7/20/1957, 00047,EI,110,10497,G
177090037471,API,177090037400,1/27/2009, A002,ST00BP01, 00047,EI,110,6/29/1957, 00047,EI,110,7500,G
177090037471,API,177090037472,1/27/2009, A002,ST00BP01, 00047,EI,110,6/29/1957, 00047,EI,110,7500,G
177090060701,API,177090064200,10/18/1999, A002,ST01BP00,G01226,EI,243,8/8/1964,G01226,EI,243,15100,G
177090069801,API,177090070000,10/18/1999, D006,ST01BP00,G00981,EI,237,12/12/1965,G00981,EI,237,11685,G
177090069901,API,177090069700,10/18/1999, D003,ST01BP00,G00981,EI,237,10/1/1965,G00981,EI,237,10185,G
177090071901,API,177094014400,10/18/1999, C014,ST01BP00,G00983,EI,252,4/15/1973,G00983,EI,252,6969,G
177090076301,API,177094002500,10/18/1999, E005,ST01BP00,G00982,EI,238,4/11/1971,G00982,EI,238,11920,G
177090078301,API,177094002900,10/18/1999, E006,ST01BP00,G00982,EI,238,5/12/1971,G00982,EI,238,11365,G
177092009601,API,177092009602,6/10/1998, D004,ST01BP00, 00438,EI,175,, 00438,EI,175,12500,G
177092012601,API,177092012602,4/14/1998, D021,ST01BP00, 00438,EI,175,1/31/1981, 00438,EI,175,11291,G
177094016200,API,177094016201,7/20/2007, C007,ST00BP01,G02103,EI,257,4/17/1980,G02103,EI,257,8200,G
177094016200,API,177094016270,7/20/2007, C007,ST00BP01,G02103,EI,257,4/17/1980,G02103,EI,257,8200,G
177094016270,API,177094016200,7/20/2007, C007,ST00BP00,G02103,EI,257,7/17/1973,G02103,EI,257,10665,G
177094016270,API,177094016201,7/20/2007, C007,ST00BP00,G02103,EI,257,7/17/1973,G02103,EI,257,10665,G
177094030671,API,177091770971,5/11/2010, A008,ST00BP01,G02900,EI,261,12/13/1977,G02900,EI,261,15915,G
177094054201,API,177094052401,5/9/2001, H004,ST01BP00, 00802,EI,196,2/11/2001, 00802,EI,196,14738,G
177094068002,API,177094098002,5/14/2002, J004,ST02BP00,G00981,EI,237,5/28/2002,G00981,EI,237,7435,G
