API_WELL_NUMBER,BOTM_AREA_CODE,BOTM_BLOCK_NUM,BOTM_LEASE_NUM,WELL_NAME,WELL_INST_DCOM_P50,WELL_INST_DCOM_P70,WELL_INST_DCOM_P90,WELL_INST_DCOM_INDTR,BOREHOLE_STAT_CD,SURF_LEASE_NUM,SURF_AREA_CODE,SURF_BLOCK_NUM,EFFECTIVE_DATE
177254050601,MP,   59,G08461,  001,393407,616829,940259,0,COM,G08461,MP,   59,8/5/2020
608174006801,MC,  194,G02638, A002,0,0,0,692695,TA,G02638,MC,  194,7/26/2016 10:24:58 AM
177044099304,EC,  381,G15161, A005,0,0,0,575158,TA,G15161,EC,  381,7/26/2016 10:24:58 AM
427114081200,HI,A 368,G02433, B001,1195271,1418694,1742124,0,COM,G02433,HI,A 368,8/5/2020
177244065904,MP,  299,G09372,SW126,262710,311122,381388,0,TA,G09372,MP,  299,12/23/2022 10:57:04 AM
177152009301,ST,   26,G01870, D022,68805,117217,187483,0,TA,G01870,ST,   26,8/5/2020
177224022503,SP,   93,G01619, A031,0,0,0,575564,COM,G01619,SP,   93,12/16/2019 10:05:30 AM
608105009300,EW,  306,G07917, A018,1200918,1424340,1747770,0,TA,G04254,EW,  305,8/5/2020
177194061500,WD,  109,G02937, A039,811086,1034509,1357939,0,COM,G02937,WD,  109,8/5/2020
177244056502,MP,  299,G09372,SW265,0,0,0,2500000,TA,G09372,MP,  299,8/8/2022 11:21:36 AM
427054002900,BA,A 105,G01757, A003,235188,283600,353866,0,TA,G01757,BA,A 105,8/5/2020
177140017200,BM,    2, 00369, W010,66303,114715,184981,0,TA, 00369,BM,    2,8/5/2020
177152006300,ST,   26,G01870, D011,62550,110962,181228,0,TA,G01870,ST,   26,8/5/2020
177154012000,ST,   26,G02620, E013,77562,125974,196240,0,TA,G02620,ST,   26,8/5/2020
177044054300,EC,  321,G02061, A030,275220,323632,393898,0,TA,G02061,EC,  321,8/5/2020
177094077800,EI,  215,G36940, C022,125100,173512,243778,0,TA,G36940,EI,  215,11/1/2021 9:28:43 AM
177094029100,EI,  252,G00983, G001,202662,251074,321340,0,TA,G00983,EI,  252,8/5/2020
177104026700,EI,  331,G02116, B021,920039,1143461,1466891,0,TA,G02116,EI,  331,8/5/2020
177104137500,EI,  316,G05040, A011,881640,1105062,1428492,0,COM,G05040,EI,  316,8/5/2020
608114011100,GC,  184,G04518, A020,0,0,0,1324950,TA,G04518,GC,  184,8/1/2016 9:05:35 AM
177190115100,WD,   70, 00182, L004,168885,217297,287563,0,TA, 00182,WD,   70,8/5/2020
427094073000,HI,A 557,G03484, A004,849831,1073253,1396683,0,COM,G03484,HI,A 557,8/5/2020
427114060600,HI,A 382,G02757, F004,1161727,1385149,1708579,0,TA,G02757,HI,A 382,8/5/2020
427114064701,HI,A 382,G02757, F015,1185630,1409052,1732482,0,TA,G02757,HI,A 382,8/5/2020
608174048400,MC,  807,G07963, A013,0,0,0,2055900,COM,G07963,MC,  807,7/26/2016 10:24:58 AM
177250009600,MP,   41, 00374, B012,63801,112213,182479,0,TA, 00374,MP,   41,8/5/2020
177250084500,MP,   42,G01367, I010,41283,89695,159961,0,TA,G01367,MP,   42,8/5/2020
