PRODUCTION_DATE,PLAN_AREA,CRUDE_OIL,CONDENSATE,TOTAL_OIL,NATURAL_GAS,CASINGHEAD_GAS,TOTAL_GAS
2/28/1987,Western Gulf of Mexico,768279,1042417,1810696,111337248,2318720,113655968
3/31/1987,Western Gulf of Mexico,978671,1005206,1983877,113732044,2680290,116412334
12/31/1987,Western Gulf of Mexico,1457940,1067156,2525096,128207629,2988294,131195923
5/31/1988,Western Gulf of Mexico,1455902,844004,2299906,101121867,3345188,104467055
4/30/1989,Western Gulf of Mexico,1554909,949369,2504278,114916030,3613662,118529692
10/31/1989,Western Gulf of Mexico,1319275,746174,2065449,103539655,3268709,106808364
5/31/1990,Western Gulf of Mexico,1302191,800639,2102830,121624258,3454037,125078295
6/30/1990,Western Gulf of Mexico,1131719,893608,2025327,114260930,3383783,117644713
9/30/1991,Western Gulf of Mexico,1238632,738802,1977434,106710647,4479037,111189684
2/29/1992,Western Gulf of Mexico,1037173,877702,1914875,105123503,2814202,107937705
6/30/1992,Western Gulf of Mexico,974860,949083,1923943,112932677,2533148,115465825
10/31/1984,Western Gulf of Mexico,1035953,740858,1776811,78443106,2881394,81324500
12/31/1983,Western Gulf of Mexico,845941,807361,1653302,87806936,2429752,90236688
2/28/1983,Western Gulf of Mexico,914174,793102,1707276,74002616,2766669,76769285
9/30/1972,Western Gulf of Mexico,59973,86693,146666,12641311,597449,13238760
2/28/1962,Central Gulf of Mexico,4988744,439348,5428092,30877319,5005795,35883114
8/31/1962,Central Gulf of Mexico,5893872,551775,6445647,31102383,6377276,37479659
9/30/1962,Central Gulf of Mexico,6282109,557616,6839725,31113023,6666847,37779870
11/30/1962,Central Gulf of Mexico,6274817,636076,6910893,35203337,6821783,42025120
3/31/1963,Central Gulf of Mexico,7095998,805147,7901145,42320840,7121340,49442180
4/30/1963,Central Gulf of Mexico,7103585,756552,7860137,37237793,7220796,44458589
10/31/1963,Central Gulf of Mexico,7638869,735469,8374338,40007221,8075784,48083005
2/29/1964,Central Gulf of Mexico,7766511,719339,8485850,44545500,8082355,52627855
4/30/1964,Central Gulf of Mexico,8351940,790653,9142593,46076285,8838100,54914385
9/30/1964,Central Gulf of Mexico,8538077,727351,9265428,41688023,9264761,50952784
10/31/1964,Central Gulf of Mexico,7683181,740295,8423476,42358445,8139041,50497486
8/31/1965,Central Gulf of Mexico,10903447,879557,11783004,50651084,11740475,62391559
6/30/1966,Central Gulf of Mexico,13473722,1057650,14531372,58409086,14818771,73227857
11/30/1966,Central Gulf of Mexico,13833620,1325654,15159274,75026531,16459701,91486232
8/31/1967,Central Gulf of Mexico,18490017,1320979,19810996,79020967,23348673,102369640
10/31/1967,Central Gulf of Mexico,18021821,1333459,19355280,82211946,22390411,104602357
3/31/1968,Central Gulf of Mexico,18123338,1634359,19757697,105101716,22727196,127828912
3/31/1978,Central Gulf of Mexico,20801650,2471267,23272917,300236788,30792032,331028820
5/31/1978,Central Gulf of Mexico,20664170,2512299,23176469,301580333,31127853,332708186
9/30/1961,Central Gulf of Mexico,3839242,281581,4120823,17624969,3866164,21491133
7/31/1962,Central Gulf of Mexico,5858642,491975,6350617,29044815,5911708,34956523
10/31/1968,Central Gulf of Mexico,20059045,1674833,21733878,103046074,24989383,128035457
10/31/1969,Central Gulf of Mexico,22190688,2014502,24205190,126040777,27289893,153330670
4/30/1972,Central Gulf of Mexico,28063073,2798175,30861248,209957524,35329595,245287119
8/31/1973,Central Gulf of Mexico,27971223,2940658,30911881,242930096,34574591,277504687
12/31/1975,Central Gulf of Mexico,23327386,2657861,25985247,256337053,32488525,288825578
7/31/1976,Central Gulf of Mexico,22930774,2490799,25421573,253457004,35332633,288789637
5/31/1981,Central Gulf of Mexico,18303128,2649888,20953016,318438578,29512138,347950716
6/30/1970,Central Gulf of Mexico,23830317,2295780,26126097,155382592,29802083,185184675
10/31/1976,Central Gulf of Mexico,21760073,2454294,24214367,259657793,32776117,292433910
1/31/1977,Central Gulf of Mexico,21090335,2463633,23553968,266529466,31295943,297825409
6/30/1977,Central Gulf of Mexico,20712992,2473084,23186076,263109387,31526349,294635736
1/31/1978,Central Gulf of Mexico,20810510,2423927,23234437,292447693,30539797,322987490
2/28/1978,Central Gulf of Mexico,18942178,2218450,21160628,266322143,27911577,294233720
8/31/1978,Central Gulf of Mexico,20254684,2407094,22661778,297695381,31066217,328761598
