LEASE_NUMBER,PROD_MONTH,PROD_YEAR,LEASE_OIL_PROD,LEASE_GWG_PROD,LEASE_CONDN_PROD,LEASE_OWG_PROD,LEASE_WTR_PROD,LEASE_PROD_COMP,TRIM_LEASE_NUM
S00538,5,2009,0,432109,246,0,4753,2,S00538
G20085,6,2010,1420854,0,0,516375,0,4,G20085
G05904,3,2011,0,0,0,0,0,0,G05904
G01230,2,2012,10653,42701,154,26830,12887,9,G01230
G03417,9,2011,93137,11588,5050,70391,181630,21,G03417
G03195,10,2011,0,17450,0,0,0,1,G03195
G01860,6,2013,3193,45333,0,7964,34680,4,G01860
G04703,6,2013,0,83341,112,0,281,4,G04703
G05044,6,2013,0,112870,520,0,24881,5,G05044
G05551,6,2013,9465,0,0,5596,95191,6,G05551
G03958,3,2011,0,78959,3614,0,1636,2,G03958
G04232,3,2011,0,1138889,7901,0,2390,4,G04232
G05051,3,2011,2379,434162,12765,7873,38058,4,G05051
G05610,3,2011,0,39197,196,0,60414,2,G05610
G06104,3,2011,0,0,0,0,0,0,G06104
G09771,1,2011,112847,0,0,133210,240240,9,G09771
G09591,7,2011,4667,0,0,4736,27326,1,G09591
G09627,7,2011,1771,1446,2600,156,40535,3,G09627
G09637,3,2006,0,47176,0,0,0,1,G09637
G12631,8,2005,9768,0,0,23314,79660,2,G12631
G13363,9,2005,7075,18359,160,13179,5807,7,G13363
G15860,2,2009,0,0,0,0,0,0,G15860
G21116,3,2011,0,0,0,0,0,0,G21116
G22609,1,2011,0,12004,0,0,123,1,G22609
G22808,3,2011,0,710,0,0,2,1,G22808
G27230,3,2008,0,20483,0,0,0,1,G27230
 00572,5,2011,0,838,129,0,6872,1,00572
 00577,4,2011,9219,431,180,17301,13873,10,00577
G15271,6,2009,0,0,0,0,0,0,G15271
G16673,8,2009,0,0,0,0,0,0,G16673
G08241,8,2008,33091,12810,6407,87804,129071,2,G08241
G01029,1,2011,0,30627,0,0,12041,2,G01029
G01028,2,2011,0,0,0,0,0,0,G01028
G00932,3,2011,0,0,0,0,0,0,G00932
G01085,3,2011,13045,0,0,17544,263539,5,G01085
G01440,2,2012,0,49701,3995,0,8842,3,G01440
G01525,1,2012,4882,0,0,3833,15729,3,G01525
G01572,7,2010,23,29874,1238,1023,10263,4,G01572
G01372,7,2018,23511,0,0,18058,119220,10,G01372
G01997,1,2011,0,161869,736,0,164,2,G01997
G01880,3,2011,0,99891,104,0,35764,4,G01880
G02006,3,2011,0,36056,18,0,5005,6,G02006
G02104,3,2011,0,276353,448,0,0,7,G02104
G03145,3,2011,0,101321,110,0,0,1,G03145
G03811,3,2011,0,0,0,0,0,0,G03811
G04081,3,2011,0,1237,0,0,64,2,G04081
G04787,1,2011,0,0,0,0,0,0,G04787
G08806,3,2011,0,0,0,0,0,0,G08806
G09010,3,2011,0,62039,72,0,105,2,G09010
G13960,3,2011,0,12823,0,0,0,1,G13960
G15277,3,2011,0,23809,8689,0,23044,1,G15277
G15436,3,2011,0,11352,965,0,50,1,G15436
G16432,7,2010,0,116139,626,0,997,3,G16432
G16647,4,2009,50446,0,0,39134,199326,2,G16647
G18192,3,2011,20114,0,0,65,8582,3,G18192
G19750,9,2004,0,343356,3335,0,4,1,G19750
G19839,3,2011,0,18483,0,0,11317,2,G19839
G20655,3,2011,0,33556,509,0,4,1,G20655
G21106,3,2011,0,0,0,0,0,0,G21106
G21381,1,2011,0,0,0,0,0,0,G21381
G21580,3,2011,0,163572,15,0,0,1,G21580
G21750,3,2011,0,0,0,0,0,0,G21750
G22553,12,2009,0,26417,0,0,0,1,G22553
G22802,3,2011,0,270,0,0,0,1,G22802
G22987,12,2010,171705,0,0,153938,99360,4,G22987
G23193,3,2011,0,20026,675,0,30008,1,G23193
G23199,3,2011,0,0,0,0,0,0,G23199
G24873,3,2011,0,23505,96,0,14831,4,G24873
G25033,3,2011,0,0,0,0,0,0,G25033
G25041,3,2011,0,36574,0,0,113,1,G25041
G26198,5,2009,0,0,0,0,0,0,G26198
G27173,3,2011,15295,0,0,12350,0,1,G27173
G27194,3,2011,0,48842,0,0,3329,1,G27194
G27195,4,2010,0,0,0,0,0,0,G27195
G27195,11,2010,0,0,0,0,0,0,G27195
 00146,3,2011,0,63231,1510,0,11335,1,00146
G07825,3,2011,0,106277,51,0,594,2,G07825
G07901,3,2011,0,0,0,0,0,0,G07901
G07049,6,2007,136626,0,0,306510,77229,3,G07049
G07049,9,2007,85579,0,0,159503,64356,2,G07049
G07976,8,2008,56167,787889,35931,63421,125,2,G07976
 00378,12,2014,7145,13479,0,2900,5048,3,00378
G05754,6,2011,0,34975,0,0,638,1,G05754
G12139,2,2011,35006,0,0,29518,25992,2,G12139
G12139,3,2011,40194,0,0,28978,27370,2,G12139
G00997,6,2011,1439,0,0,6579,2988,2,G00997
 00512,3,2012,0,28530,17,0,0,1,00512
G04398,3,2011,0,32553,84,0,244,2,G04398
G01130,8,2009,81,121279,395,2143,30772,6,G01130
G01130,12,2009,89,90758,161,1744,26845,5,G01130
G01130,4,2010,46,48348,162,680,74843,6,G01130
G01130,5,2010,32,44047,108,297,52795,6,G01130
G01130,8,2010,52,6945,99,324,52249,4,G01130
G01130,9,2010,0,0,0,0,0,0,G01130
G01317,3,2011,18585,0,0,7151,40768,10,G01317
G02061,3,2011,43356,6053,8771,67882,203509,26,G02061
G02118,7,2009,0,0,0,0,0,0,G02118
G02393,1,2012,34726,1971,47,39136,62608,10,G02393
G02318,2,2010,0,0,0,0,0,0,G02318
G02318,7,2010,0,0,0,0,0,0,G02318
