DOC_ID,REGION,DOC_IMPORTED_DATE,DOC_PAGES,DOC_FILESIZE,BOND_NUMBER,LEASE_NUMBER,RUE_NUMBER,ROW_NUMBER,COMPANY_NUMBER,COMPANY_NAME,BOND_EFF_DATE,COVERAGE_TYPE_CD,BOND_AMOUNT,SURETY_COMP_NUM,SURETY_COMP_NAME,CANCEL_REPL_CD,CANCEL_REPL_DATE,DOC_TYPE,BOND_FORM,DOC_DATE,DOC_BAR_CODE
156,Gulf of Mexico,3/10/2016,3,88600,912795XF3,G06958,,,1217,AEDC (USA) INC.,12/5/2005,S:Supplemental - Lease Specific,500000,20049,U. S. TREASURY,C,1/24/2006,Cancellation / Termination,,3/8/2008,bonds00105
157,Gulf of Mexico,3/10/2016,3,87225,912795WN7,G06962,,,1217,AEDC (USA) INC.,8/11/2005,V:Development - Lease Specific,500000,20049,U. S. TREASURY,C,1/24/2006,Cancellation / Termination,,3/8/2008,bonds00105
158,Gulf of Mexico,3/10/2016,3,88956,912795XF3,G06962,,,1217,AEDC (USA) INC.,12/5/2005,S:Supplemental - Lease Specific,500000,20049,U. S. TREASURY,C,1/24/2006,Cancellation / Termination,,3/8/2008,bonds00105
159,Gulf of Mexico,3/10/2016,3,88685,912828CB4,G22609,,,2606,Palace Operating Company,3/24/2004,S:Supplemental - Lease Specific,600000,20049,U. S. TREASURY,C,3/23/2006,Cancellation / Termination,,3/8/2008,bonds00105
160,Gulf of Mexico,3/10/2016,3,88077,912828CD0,G22609,,,2646,"Chanex, LLC",4/1/2004,A:Areawide,300000,20049,U. S. TREASURY,C,9/4/2015,Cancellation / Termination,,3/8/2008,bonds00105
161,Gulf of Mexico,3/10/2016,3,86341,912828CU2,G22613,,,2606,Palace Operating Company,9/10/2004,S:Supplemental - Lease Specific,300000,20049,U. S. TREASURY,R,8/31/2006,Cancellation / Termination,,3/8/2008,bonds00105
162,Gulf of Mexico,3/10/2016,3,88755,912828CB4,G22613,,,2606,Palace Operating Company,3/24/2004,S:Supplemental - Lease Specific,600000,20049,U. S. TREASURY,C,3/23/2006,Cancellation / Termination,,3/8/2008,bonds00105
163,Gulf of Mexico,3/10/2016,3,88429,912828CD0,G22613,,,2646,"Chanex, LLC",4/1/2004,A:Areawide,300000,20049,U. S. TREASURY,C,9/4/2015,Cancellation / Termination,,3/8/2008,bonds00105
164,Gulf of Mexico,3/10/2016,5,111368,912828CM0,,,,1217,AEDC (USA) INC.,6/30/2004,A:Areawide,300000,20049,U. S. TREASURY,C,1/24/2006,Cancellation / Termination,,1/24/2006,bonds00105
165,Gulf of Mexico,3/10/2016,7,315446,B001744,,,,2655,"Sojitz Energy Venture, Inc.",6/22/2005,A:Areawide,300000,21516,U.S. Specialty Insurance Company,,,Bond,,7/25/2005,bonds00105
