DOC_ID,REGION,DOC_IMPORTED_DATE,DOC_PAGES,DOC_FILESIZE,LEASE_NUMBER,AREA_BLOCK,DOC_TYPE
392,Gulf of Mexico,2/22/2001,4,152629,G13196      ,AT 0001     ,CORRESPONDENCE           
390,Gulf of Mexico,2/22/2001,4,152128,G13156      ,GC 0040     ,CORRESPONDENCE           
391,Gulf of Mexico,2/22/2001,4,151804,G13157      ,GC 0041     ,CORRESPONDENCE           
393,Gulf of Mexico,2/22/2001,6,226710,G12824      ,EC 0111     ,CORRESPONDENCE           
394,Gulf of Mexico,2/22/2001,6,225190,G12825      ,EC 0112     ,CORRESPONDENCE           
395,Gulf of Mexico,2/22/2001,4,148168,G12826      ,EC 0125     ,CORRESPONDENCE           
396,Gulf of Mexico,2/22/2001,4,147926,G12828      ,EC 0152     ,CORRESPONDENCE           
397,Gulf of Mexico,2/22/2001,8,219675,G12828      ,EC 0152     ,PLAN OF EXPLORATION      
398,Gulf of Mexico,2/22/2001,4,148455,G12830      ,EC 0155     ,CORRESPONDENCE           
399,Gulf of Mexico,2/22/2001,5,189667,G12841      ,EC 0235     ,CORRESPONDENCE           
400,Gulf of Mexico,2/22/2001,5,178640,G12857      ,VR 0016     ,CORRESPONDENCE           
401,Gulf of Mexico,2/22/2001,7,228537,G12852      ,EC 337      ,CORRESPONDENCE           
402,Gulf of Mexico,2/22/2001,3,85575,G12852      ,EC 337      ,PLAN OF EXPLORATION      
403,Gulf of Mexico,2/22/2001,4,151569,G12860      ,VR 0036     ,CORRESPONDENCE           
404,Gulf of Mexico,2/22/2001,6,224354,G12864      ,VR 0099     ,CORRESPONDENCE           
405,Gulf of Mexico,2/22/2001,3,99497,G12864      ,VR 0099     ,PLAN OF EXPLORATION      
406,Gulf of Mexico,2/22/2001,4,160084,G12867      ,VR 0157     ,CORRESPONDENCE           
407,Gulf of Mexico,2/22/2001,4,155424,G12868      ,VR 0166     ,CORRESPONDENCE           
408,Gulf of Mexico,2/22/2001,4,154987,G12869      ,VR 0168     ,CORRESPONDENCE           
409,Gulf of Mexico,2/22/2001,4,159195,G12870      ,VR 0198     ,CORRESPONDENCE           
410,Gulf of Mexico,2/22/2001,4,86059,G12870      ,VR 0198     ,PLAN OF EXPLORATION      
411,Gulf of Mexico,2/22/2001,4,153455,G12872      ,VR 0205     ,CORRESPONDENCE           
412,Gulf of Mexico,2/22/2001,4,156375,G12873      ,VR 0220     ,CORRESPONDENCE           
