MMS_COMPANY_NUM,MMS_START_DATE,BUS_ASC_NAME
38,1/1/1947,The California Company
39,1/1/1947,Socony Mobil Oil Co.
40,1/1/1947,The Texas Company
42,1/1/1947,The M. A. Hanna Company
43,1/1/1947,The Burmah Oil Western Company
44,1/1/1947,Skelly Oil Company
45,1/1/1947,"Lamson & Bennet, Inc."
46,1/1/1947,Cabot Carbon Company
49,1/1/1947,Signal Oil and Gas Company
1785,3/4/1993,South Dauphin Partners Ltd.
1786,10/1/1992,"Ewing Bank Gathering Company, L.L.C."
1787,3/16/1993,Entre Energy Corporation
1788,4/1/1993,LaTex Petroleum Corporation
1789,3/24/1993,Liberty Energy Gulf Corporation
1790,4/5/1993,Snyder Oil Corporation
1791,4/5/1993,Maxim Petroleum Corporation
2,1/1/1947,The Atlantic Refining Company
5,1/1/1947,Getty Oil Company
7,1/1/1947,Slick Oil Corporation
9,1/1/1947,Melben Oil Company
13,1/1/1947,"J. Ray McDermott & Company, Inc."
14,1/1/1947,Tennessee Gas Transmission Company
16,1/1/1947,Zapata Off-Shore Company
19,1/1/1947,Delta Marine Drilling Company
20,1/1/1947,Magnolia Petroleum Company
1764,12/7/1992,"Energy Resource Technology, Inc."
1765,1/15/1993,Omega Pipeline Company
1766,9/3/1992,"OEDC Partners, L.P."
1767,9/3/1992,"OEDC Exploration & Production, L.P."
1768,12/21/1992,"Stanford Capital, L.P."
1769,1/28/1993,Grace Petroleum Corporation
1770,1/14/1993,"PANACO, INC."
1772,2/8/1993,NOEX (Gulf Production) Inc.
1773,2/8/1993,Frontier Natural Gas Corporation
1774,2/4/1993,"Rialto Energy, Inc."
1775,1/11/1993,High Island Oil Corporation
1776,5/21/1992,Lyco 1987 Gulf Coast Limited Partnership-3
1777,2/22/1993,"Flores & Rucks, Inc."
1778,3/8/1993,"Bonray, Inc."
1779,3/3/1993,"Falcon South Power, Inc."
1780,3/12/1993,"GNC Operating Company, Inc."
1782,3/17/1993,"Cometra Oil & Gas, Inc."
1783,2/5/1993,Crutcher Oil and Gas-I Limited Partnership
1784,2/5/1993,Tufts Oil and Gas-I Limited Partnership
1744,9/21/1992,"Crane Holdings, Inc."
1745,8/10/1992,"Cross Timbers Oil Company, L.P."
1746,9/25/1992,T N Corporation
1747,9/30/1992,"Southern Minerals, Inc."
1748,9/30/1992,"Walter Production, Inc."
1749,10/6/1992,"Osyka Producing Company, Incorporated"
1750,10/2/1992,"Chevron PBC, Inc."
1751,10/2/1992,"Kewanee PBC, Inc."
1752,11/27/1991,Jackson J. Campau (individual)
1753,12/1/1992,Delta Petroleum Corporation
1754,10/23/1992,"Captiva Energy, Inc."
1755,9/14/1992,Jack R. Crissup (individual)
1756,11/25/1992,Nycal Offshore Development Corporation
1757,7/10/1992,Texican Natural Gas Company
1758,1/29/1993,"Offshore Production & Salvage, Inc."
1760,10/8/1992,Ralph F. Johnston (individual)
1761,10/30/1992,EnCap Energy L.C.
1762,11/24/1992,Apache Gathering Company
1763,11/24/1992,"James Resources, Inc."
1723,8/4/1992,Coastal Bend Offshore Exploration Corp.
1724,1/21/1992,El Paso Production Company
1725,7/2/1992,Aquila Offshore Gas Systems Corporation
1726,7/17/1992,Leviathan Gas Pipeline Company
1727,8/7/1992,"Empire Natural Gas, Inc."
1728,8/27/1992,Shell Frontier Oil & Gas Inc.
1729,8/18/1992,Lovera Pipeline Co.
1730,8/28/1992,Las Colinas Energy Corporation
1731,9/2/1992,"Cockrell Group, L.P."
1732,9/2/1992,"Cockrell Oil and Gas, L.P."
1733,8/20/1992,Torch Energy Advisors Incorporated
1734,8/20/1992,TEAI VII-A Limited Partnership
1736,9/3/1992,Transco Exploration Projects Company
1737,9/3/1992,"OEDC, Inc."
1738,9/14/1992,Paul C. McWilliams (individual)
1739,9/8/1992,"Ventura Resources, Inc."
1740,9/8/1992,"Ventura Operating Company, Inc."
1741,9/10/1992,Ridgewood Energy 1990-A Lease Holding Corporation
1742,8/28/1992,"Hammett Offshore, Inc."
1704,4/3/1992,Box Energy Corporation
1705,6/8/1992,SASI Minerals Company
1706,6/15/1992,"Gainco, Inc."
1707,6/15/1992,Trion Resources Corporation
1708,6/1/1992,"Jenco Petroleum, Inc."
1709,6/17/1992,The Brownland Corporation
1710,6/24/1992,"Pierce Junction Petroleum, Inc."
1711,7/8/1992,"Omni Exploration, Inc."
1711,2/9/1993,"Cairn Energy USA, Inc."
1712,7/6/1992,Seagull Natural Gas Company
1713,7/8/1992,"Allard Offshore Management, Inc."
1714,7/13/1992,Woodsfield Exploration Inc.
1715,8/18/1992,FM Properties Operating Co.
1716,7/17/1992,Cavalla Energy Exploration Company
1717,7/23/1992,"G T C Offshore, Inc."
1718,6/26/1992,"Energy Development Services, Inc."
1719,10/1/1992,Diverse GP III
1720,11/15/1991,Wadi Petroleum/P II Limited Partnership
