SN_APD_FK,SN_APD_QA,QUESTION_NUM,QUESTION
-6027,-64559,4,"If requesting a waiver of the conductor casing, have you submitted a log to MMS G&G that is with in 500 feet of the proposed bottom hole location for the proposed surface casing point?"
-6027,-64560,5,Will the proposed operation be covered by an EPA Discharge Permit? (please provide permit number in comments for this question)
-6027,-64561,6,"Will all wells in the well bay and related production equipment be shut-in when moving on to or off of an offshore platform, or from well to well on the platform? If not, please explain."
-6030,-64596,1,Will you maintain quantities of mud and mud material (including weight materials and additives) sufficient to raise the entire system mud weight 1/2 ppg or more?
-6027,-64556,1,Will you maintain quantities of mud and mud material (including weight materials and additives) sufficient to raise the entire system mud weight 1/2 ppg or more?
-6030,-64597,2,"If hydrocarbon-based drilling fluids were used, is the drilling rig outfitted for zero discharge, and will zero discharge procedures be followed?"
-6030,-64598,3,"If drilling the shallow casings strings riserless, will you maintain kill weight mud on the rig and monitor the wellbore with an ROV to ensure that it is not flowing?"
-6030,-64599,4,"If requesting a waiver of the conductor casing, have you submitted a log to MMS G&G that is with in 500 feet of the proposed bottom hole location for the proposed surface casing point?"
-6030,-64600,5,Will the proposed operation be covered by an EPA Discharge Permit? (please provide permit number in comments for this question)
-6030,-64601,6,"Will all wells in the well bay and related production equipment be shut-in when moving on to or off of an offshore platform, or from well to well on the platform? If not, please explain."
-6034,-64642,1,Will you maintain quantities of mud and mud material (including weight materials and additives) sufficient to raise the entire system mud weight 1/2 ppg or more?
-6034,-64643,2,"If hydrocarbon-based drilling fluids were used, is the drilling rig outfitted for zero discharge and will zero discharge procedures be followed?"
-6034,-64644,3,"If drilling the shallow casings strings riserless, will you maintain kill weight mud on the rig and monitor the wellbore with an ROV to ensure that it is not flowing?"
-6034,-64645,4,"If requesting a waiver of the conductor casing, have you submitted a log to MMS G&G that is with in 500 feet of the proposed bottom hole location for the proposed surface casing point?"
-6034,-64646,5,Will the proposed operation be covered by an EPA Discharge Permit? (please provide permit number in comments for this question)
-6034,-64647,6,"Will all wells in the well bay and related production equipment be shut-in when moving on to or off of an offshore platform, or from well to well on the platform? If not, please explain."
-6035,-64648,1,Will you maintain quantities of mud and mud material (including weight materials and additives) sufficient to raise the entire system mud weight 1/2 ppg or more?
-6035,-64649,2,"If hydrocarbon-based drilling fluids were used, is the drilling rig outfitted for zero discharge and will zero discharge procedures be followed?"
-6035,-64650,3,"If drilling the shallow casings strings riserless, will you maintain kill weight mud on the rig and monitor the wellbore with an ROV to ensure that it is not flowing?"
-6035,-64651,4,"If requesting a waiver of the conductor casing, have you submitted a log to MMS G&G that is with in 500 feet of the proposed bottom hole location for the proposed surface casing point?"
-6035,-64652,5,Will the proposed operation be covered by an EPA Discharge Permit? (please provide permit number in comments for this question)
-6035,-64653,6,"Will all wells in the well bay and related production equipment be shut-in when moving on to or off of an offshore platform, or from well to well on the platform? If not, please explain."
-6036,-64654,1,Will you maintain quantities of mud and mud material (including weight materials and additives) sufficient to raise the entire system mud weight 1/2 ppg or more?
-6036,-64655,2,"If hydrocarbon-based drilling fluids were used, is the drilling rig outfitted for zero discharge and will zero discharge procedures be followed?"
-6036,-64656,3,"If drilling the shallow casings strings riserless, will you maintain kill weight mud on the rig and monitor the wellbore with an ROV to ensure that it is not flowing?"
-6036,-64657,4,"If requesting a waiver of the conductor casing, have you submitted a log to MMS G&G that is with in 500 feet of the proposed bottom hole location for the proposed surface casing point?"
-6036,-64658,5,Will the proposed operation be covered by an EPA Discharge Permit? (please provide permit number in comments for this question)
-6036,-64659,6,"Will all wells in the well bay and related production equipment be shut-in when moving on to or off of an offshore platform, or from well to well on the platform? If not, please explain."
-5847,-62096,1,Will you maintain quantities of mud and mud material (including weight materials and additives) sufficient to raise the entire system mud weight 1/2 ppg or more?
-5847,-62097,2,"If hydrocarbon-based drilling fluids were used, is the drilling rig outfitted for zero discharge and will zero discharge procedures be followed?"
-5847,-62098,3,"If drilling the shallow casings strings riserless, will you maintain kill weight mud on the rig and monitor the wellbore with an ROV to ensure that it is not flowing?"
-5847,-62099,4,"If requesting a waiver of the conductor casing, have you submitted a log to MMS G&G that is with in 500 feet of the proposed bottom hole location for the proposed surface casing point?"
-5847,-62100,5,Will the proposed operation be covered by an EPA Discharge Permit? (please provide permit number in comments for this question)
-5847,-62101,6,"Will all wells in the well bay and related production equipment be shut-in when moving on to or off of an offshore platform, or from well to well on the platform? If not, please explain."
-6828,-74239,6,"Will all wells in the well bay and related production equipment be shut-in when moving on to or off of an offshore platform, or from well to well on the platform? If not, please explain."
-6854,-74548,1,Will you maintain quantities of mud and mud material (including weight materials and additives) sufficient to raise the entire system mud weight 1/2 ppg or more?
-6854,-74549,2,"If hydrocarbon-based drilling fluids were used, is the drilling rig outfitted for zero discharge and will zero discharge procedures be followed?"
-6854,-74550,3,"If drilling the shallow casings strings riserless, will you maintain kill weight mud on the rig and monitor the wellbore with an ROV to ensure that it is not flowing?"
-6854,-74551,4,"If requesting a waiver of the conductor casing, have you submitted a log to MMS G&G that is with in 500 feet of the proposed bottom hole location for the proposed surface casing point?"
-6854,-74552,5,Will the proposed operation be covered by an EPA Discharge Permit? (please provide permit number in comments for this question)
-6844,-74394,1,Will you maintain quantities of mud and mud material (including weight materials and additives) sufficient to raise the entire system mud weight 1/2 ppg or more?
-6844,-74395,2,"If hydrocarbon-based drilling fluids were used, is the drilling rig outfitted for zero discharge and will zero discharge procedures be followed?"
-6844,-74396,3,"If drilling the shallow casings strings riserless, will you maintain kill weight mud on the rig and monitor the wellbore with an ROV to ensure that it is not flowing?"
-6844,-74397,4,"If requesting a waiver of the conductor casing, have you submitted a log to MMS G&G that is with in 500 feet of the proposed bottom hole location for the proposed surface casing point?"
-6844,-74398,5,Will the proposed operation be covered by an EPA Discharge Permit? (please provide permit number in comments for this question)
-6844,-74399,6,"Will all wells in the well bay and related production equipment be shut-in when moving on to or off of an offshore platform, or from well to well on the platform? If not, please explain."
