SN_APM_QA,RESPONSECODE,QA_RESPONSE_TXT
-275983,NO,
-275984,YES,
-275985,NO,
-275986,NO,
-275987,,
-275988,NO,
-275989,NO,
-275990,,Exploratory stand alone well.
-275991,NO,
-275992,NO,
-275993,,
-275994,NO,
-275995,NO,
-275996,YES,
-275997,,
-275998,,
-275999,YES,
-276000,,
-276001,NO,
-276002,,
-276003,NO,
-276004,,
-276005,,"The wellhead is in 3,868' of water. We request to leave the wellhead 10' above the mudline."
-276018,NO,
-276019,NO,
-276020,YES,
-271834,YES,
-271835,,
-271836,,
-271837,YES,
-271838,NO,
-271839,NO,
-271840,,
-271841,NO,
-271842,NO,
-271843,,
-271860,NO,
-271861,NO,
-271862,YES,While moving heavy equipment over the well bay.
-271863,NO,
-271864,NO,
-271865,,
-271866,NO,
-271867,,
-271868,,
-271869,,
-271870,,
-271871,YES,
-271878,NO,
-271879,NO,
-271880,YES,
-271881,NO,
-271882,NO,
-271883,YES,
-271884,NO,
-271885,NO,
-271886,NO,
-271887,NO,
-271888,,
-271889,,
-271890,NO,
-271891,NO,
-271892,YES,
-271893,NO,
-271894,,
-271895,,
-271896,NO,
-271897,NO,
-271898,YES,
-271899,NO,
-271900,NO,
-271901,YES,
-271992,YES,
-271993,NO,
-271994,NO,
-271995,,
-271996,NO,
-271997,NO,
-271990,NO,
-271991,NO,
-274421,,
-274422,NO,
-274423,NO,
-274424,,
-274425,,
-274426,,
-274427,YES,
-274428,NO,
-274429,NO,
-274430,,
-274431,,
-274432,,
-274433,YES,
-274446,NO,
-274447,NO,
-274448,YES,
-274449,NO,
-274450,,
-274451,,
-274458,NO,
