SN_WAR_FK,CSNG_INTV_TYPE_CD,CSNG_HOLE_SIZE,CASING_SIZE,CASING_WEIGHT,CASING_GRADE,CSNG_LINER_TEST_PRSS,CSNG_SHOE_TEST_PRSS,CSNG_CEMENT_VOL,SN_WAR_CSNG_INTV
-306583,L,21.5,17.937,93.8,X-80,2200.0,15.9,2503.0,-366194
-305565,C,9.5,8.625,60.7,P-110,5325.0,,,-364385
-306556,L,9.875,7.75,46.1,Q125,,,573.0,-366159
-298889,C,26.0,22.0,328.3,X-80 H-90DME,3600.0,12.7,6816.0,-355153
-301081,C,11.0,8.625,32.0,K55,2704.0,14.6,1751.0,-357773
-304504,C,26.0,22.0,328.3,X-80,670.0,12.7,4073.0,-362588
-305669,C,9.875,7.625,29.7,P-110,3388.0,14.0,1243.0,-364536
-306111,C,9.875,7.625,29.7,HCP-110,3600.0,13.5,2223.0,-365337
-306136,L,12.25,10.125,79.22,JFE-125T,4600.0,0.0,0.0,-365450
-298831,C,16.5,14.0,115.0,VM95HCSS-D,6100.0,15.0,1263.0,-354997
-305423,C,26.0,22.0,224.2,X-80,3500.0,10.9,9404.0,-364210
-305226,L,16.5,13.875,105.89,VM125HYHC,5500.0,14.7,652.0,-363865
-305226,L,14.5,11.875,71.8,TN 125HC,5200.0,13.4,1477.0,-363866
-305564,C,26.0,22.0,224.5,X-80,4500.0,15.6,10456.0,-364375
-303283,L,20.0,16.0,96.0,P110,1800.0,11.1,1751.0,-360710
-305570,L,12.25,10.125,79.22,JFE-125T,4700.0,17.0,1935.0,-364422
-305046,C,12.25,10.125,79.3,JFE-125T,6500.0,15.1,725.0,-363607
-305802,C,11.75,8.625,60.7,P 110,5100.0,15.5,0.0,-364732
-306577,C,26.0,22.0,224.3,X80,2300.0,11.5,5020.0,-366171
-306825,C,20.0,16.0,65.0,J-55,256.0,,1299.0,-366572
-294352,C,12.25,10.125,79.75,SM125S,5672.0,,608.0,-353370
-297582,C,35.5,32.0,291.5,X-60,,,2629.0,-353150
-297582,C,32.0,28.0,220.0,X-56,,,2969.0,-353151
-305533,L,21.0,17.875,93.5,Q-125,3000.0,12.8,1797.0,-364303
-306842,L,22.0,18.0,117.0,P-110,1300.0,12.9,3306.0,-366623
-290561,L,16.5,13.375,72.0,Q-125,1900.0,15.0,480.0,-342215
-290561,L,16.5,14.0,116.0,Q125XHP,1900.0,15.0,480.0,-342215
-298165,L,21.5,18.0,117.0,P-110 HC,3200.0,15.3,1444.0,-354016
-298165,L,21.5,18.0,117.0,P-110 HC,3200.0,15.3,1444.0,-354016
-297420,C,16.5,13.875,106.0,TN 140HC W513 DPLS,5500.0,15.1,606.0,-352946
-299249,C,16.5,13.875,105.89,VM125HYHC,5200.0,16.9,2733.0,-355601
-296141,C,26.0,22.0,328.72,X-80 XL,4500.0,15.7,10365.0,-350977
-296757,C,26.0,22.0,224.2,X-80,3000.0,10.9,6787.0,-351696
-301099,L,17.0,13.625,88.2,Q125 HC,3800.0,13.9,3492.0,-357828
-303581,C,20.0,16.0,65.0,H-40,250.0,,765.0,-361033
-303581,C,9.875,7.625,29.7,P-110,4000.0,,998.0,-361035
-297408,C,13.5,10.75,45.5,J55,2600.0,12.5,1224.0,-352923
-298699,C,17.5,13.625,88.2,JFE-125T SLSF,7280.0,18.3,1818.0,-354854
-303235,C,17.5,13.625,88.2,Q-125HP,4160.0,13.8,1386.0,-360682
-304003,L,16.5,13.875,105.89,VM 125 HYHC,5500.0,14.7,652.0,-361702
-304003,L,14.5,11.875,71.8,TN 125HC,5200.0,14.4,1477.0,-361703
-297502,C,26.0,22.0,224.0,X 80,3500.0,14.6,9747.0,-353058
-297760,L,12.25,10.125,75.9,Q-125 HP,3900.0,,854.0,-353455
-291228,L,17.5,13.625,88.2,Q125,3200.0,14.3,2330.0,-343117
-291228,L,12.25,10.125,81.0,SM 125S,4700.0,0.0,765.0,-353680
-300314,L,21.0,18.0,94.0,Q-125,3600.0,12.5,1651.0,-356915
-304309,C,17.5,13.375,68.0,J-55,2500.0,13.5,5407.0,-362280
-306563,L,21.0,16.04,109.6,Q125HP,4400.0,13.9,6950.0,-366126
-306573,C,26.0,23.0,453.04,X-80Q,2700.0,13.3,7940.0,-366163
-302831,L,13.5,11.875,71.8,Q-125,4150.0,15.0,508.0,-360022
-296842,C,26.0,22.0,170.16,X-60,2700.0,13.0,12486.0,-351932
-300703,C,16.5,14.0,115.53,VM125HYHC,5200.0,16.9,2733.0,-357409
-301278,C,26.0,22.0,224.49,X-80,5200.0,15.6,9311.0,-358047
-302374,C,26.0,22.0,224.0,X  80,,,4077.0,-359377
-297780,C,26.0,22.0,224.21,X 80,2700.0,13.3,7940.0,-353435
-302497,C,26.0,22.0,224.28,X-80 BURST DISC,2700.0,13.3,7940.0,-359548
-297853,L,8.5,7.625,29.7,P-110,1100.0,,193.0,-353573
-298063,L,22.0,17.875,93.5,HCN-80,1800.0,11.4,558.0,-353888
-301573,L,6.5,5.0,18.0,P-110,3500.0,,374.0,-358385
-303186,C,24.0,20.0,133.0,X-56,2300.0,10.5,1960.0,-360583
-303186,C,16.5,13.625,88.2,HC Q125,3000.0,12.6,897.0,-360585
-303186,L,9.875,7.75,46.1,C-110,2300.0,,421.0,-360588
-302948,L,9.875,10.75,79.2,SM125S,2000.0,0.0,409.0,-360212
-303438,L,7.0,4.5,26.0,Q-125,1000.0,,791.0,-360844
-304220,C,9.875,7.625,29.7,P-110,4000.0,0.0,513.0,-362101
-302112,C,26.0,22.0,225.0,X-80,,,10903.0,-359101
-303754,C,17.5,13.375,72.0,S95,0.0,13.9,0.0,-361313
-300403,C,16.0,16.0,65.0,H-40,,,,-357011
-305999,C,26.0,22.0,277.0,X 80,,,10903.0,-365068
-305999,L,20.0,16.1,110.5,Q125-ICY,4300.0,13.8,1538.0,-365070
-306790,L,21.0,17.875,93.5,Q-125,3000.0,12.8,1797.0,-366516
-298715,C,12.25,10.0,69.2,SM125S,5500.0,0.0,1293.0,-356067
-305014,C,17.5,13.375,68.0,K-55,2500.0,15.6,3975.0,-363501
-305940,C,28.0,22.0,224.5,X-80,3000.0,11.0,7613.0,-365020
-298534,C,16.5,14.0,115.0,TN95HS,6700.0,14.8,1432.0,-354671
-301826,L,10.675,9.625,53.5,Q-125,2470.0,14.8,4964.0,-358849
-304091,C,12.25,10.125,79.22,HCQ-125,1950.0,14.7,1133.0,-361908
-304662,L,21.0,16.15,119.23,Q-125 XHP,4400.0,13.9,6950.0,-362898
-304662,L,16.5,13.75,98.6,HPQ-125,3000.0,14.9,1483.0,-362899
-304662,L,16.5,14.0,115.53,Q-125XHP,3000.0,14.9,1483.0,-362899
-305438,C,26.0,22.0,328.3,X--80,4000.0,13.1,1935.0,-364229
-298717,C,28.0,28.0,220.0,X-56,,,3593.0,-354938
-302512,C,12.25,9.625,53.5,HCP-110,5000.0,15.3,1583.0,-359568
-300742,L,8.5,7.0,32.0,P-110,,,,-359838
-304720,L,21.0,17.875,107.0,Q-125ICY,2500.0,14.3,823.0,-363006
-297387,L,21.5,18.0,117.0,Q125 HP - COLLAPSE,2000.0,15.2,1605.0,-352879
-299297,L,9.875,7.75,46.1,Q//125,2000.0,0.0,409.0,-355752
-300007,C,12.25,10.75,73.2,C-95,2050.0,,1235.0,-356650
-298609,C,16.5,14.0,115.0,TN110SS,6700.0,14.8,1432.0,-354812
-298257,C,28.0,22.0,225.0,X-80,500.0,10.8,3187.0,-354226
