SN_OPEN_HOLE_FK,LOG_TOOL_TYPE_CODE
-14887,DIR
-14879,DIR
-14878,DIR
-14877,DIR
-14871,DIR
-14868,DIR
-14863,DIR
-14861,DIR
-14855,DIR
-14851,DIR
-14849,DIR
-14847,DIR
-14846,DIR
-14845,DIR
-14842,DIR
-14841,DIR
-14840,DIR
-14839,DIR
-14833,DIR
-14830,DIR
-14829,DIR
-14827,DIR
-14825,DIR
-14823,DIR
-14816,DIR
-14814,DIR
-14813,DIR
-14803,DIR
-14801,DIR
-14795,DIR
-14791,DIR
-14790,DIR
-14789,DIR
-14788,DIR
-14784,DIR
-14781,DIR
-14776,DIR
-14772,DIR
-14765,DIR
-14763,DIR
-14761,DIR
-14752,DIR
-14743,DIR
-14737,DIR
-14734,DIR
-14727,DIR
-14721,DIR
-14720,DIR
-14718,DIR
-14716,DIR
-14714,DIR
-14711,DIR
-14710,DIR
-14708,DIR
-14707,DIR
-14702,DIR
-14698,DIR
-14694,DIR
-14690,DIR
-14683,DIR
-14679,DIR
-14677,DIR
-14671,DIR
-14669,DIR
-14668,DIR
-14667,DIR
-14657,DIR
-14649,DIR
-14631,DIR
-14626,DIR
-14611,DIR
-14608,DIR
-14596,DIR
-14594,DIR
-14591,DIR
-14587,DIR
-4884,MNP
-4874,MNP
-4366,MNP
-4084,MNP
-4057,MNP
-3993,MNP
-3644,MNP
-3185,MNP
-2350,MNP
-2287,MNP
-2136,MNP
-1654,MNP
-1074,MNP
-975,MNP
-882,MNP
-839,MNP
-614,MNP
-600,MNP
-443,MNP
-419,MNP
-131,MNP
-130,MNP
-129,MNP
-123,MNP
-122,MNP
3641,MNP
3642,MNP
3646,MNP
3681,MNP
3815,MNP
3821,MNP
3869,MNP
3934,MNP
3977,MNP
4039,MNP
4858,MNP
5867,MNP
6170,MNP
6246,MNP
6290,MNP
6346,MNP
6360,MNP
6711,MNP
6944,MNP
6950,MNP
6954,MNP
6961,MNP
7049,MNP
7185,MNP
7205,MNP
7493,MNP
7537,MNP
7587,MNP
8162,MNP
8316,MNP
8426,MNP
8505,MNP
8613,MNP
8684,MNP
8685,MNP
8728,MNP
8848,MNP
8878,MNP
8932,MNP
9496,MNP
9689,MNP
9856,MNP
9857,MNP
9858,MNP
9859,MNP
9973,MNP
10013,MNP
10101,MNP
10249,MNP
10432,MNP
11111,MNP
11140,MNP
11156,MNP
11307,MNP
11373,MNP
11528,MNP
11587,MNP
11588,MNP
11589,MNP
11590,MNP
11591,MNP
11592,MNP
11638,MNP
12112,MNP
12151,MNP
12426,MNP
12631,MNP
12920,MNP
12941,MNP
13140,MNP
13371,MNP
13477,MNP
13562,MNP
13621,MNP
13646,MNP
13651,MNP
13671,MNP
14286,MNP
14881,MNP
14917,MNP
15075,MNP
15197,MNP
15211,MNP
15484,MNP
15581,MNP
15582,MNP
15946,MNP
16298,MNP
16316,MNP
17511,MNP
18638,MNP
18685,MNP
22831,MNP
22832,MNP
22833,MNP
23475,MNP
24835,MNP
24908,MNP
-16223,MPR
-16135,MPR
-16014,MPR
-15980,MPR
-15944,MPR
-15932,MPR
-15904,MPR
-15884,MPR
-15870,MPR
-15825,MPR
-15818,MPR
-15808,MPR
-15729,MPR
-15710,MPR
-15706,MPR
-15701,MPR
-15686,MPR
-15684,MPR
-15680,MPR
-15670,MPR
-15665,MPR
