Lease Number,Production Month,Production Year,Lease Oil Production (BBL),Lease Condensate Production (BBL),Lease Gas-Well-Gas Production (MCF),Lease Oil-Well-Gas Production (MCF),Lease Water Production (BBL),Producing Completions,Lease Max Water Depth (meters)
G25251,1,2020,182781,0,0,25594,51,1,2288
G25251,2,2020,175480,0,0,23371,88,1,2288
G25251,3,2020,159521,0,0,23530,83,1,2288
G25251,4,2020,156339,0,0,23100,81,1,2288
G25251,5,2020,156223,0,0,23285,4,1,2288
G25251,6,2020,154078,0,0,23150,25,1,2288
G25251,7,2020,147101,0,0,24111,33,1,2288
G25251,8,2020,101955,0,0,15429,42,1,2288
G25251,9,2020,156410,0,0,23175,40,1,2288
G25251,10,2020,99863,0,0,15293,26,1,2288
G25251,11,2020,193069,0,0,22122,41,1,2288
G25251,12,2020,211282,0,0,24195,44,1,2288
G25251,1,2021,168330,0,0,20814,42,1,2288
G25251,2,2021,146902,0,0,20249,49,1,2288
G25251,3,2021,49093,0,0,21245,48,1,2288
G25251,4,2021,0,0,0,22229,34,1,2288
G25251,5,2021,163876,0,0,27051,83,1,2288
G25251,6,2021,157642,0,0,23779,267,1,2288
G25251,7,2021,167052,0,0,25451,383,1,2288
G25251,8,2021,144995,0,0,21935,0,1,2288
G25251,9,2021,100944,0,0,15189,0,1,2288
G25251,10,2021,193525,0,0,28905,0,1,2288
G25251,11,2021,157634,0,0,23066,235,1,2288
G25251,12,2021,154003,0,0,22905,221,1,2288
G25251,1,2022,155523,0,0,22749,255,1,2288
G25251,2,2022,141009,0,0,20924,220,1,2288
G25251,3,2022,160518,0,0,22533,698,1,2288
G25251,4,2022,140456,0,0,21246,112,1,2288
G25251,5,2022,129028,0,0,19914,1,1,2288
G25251,6,2022,144418,0,0,22902,10,1,2288
G25251,7,2022,144654,0,0,23874,30,1,2288
G25251,8,2022,138680,0,0,22627,293,1,2288
G25251,9,2022,136311,0,0,24570,185,1,2288
G25251,10,2022,146217,0,0,20907,366,1,2288
G25251,11,2022,140847,0,0,22686,466,1,2288
G25251,12,2022,132919,0,0,22537,257,1,2288
G25251,1,2023,121867,0,0,18767,104,1,2288
G25251,2,2023,109201,0,0,17400,174,1,2288
G25251,3,2023,128550,0,0,19742,288,1,2288
G25251,4,2023,112483,0,0,17821,906,1,2288
G25251,5,2023,126173,0,0,19373,21,1,2288
G25251,6,2023,120073,0,0,18746,17,1,2288
G25251,7,2023,124947,0,0,18170,30,1,2288
G25251,8,2023,93507,0,0,16107,874,1,2288
G25251,9,2023,119062,0,0,19287,0,1,2288
G25251,10,2023,0,117570,18164,0,0,1,2288
G25251,11,2023,108858,0,0,16342,357,1,2288
G25251,12,2023,114653,0,0,17469,493,1,2288
G25251,1,2024,102331,0,0,15711,237,1,2288
G25251,2,2024,98772,0,0,15099,671,1,2288
G25251,3,2024,107692,0,0,17276,922,1,2288
G25251,4,2024,107028,0,0,16162,476,1,2288
G25251,5,2024,111068,0,0,16530,792,1,2288
G25251,6,2024,112717,0,0,15592,77,1,2288
G25251,7,2024,105664,0,0,18070,0,1,2288
G25251,8,2024,98934,0,0,12769,187,1,2288
G25251,9,2024,79877,0,0,12407,31,1,2288
G25251,10,2024,107651,0,0,16080,32,1,2288
G25251,11,2024,255607,0,0,10737,24793,1,2288
G25251,12,2024,229066,0,0,18911,32698,1,2288
