COMPLEX_ID_NUM,STRUCTURE_NUMBER,REMOVAL_DISPOSITION
676,1,To Shore
678,1,To Shore
680,1,
683,1,To Shore
684,1,
685,1,To Shore
690,1,To Shore
698,1,To Shore
699,1,To Shore
702,1,To Shore
705,1,Reuse
706,1,To Shore
707,1,Rigs-to-Reef
708,1,To Shore
711,1,To Shore
712,1,To Shore
713,1,Reuse
718,1,
721,1,To Shore
723,1,To Shore
725,1,To Shore
729,1,To Shore
730,1,To Shore
731,1,To Shore
735,1,Rigs-to-Reef
736,1,To Shore
737,1,To Shore
740,1,To Shore
742,1,To Shore
743,1,To Shore
743,2,To Shore
743,3,To Shore
744,1,To Shore
751,1,Rigs-to-Reef
756,1,To Shore
759,1,
761,1,Rigs-to-Reef
762,1,
763,1,To Shore
763,2,To Shore
769,1,Reuse
770,1,Rigs-to-Reef
773,1,To Shore
775,1,To Shore
776,1,To Shore
776,2,To Shore
777,1,To Shore
778,1,To Shore
779,1,To Shore
785,1,To Shore
789,1,To Shore
790,1,To Shore
793,1,To Shore
794,1,Rigs-to-Reef
795,1,To Shore
796,1,To Shore
798,1,To Shore
799,1,
800,1,To Shore
801,1,
803,1,To Shore
804,1,To Shore
805,1,To Shore
806,1,Rigs-to-Reef
808,1,To Shore
809,1,To Shore
810,1,To Shore
812,1,To Shore
813,1,To Shore
814,1,To Shore
815,1,To Shore
815,2,To Shore
816,1,To Shore
817,1,To Shore
818,1,Reuse
819,1,To Shore
823,1,To Shore
827,1,Rigs-to-Reef
828,1,To Shore
829,1,To Shore
830,1,
831,1,Rigs-to-Reef
832,1,To Shore
836,1,
837,1,To Shore
842,1,To Shore
844,1,To Shore
845,1,To Shore
846,1,To Shore
847,1,To Shore
848,1,To Shore
849,1,To Shore
849,2,To Shore
851,1,
853,1,To Shore
854,1,To Shore
855,1,To Shore
856,1,To Shore
859,1,Rigs-to-Reef
860,1,To Shore
