LEASE_NUMBER,MAX_WTR_DPTH
G32918,1319
G32920,1912
G27677,1166
G34707,1297
G34121,1379
G34711,1278
G33475,1532
G35129,1541
G31156,2028
G32941,1732
G34716,1503
G34133,1589
G34135,1607
G25716,1398
G34137,1398
G25717,1435
G33484,1331
G35525,1321
G24534,1746
G33485,1407
G31165,1502
G23369,1646
G25720,1385
G33492,1236
G31167,1204
G31169,1282
G23371,1362
G33495,1397
G34724,1439
G34725,1463
G33502,1572
G31179,1650
G34159,1634
G24543,1716
G31181,1447
G31184,1603
G32954,1924
G23373,1636
G23374,1938
G34731,1576
G25727,1773
G32963,1839
G34736,1413
G26719,1451
G23381,1673
G24555,1415
G33514,1549
G33517,1718
G25737,1646
G32972,1652
G30898,1309
G24565,1766
G31193,1816
G35142,1235
G35143,1293
G25745,1690
G24568,1790
G24572,1702
G30900,1539
G34762,1769
G24576,1906
G24577,1711
G24578,1908
G34764,2689
G34180,1790
G32980,1627
G23388,2670
G35543,2670
G34181,2657
G30901,1171
G25753,1667
G23390,2339
G34183,2788
G32988,2459
G35153,2640
G24588,1115
G31198,2372
G31199,2382
G34186,2269
G34783,1805
G24598,1652
G35549,1652
G25765,1726
G35553,2934
G35555,1863
G25768,1754
G24605,1822
G35558,1822
G35559,1820
G24609,2996
G24611,1196
G35564,1707
G35565,1860
G25771,1764
G32994,2646
G35163,2980
G36179,1763
G31934,1889
G27374,2121
G35070,2121
