DOC_ID,REGION,DOC_IMPORTED_DATE,DOC_PAGES,DOC_FILESIZE,LEASE_NUMBER,DOC_DATE
596,Gulf of Mexico,9/12/2001,3,40606,G10438     ,2/28/2000
594,Gulf of Mexico,9/12/2001,3,38161,G10478     ,2/28/2000
595,Gulf of Mexico,9/12/2001,3,38161,G10491     ,2/28/2000
597,Gulf of Mexico,9/12/2001,3,40606,G10457     ,2/28/2000
598,Gulf of Mexico,9/12/2001,3,40606,G10458     ,2/28/2000
599,Gulf of Mexico,9/12/2001,3,40606,G10481     ,2/28/2000
600,Gulf of Mexico,9/12/2001,3,40606,G10493     ,2/28/2000
601,Gulf of Mexico,9/12/2001,3,40606,G10494     ,2/28/2000
602,Gulf of Mexico,9/12/2001,3,40606,G10495     ,2/28/2000
603,Gulf of Mexico,9/12/2001,1,24353,G08241     ,2/29/2000
604,Gulf of Mexico,9/12/2001,1,24273,G08252     ,2/29/2000
605,Gulf of Mexico,9/12/2001,1,24359,G11528     ,2/29/2000
606,Gulf of Mexico,9/12/2001,1,25446,G08801     ,4/7/2000
607,Gulf of Mexico,9/12/2001,3,36998,G08309     ,5/25/2000
608,Gulf of Mexico,9/12/2001,3,36998,G08310     ,5/25/2000
609,Gulf of Mexico,9/12/2001,3,36998,G08317     ,5/25/2000
610,Gulf of Mexico,9/12/2001,1,20397,G15195     ,6/14/2000
611,Gulf of Mexico,9/12/2001,1,20359,G15297     ,6/14/2000
612,Gulf of Mexico,9/12/2001,1,25337,G14427     ,6/29/2000
613,Gulf of Mexico,9/12/2001,1,25321,G14427,6/29/2000
614,Gulf of Mexico,9/12/2001,1,25922,G08252     ,6/29/2000
615,Gulf of Mexico,9/12/2001,1,25662,G11528     ,6/29/2000
616,Gulf of Mexico,9/12/2001,3,38579,G10404     ,8/22/2000
617,Gulf of Mexico,9/12/2001,3,38579,G10405     ,8/22/2000
618,Gulf of Mexico,9/12/2001,3,38579,G10408     ,8/22/2000
619,Gulf of Mexico,9/12/2001,3,38579,G10409     ,8/22/2000
620,Gulf of Mexico,9/12/2001,3,38579,G10410     ,8/22/2000
621,Gulf of Mexico,9/12/2001,3,38579,G10415     ,8/22/2000
622,Gulf of Mexico,9/12/2001,2,34550,G06433     ,11/14/2000
623,Gulf of Mexico,9/12/2001,2,34550,G06436     ,11/14/2000
624,Gulf of Mexico,9/12/2001,2,34550,G06440     ,11/14/2000
625,Gulf of Mexico,9/12/2001,3,43555,G10431     ,2/28/2001
626,Gulf of Mexico,9/12/2001,3,44979,G10431     ,2/28/2001
627,Gulf of Mexico,9/12/2001,3,43985,G10431     ,2/28/2001
628,Gulf of Mexico,9/12/2001,3,44010,G10431     ,2/28/2001
629,Gulf of Mexico,9/12/2001,3,44010,G10432     ,2/28/2001
630,Gulf of Mexico,9/12/2001,3,44010,G10433     ,2/28/2001
631,Gulf of Mexico,9/12/2001,3,44010,G10434     ,2/28/2001
632,Gulf of Mexico,9/12/2001,3,44010,G10431,2/28/2001
633,Gulf of Mexico,9/12/2001,1,30291,G15271     ,3/27/2001
634,Gulf of Mexico,9/12/2001,1,30122,G16673     ,3/27/2001
635,Gulf of Mexico,9/12/2001,1,30313,G16680     ,3/27/2001
636,Gulf of Mexico,9/12/2001,3,34249,G10482     ,6/1/2001
637,Gulf of Mexico,9/12/2001,3,34249,G10486     ,6/1/2001
638,Gulf of Mexico,9/12/2001,3,34249,G10487     ,6/1/2001
639,Gulf of Mexico,9/12/2001,3,38042,G10429     ,6/1/2001
640,Gulf of Mexico,9/12/2001,3,38042,G10438     ,6/1/2001
641,Gulf of Mexico,9/12/2001,3,38042,G10457     ,6/1/2001
642,Gulf of Mexico,9/12/2001,3,38042,G10458     ,6/1/2001
643,Gulf of Mexico,9/12/2001,3,38042,G10474     ,6/1/2001
644,Gulf of Mexico,9/12/2001,3,38042,G10481     ,6/1/2001
645,Gulf of Mexico,9/12/2001,3,38042,G10493     ,6/1/2001
646,Gulf of Mexico,9/12/2001,3,38042,G10494     ,6/1/2001
647,Gulf of Mexico,9/12/2001,3,38042,G10495     ,6/1/2001
648,Gulf of Mexico,9/12/2001,3,33029,G10496     ,6/1/2001
649,Gulf of Mexico,9/12/2001,3,32861,G10497     ,6/1/2001
650,Gulf of Mexico,9/12/2001,3,39607,G10456     ,6/1/2001
651,Gulf of Mexico,9/12/2001,3,39607,G10461     ,6/1/2001
652,Gulf of Mexico,9/12/2001,3,39607,G10477     ,6/1/2001
653,Gulf of Mexico,9/12/2001,3,39607,G10462     ,6/1/2001
654,Gulf of Mexico,9/12/2001,3,39607,G10464     ,6/1/2001
655,Gulf of Mexico,9/12/2001,3,39607,G10471     ,6/1/2001
656,Gulf of Mexico,9/12/2001,3,39607,G10472     ,6/1/2001
657,Gulf of Mexico,9/12/2001,3,39607,G10473     ,6/1/2001
658,Gulf of Mexico,9/12/2001,3,41023,G10498     ,6/1/2001
659,Gulf of Mexico,9/12/2001,3,41023,G10499     ,6/1/2001
660,Gulf of Mexico,9/12/2001,3,41023,G10502     ,6/1/2001
661,Gulf of Mexico,9/12/2001,3,41023,G10506     ,6/1/2001
662,Gulf of Mexico,9/12/2001,3,41023,G10509     ,6/1/2001
663,Gulf of Mexico,9/12/2001,3,41023,G10510     ,6/1/2001
664,Gulf of Mexico,9/12/2001,3,41026,G06464     ,6/1/2001
665,Gulf of Mexico,9/12/2001,3,41026,G06469     ,6/1/2001
666,Gulf of Mexico,9/12/2001,3,41026,G06470     ,6/1/2001
667,Gulf of Mexico,9/12/2001,3,41026,G06474     ,6/1/2001
668,Gulf of Mexico,9/12/2001,3,41026,G06475     ,6/1/2001
669,Gulf of Mexico,9/12/2001,3,41026,G06476     ,6/1/2001
670,Gulf of Mexico,9/12/2001,3,41026,G06477     ,6/1/2001
671,Gulf of Mexico,9/12/2001,3,41026,G10455     ,6/1/2001
672,Gulf of Mexico,9/12/2001,3,41026,G10459     ,6/1/2001
673,Gulf of Mexico,9/12/2001,3,41026,G10463     ,6/1/2001
674,Gulf of Mexico,9/12/2001,3,41026,G10465     ,6/1/2001
675,Gulf of Mexico,9/12/2001,3,41026,G10466     ,6/1/2001
676,Gulf of Mexico,9/12/2001,3,40393,G10439     ,6/1/2001
677,Gulf of Mexico,9/12/2001,3,40393,G10440     ,6/1/2001
678,Gulf of Mexico,9/12/2001,3,40393,G10443     ,6/1/2001
679,Gulf of Mexico,9/12/2001,3,40393,G10467     ,6/1/2001
680,Gulf of Mexico,9/12/2001,3,40393,G10468     ,6/1/2001
681,Gulf of Mexico,9/12/2001,3,40393,G10469     ,6/1/2001
682,Gulf of Mexico,9/12/2001,3,40393,G10470     ,6/1/2001
683,Gulf of Mexico,9/12/2001,3,40393,G10475     ,6/1/2001
684,Gulf of Mexico,9/12/2001,3,40393,G10478     ,6/1/2001
685,Gulf of Mexico,9/12/2001,3,37574,G10511     ,6/1/2001
686,Gulf of Mexico,9/12/2001,3,37574,G10512     ,6/1/2001
687,Gulf of Mexico,9/12/2001,3,34740,G10441     ,6/1/2001
688,Gulf of Mexico,9/12/2001,3,34747,G10444     ,6/1/2001
689,Gulf of Mexico,9/12/2001,3,34703,G10445     ,6/1/2001
690,Gulf of Mexico,9/12/2001,3,39688,G06442     ,6/1/2001
691,Gulf of Mexico,9/12/2001,3,39688,G06443     ,6/1/2001
692,Gulf of Mexico,9/12/2001,3,39688,G06444     ,6/1/2001
693,Gulf of Mexico,9/12/2001,3,39688,G10428     ,6/1/2001
