DOC_ID,REGION,DOC_IMPORTED_DATE,DOC_PAGES,DOC_FILESIZE,API_WELL_NUMBER,LEASE_NUMBER,WELL_NAME
239,Gulf of Mexico,3/14/2000,6,226406,177170060100,31,U-19        
237,Gulf of Mexico,3/14/2000,3,118158,177170057000,31,U-16        
238,Gulf of Mexico,3/14/2000,12,399090,177170059800,31,U-17        
240,Gulf of Mexico,3/14/2000,9,320662,177172003100,31,U-25        
241,Gulf of Mexico,3/14/2000,6,203193,177172003800,31,U-28        
242,Gulf of Mexico,3/14/2000,2,68650,177174008900,31,U-29        
243,Gulf of Mexico,3/14/2000,12,415630,177172009800,31,U-31        
244,Gulf of Mexico,3/14/2000,4,151515,177172010000,31,U-32        
245,Gulf of Mexico,3/14/2000,4,167840,177174008800,31,U-33        
246,Gulf of Mexico,3/14/2000,3,122963,177174008700,31,U-34        
247,Gulf of Mexico,3/14/2000,3,109174,177174009100,31,U-35        
248,Gulf of Mexico,3/14/2000,8,288481,177174014200,31,U-36        
249,Gulf of Mexico,3/14/2000,15,584653,177174014500,31,U-38        
250,Gulf of Mexico,3/14/2000,11,380515,177174014600,31,U-39        
251,Gulf of Mexico,3/14/2000,30,1188770,177174015000,31,U-40        
252,Gulf of Mexico,3/14/2000,9,302350,177174015200,31,U-44        
253,Gulf of Mexico,3/14/2000,5,200667,177174015300,31,U-45        
254,Gulf of Mexico,3/14/2000,11,386775,177174029800,31,U-49        
255,Gulf of Mexico,3/14/2000,6,219748,177174030100,31,U-50        
256,Gulf of Mexico,3/14/2000,8,287974,177170068400,31,W-25-D      
257,Gulf of Mexico,3/14/2000,4,161614,177170065401,31,W-31        
258,Gulf of Mexico,3/14/2000,2,85881,177174018000,31,W-31        
259,Gulf of Mexico,3/14/2000,5,177818,177174016700,31,W-33        
260,Gulf of Mexico,3/14/2000,16,545384,177174180000,31,W-35        
261,Gulf of Mexico,3/14/2000,3,106722,177174017600,31,W-36        
262,Gulf of Mexico,3/14/2000,5,169278,177174028000,31,W-38        
263,Gulf of Mexico,3/14/2000,4,147244,177174027700,31,W-39        
264,Gulf of Mexico,3/14/2000,9,594855,177194057800,16,L-22        
265,Gulf of Mexico,3/14/2000,6,253898,177190070200,16,N-10        
266,Gulf of Mexico,3/14/2000,8,273927,177194026100,16,N-20        
267,Gulf of Mexico,3/14/2000,8,403099,177194061000,16,N-23        
268,Gulf of Mexico,3/14/2000,4,178795,177190023800,16,N-6-D       
269,Gulf of Mexico,3/14/2000,2,99796,177190023900,16,N-7/7-D     
270,Gulf of Mexico,3/14/2000,6,277219,177190023402,16,N-9         
271,Gulf of Mexico,3/14/2000,11,434943,177190070200,16,N-10        
272,Gulf of Mexico,3/14/2000,3,133823,177190075000,16,N-12        
273,Gulf of Mexico,3/14/2000,2,97184,177190070300,16,N-13/13-D   
274,Gulf of Mexico,3/14/2000,9,331690,177190071100,16,N-18        
275,Gulf of Mexico,3/14/2000,4,132849,177194026000,16,N-19        
276,Gulf of Mexico,3/14/2000,18,637538,177194026100,16,N-20        
277,Gulf of Mexico,3/14/2000,8,259841,177194057100,16,N-21        
278,Gulf of Mexico,3/14/2000,10,415039,177194060400,16,N-22        
279,Gulf of Mexico,3/14/2000,17,752240,177194060100,16,N-23        
280,Gulf of Mexico,3/14/2000,3,123554,177190024101,16,Q-4/4-D/4-T 
281,Gulf of Mexico,3/14/2000,13,429102,177190024300,16,Q-11        
282,Gulf of Mexico,3/14/2000,13,441684,177194053900,16,Q-20        
283,Gulf of Mexico,3/14/2000,10,328479,177190025300,16,S-9-D       
284,Gulf of Mexico,3/14/2000,10,299974,177190072300,16,S-18        
285,Gulf of Mexico,3/14/2000,8,239300,177194049200,16,S-24        
286,Gulf of Mexico,3/14/2000,8,262415,177190025400,16,U-4         
287,Gulf of Mexico,3/14/2000,5,185116,177190025400,16,W-2         
288,Gulf of Mexico,3/14/2000,2,75613,177190080000,16,W-5/5-D     
289,Gulf of Mexico,3/14/2000,6,216023,177190080100,16,W-6         
290,Gulf of Mexico,3/14/2000,2,59077,177150051800,18,D-4         
291,Gulf of Mexico,3/14/2000,2,73667,177154036000,18,D-19        
292,Gulf of Mexico,3/14/2000,5,168086,177154065700,18,D-22        
293,Gulf of Mexico,3/14/2000,2,78455,177150048600,19,A-7         
294,Gulf of Mexico,3/14/2000,2,66290,177150056000,19,A-16        
295,Gulf of Mexico,3/14/2000,10,354106,177154058300,19,B-24        
296,Gulf of Mexico,3/14/2000,4,145732,177150066300,19,C-6-D       
297,Gulf of Mexico,3/14/2000,2,44710,177154062600,19,E-13        
298,Gulf of Mexico,3/14/2000,10,280909,177154050700,19,G-1         
299,Gulf of Mexico,3/14/2000,9,281821,177154049500,19,G-2         
300,Gulf of Mexico,3/14/2000,20,763821,177154054200,19,G-5         
301,Gulf of Mexico,3/14/2000,2,68717,177154052300,19,G-7         
302,Gulf of Mexico,3/14/2000,31,1273363,177154051800,19,G-8         
303,Gulf of Mexico,3/14/2000,7,266628,177154054000,19,G-12        
304,Gulf of Mexico,3/14/2000,5,199264,177154050900,19,G-13        
305,Gulf of Mexico,3/14/2000,27,1062026,177154052000,19,G-14        
306,Gulf of Mexico,3/14/2000,12,402519,177154054300,19,G-17        
307,Gulf of Mexico,3/14/2000,7,230978,177154052800,19,G-18        
308,Gulf of Mexico,3/14/2000,9,309628,177154054800,19,G-20        
309,Gulf of Mexico,3/14/2000,22,720402,177154064700,19,G-22        
310,Gulf of Mexico,3/14/2000,15,654976,177154054900,19,G-23        
311,Gulf of Mexico,3/14/2000,5,165329,177154080100,19,G-28        
312,Gulf of Mexico,3/14/2000,6,182002,177154080200,19,G-31        
313,Gulf of Mexico,3/14/2000,12,510222,177154087800,19,G-32        
314,Gulf of Mexico,3/14/2000,3,95792,177150096899,20,2           
315,Gulf of Mexico,3/14/2000,3,124543,177154074101,20,29          
316,Gulf of Mexico,3/14/2000,2,56509,177150031700,20,B-1         
317,Gulf of Mexico,3/14/2000,28,913030,177150031900,20,B-3         
318,Gulf of Mexico,3/14/2000,9,306034,177150086700,20,B-6         
319,Gulf of Mexico,3/14/2000,9,263185,177150084500,20,B-8/8-D     
320,Gulf of Mexico,3/14/2000,3,114111,177150102200,20,B-9         
321,Gulf of Mexico,3/14/2000,26,862210,177150108100,20,B-18        
322,Gulf of Mexico,3/14/2000,5,178432,177154057900,20,B-21        
323,Gulf of Mexico,3/14/2000,13,418248,177154057000,20,B-22        
324,Gulf of Mexico,3/14/2000,5,169766,177154066000,20,B-23        
325,Gulf of Mexico,3/14/2000,5,168930,177154073300,20,G024
326,Gulf of Mexico,3/14/2000,19,716866,177154058500,20,B-25        
327,Gulf of Mexico,3/14/2000,16,621945,177154061701,20,B-26        
328,Gulf of Mexico,3/14/2000,14,410637,177154063800,20,B-27        
329,Gulf of Mexico,3/14/2000,2,53615,177154064900,20,B-28        
330,Gulf of Mexico,3/14/2000,16,471961,177154067700,20,B-32        
331,Gulf of Mexico,3/14/2000,4,149573,177500750000,20,C-3         
332,Gulf of Mexico,3/14/2000,2,79149,177150077801,20,C-5
333,Gulf of Mexico,3/14/2000,2,76186,177150084600,20,C-11        
334,Gulf of Mexico,3/14/2000,19,640802,177174013500,32,3           
335,Gulf of Mexico,3/14/2000,20,788291,177174018700,32,A-16        
336,Gulf of Mexico,3/14/2000,11,370668,177174013000,33,3           
