SN_EOR_WELL_COMP_FK,SN_HC_BEARING_INTVL_FK
-10181,-18755
-12002,-56869
-3633,-20994
-14378,-60905
-17614,-67927
-1297,-6276
-3431,-19925
-7413,-40744
-9754,-50213
-13051,-58576
-7250,-39612
-16226,-64806
-17425,-67980
-9108,-47991
-893,-4176
-22064,-83735
-22752,-83734
-318,-1488
-14304,-1487
-8101,-43674
-3838,-22259
-6866,-22258
-9585,-22257
-3727,-21477
-12949,-21475
-16508,-21474
-20773,-21466
-26244,-21464
-1923,-10242
-3120,-18795
-13543,-22545
-3905,-22545
-23949,-22542
-5651,-31966
-1409,-6906
-1679,-8916
-12005,-56870
-17782,-69020
-17049,-66923
-8757,-46287
-12900,-45483
-8757,-45483
-2695,-15875
-16486,-65337
-2019,-11163
-9443,-49519
-1996,-10969
-7375,-13026
-2259,-13025
-13478,-59443
-19320,-73923
-8252,-44379
-2028,-11205
-21980,-83187
-2247,-12885
-18260,-70645
-7732,-41971
-19435,-74352
-18096,-70042
-20264,-76909
-19117,-73158
-19085,-73056
-20876,-78723
-5891,-33065
-2975,-17512
-7468,-40991
-7469,-40990
-20968,-79183
-7655,-34347
-5965,-34345
-19206,-73467
-3424,-19939
-4879,-27926
-3568,-20560
-12666,-58199
-3984,-23062
-8751,-23061
-12663,-23058
-5053,-17352
-2935,-17352
-8056,-43474
-2163,-12171
-5540,-31223
-3190,-18716
-21914,-82924
-25545,-98783
-21117,-79623
-28715,-114900
-7023,-25940
-4516,-25940
-6528,-35966
-3750,-21680
-1198,-5801
-8329,-44677
-24419,-95538
-24038,-94493
-25993,-100609
-15669,-63669
-23389,-91130
-15528,-63362
