PROJECT_ID,WORKBOOK_FILE,WORKBOOK_SHA256,WORKBOOK_SHEET,WORKBOOK_CELL,WORKBOOK_ROLE,WORKBOOK_CATEGORY,WORKBOOK_VALUE,VALUE_UNIT,CURRENCY,PRICE_BASIS,BASIS_YEAR,OWNERSHIP_BASIS,SCOPE_BASIS,CAPEX_BASIS,REQUIREMENT_IDS,MAPPING_STATUS,COUNTING_DISPOSITION,EVIDENCE_DERIVATION,SOURCE_PROVENANCE,ASSUMPTION_VINTAGE,COMPARISON_ELIGIBILITY,NOTES
prj-000001,financial_project_summary.xlsx,00f200def283d307293bb93033f070718722618b9a8ace2bbbe11bfbffeddf04,Project_Summary,E3,project_summary_component,host,2000000000,USD,USD,nominal,,gross,project,project_capex,req-000001,mapped,overlap,assumed,workbook_assumption,FDAS_V30,ineligible,Component of the additive facilities total J3.
prj-000001,lease_assumptions.xlsx,a1193f669db49ac33b87481733fb13af409844fed890e763b4e8726e329a1407,assumptions,D10,assumption_input,host,2000,USD MM,USD,nominal,,gross,component,component_capex,req-000001,mapped,overlap,assumed,workbook_assumption,FDAS_V30,ineligible,Non-additive assumption input.
prj-000001,financial_project_summary.xlsx,00f200def283d307293bb93033f070718722618b9a8ace2bbbe11bfbffeddf04,Project_Summary,F3,project_summary_component,SURF,0,USD,USD,nominal,,gross,project,project_capex,req-000005,mapped,overlap,assumed,workbook_assumption,FDAS_V30,ineligible,Component of the additive facilities total J3.
prj-000001,lease_assumptions.xlsx,a1193f669db49ac33b87481733fb13af409844fed890e763b4e8726e329a1407,assumptions,D12,assumption_input,SURF,0,USD MM/well,USD,nominal,,gross,component,component_capex,req-000005,mapped,overlap,assumed,workbook_assumption,FDAS_V30,ineligible,Non-additive per-well assumption input.
prj-000001,financial_project_summary.xlsx,00f200def283d307293bb93033f070718722618b9a8ace2bbbe11bfbffeddf04,Project_Summary,G3,project_summary_component,booster pump,0,USD,USD,nominal,,gross,project,project_capex,,unmapped,overlap,assumed,workbook_assumption,FDAS_V30,ineligible,No controlled Big Foot requirement represents this zero-valued category.
prj-000001,lease_assumptions.xlsx,a1193f669db49ac33b87481733fb13af409844fed890e763b4e8726e329a1407,assumptions,D37,assumption_input,booster pump,0,USD MM/pump,USD,nominal,,gross,component,component_capex,,unmapped,overlap,assumed,workbook_assumption,FDAS_V30,ineligible,Non-additive 15k booster assumption with no controlled requirement.
prj-000001,lease_assumptions.xlsx,a1193f669db49ac33b87481733fb13af409844fed890e763b4e8726e329a1407,assumptions,D38,assumption_input,booster pump,0,USD MM/pump,USD,nominal,,gross,component,component_capex,,unmapped,overlap,assumed,workbook_assumption,FDAS_V30,ineligible,Non-additive 20k booster assumption with no controlled requirement.
prj-000001,financial_project_summary.xlsx,00f200def283d307293bb93033f070718722618b9a8ace2bbbe11bfbffeddf04,Project_Summary,H3,project_summary_component,water-injection pump/facility,0,USD,USD,nominal,,gross,project,project_capex,,unmapped,overlap,assumed,workbook_assumption,FDAS_V30,ineligible,Zero pump component with no controlled requirement.
prj-000001,lease_assumptions.xlsx,a1193f669db49ac33b87481733fb13af409844fed890e763b4e8726e329a1407,assumptions,D15,assumption_input,water-injection pump/facility,100,USD MM/facility,USD,nominal,,gross,component,component_capex,req-000003,mapped,overlap,assumed,workbook_assumption,FDAS_V30,ineligible,Non-additive facility input that explains the facilities residual.
prj-000001,lease_assumptions.xlsx,a1193f669db49ac33b87481733fb13af409844fed890e763b4e8726e329a1407,assumptions,D36,assumption_input,water-injection pump/facility,0,USD MM/pump,USD,nominal,,gross,component,component_capex,,unmapped,overlap,assumed,workbook_assumption,FDAS_V30,ineligible,Non-additive pump input with no controlled requirement.
