award_id,source_award_key,project_id,display_label,state,active,aliases_json,validation_group_id,created_source_sha256,migration_note,no_reuse
awd-bf5667af96c94e4d80765a29cfcf69d2,src-awd-e96355a9d0e54336b8e88d992ece95f7,prj-069d700f9e4c4b52856a4bd31fe4e1fb,Liza Phase 1 / 2017 / SBM Offshore,active,true,[],vg-prj-1ea1d94dca6b48939c1beebe5d663c0b,9c18cb67b06a062d583cfd9f9aaa7c126f56b3fa82dfb8f8480cc8426c71ed5a,,true
awd-8ab276fda94c42fe866711471372bfef,src-awd-6cf7afc46699407390dd8a94b5ddac85,prj-069d700f9e4c4b52856a4bd31fe4e1fb,Liza Phase 1 / 2024 / SBM Offshore,active,true,[],vg-prj-1ea1d94dca6b48939c1beebe5d663c0b,5bfdefeb0b745f4aad59b4d4916c903b4bc3ec5798e2a053540e80b2092b8fcb,,true
awd-d61d6a41a8da4360a0850c350da9ba7e,src-awd-fb9ea9a07cf7418b862f8d2a4188e37d,prj-069d700f9e4c4b52856a4bd31fe4e1fb,Liza Phase 1 / 2017 / TechnipFMC,active,true,[],vg-prj-1ea1d94dca6b48939c1beebe5d663c0b,d506d950ce1d868af45f10a4519a9a153309854025ab76d9fb26fd0e5e917234,,true
awd-8ded8bcb6807438d93f86bc2b7961d6f,src-awd-8bdbf6c093eb4f12ae4795003e8b97ab,prj-069d700f9e4c4b52856a4bd31fe4e1fb,Liza Phase 1 / 2017 / Saipem,active,true,[],vg-prj-1ea1d94dca6b48939c1beebe5d663c0b,389bf623f40d25526f5d9480587461d64c106a067ebc8372b3cc59522faaa9d8,,true
awd-037e3b01f3594e37aa7d3ea864c1519a,src-awd-218d83ebda34481da73b842ad2cfb8a8,prj-069d700f9e4c4b52856a4bd31fe4e1fb,Liza Phase 1 / 2017 / Noble Corporation,active,true,[],vg-prj-1ea1d94dca6b48939c1beebe5d663c0b,7b952671797129cf49bc480f36fd5129edeeef7201b37aa37d5c969d4004fc17,,true
awd-54e768b7e5404e20b2e2be570dac1d7d,src-awd-e5609903c7ce41a5845213a5b32230e3,prj-0e52536bd5864f70ac18f8685198d000,Liza Phase 2 / 2019 / SBM Offshore,active,true,[],vg-prj-8ac47283773d495eb31fb383893b16be,37c12a25911c0a224d4229813182b3858b3199e0a36c369e489f2340d350cd14,,true
awd-37f37b6716214fc7ae4cacdfc8fb49cd,src-awd-c282fc9f499c437dab3c751bfb318c4d,prj-0e52536bd5864f70ac18f8685198d000,Liza Phase 2 / 2023 / SBM Offshore,active,true,[],vg-prj-8ac47283773d495eb31fb383893b16be,fd0bb525d30b0633265dae779161fd9ba2faa028118524dc3bef72da6e285de8,,true
awd-1123d08cea334e8fa828caf16a07954a,src-awd-f9d800cb0e154b8b889361978efeb517,prj-0e52536bd5864f70ac18f8685198d000,Liza Phase 2 / 2018 / TechnipFMC,active,true,[],vg-prj-8ac47283773d495eb31fb383893b16be,2a0800d6daf2842ebaf1d1d9df695f42d19e3ee53681cfa2b7c2f481f4d0eb23,,true
awd-13ad69d31b84492f875fdab377ee3832,src-awd-64d70980b91a402daebf3933c31bf725,prj-0e52536bd5864f70ac18f8685198d000,Liza Phase 2 / 2018 / Saipem,active,true,[],vg-prj-8ac47283773d495eb31fb383893b16be,8fd54124112ebd2e84822742c092c1f64284b8b043db2e7b74e2799eb17f68b6,,true
awd-2f5533a8c5be4f5e8348f10548b0cba5,src-awd-bee6cd14a5fa48dab9c988b66b13298d,prj-0e52536bd5864f70ac18f8685198d000,Liza Phase 2 / 2020 / Noble Corporation,active,true,[],vg-prj-8ac47283773d495eb31fb383893b16be,73c7f75e6d41febbf8eb2f454a98aeae089ce8c9462492e901baa6ef36a1f755,,true
