source_project_key,locator_json,locator_sha256,source_row_sha256,active
src-prj-7013c959eb214fc5b0b0ad83caafbf7f,"{""PROJECT"":""Agogo Integrated West Hub""}",4dcf128ee5ca47c647d91ccc77f4ccd52339cd4687ab473da72032a6fbaf076a,c0ab349c41e5a79446b40c4a189a023c1d30877dd3b7d2de4b87d7113a10a678,true
src-prj-40ad990b0e6745b4aec7b3f5887f6479,"{""PROJECT"":""Anchor""}",7d5e1c48a2d19ef00fa4097aa5cc930444a4abf9f453486e846d2b1372cebb83,290de42e890fd7a21a86a77f35e5993a1a23a6740f11fd0a953be819b208f7c5,true
src-prj-ff8c9141904d4c978c5dde1a23645296,"{""PROJECT"":""Appomattox""}",66deec128db85c651db2da29ecf6d2d7aa4767a0ef2a3b3d1c8aa7e9f8740625,ed50bd3b06cf794f5664698d67f2da24346d52ee6746353e5abaec361d89b031,true
src-prj-93816b21e6fa4a65999f1aa3fa9792b7,"{""PROJECT"":""Atlanta Full Field (Definitive System)""}",e8a46e445c15925b69035564476c2251658598dc1baeafa3c81ba594dec2073f,fe8ae922ce471a17ddaa7ea7a41e66d9131345c3db25be4b43a1429696c63a71,true
src-prj-6d4e4eafa37447ba84c0b9c5abc6b610,"{""PROJECT"":""Atlantis (Phase 1)""}",a4c38fe53ec529a4f073fd6a995822c49d620daa2dc9a918bd367a1c606e97a3,cb0a33d40d77099c43cbc9a05e17d408ca2387848bdc37f68824acd3fb2d4e26,true
src-prj-107b37296c6448ccb71a428c83df7899,"{""PROJECT"":""Atlantis Phase 3""}",c2c72fa0c630be529e80db7030bf3184fbcbc474bc06757e1148d28dd4e044fa,73a9da5ef598229cb1862958e370e8ff916a7038794721b5fca72516f07cb674,true
src-prj-4eee0ba3f9d2415e8e3eac293432b64c,"{""PROJECT"":""Azeri Central East (ACG)""}",9acdf5ad29b7f4ab1562642a1c67119535652abf76dcb46e8a24530ba9f09a2e,1dceb8dee0142d8a9829b00c935b446246fd011f2859ffcbb69a3bd8f8dd6049,true
src-prj-8c140c00420b45aaa1076e885a14291e,"{""PROJECT"":""BM-C-33 (Raia Manta/Raia Pintada)""}",b70e3ea39b94f242f1ebd42cecb3ed040ea06bdc210ac2671c207e01e303ea75,d9ecc3bbeb33ec4cb9310e043f9b1f516724f31c32680f3989fae36ec20e47c2,true
src-prj-f5eec71dcde742a39972bd2b1c429b1d,"{""PROJECT"":""Bacalhau Phase 1""}",db38d167bb0fa8ac84503f3297ada281f94cd017786607bc645600efa499b11b,9734d9a2c6b4d7be26af217d8116b6b8dfd10995da6c54f450c797c3c2541517,true
src-prj-7660745b1c22432b8f3ccf4870c9679f,"{""PROJECT"":""Balder X / Balder Future""}",dd8580261da14d00c58df04bbb4e83604e8eb6ce3a54224f2718954d32b2a5da,405ab8871dda18a040907e33671d26fa1908d11e386a267050b0fd0207e93dda,true
