VESSEL_NAME,TYPE,CURRENT_STATUS,OPERATOR,OPERATING_WATER_DEPTH_M,LOCATION,CLASSIFICATION_ORG,HULL_CLASS_DESIGNATION,CVA_SCOPE_OF_WORK,RIG_TYPE,RIG_LEASED_OR_OWNED,CONTRACTOR_AND_RIG
HUTTON,TLP,RETIRED,ConocoPhillips,147,UK,Lloyd's Register,,N/A,"25,000' API Platform Rig",Owned,
JOLLIET,TLWP,PRODUCING,MC Offshore Petroleum,536,US - GOM,NONE,N/A,ABS (D),Work over,Leased,
SNORRE A,TLP,PRODUCING,Statoil,335,NORWAY,,,N/A,,,
AUGER,TLP,PRODUCING,Shell,873,US - GOM,NONE,N/A,ABS (D),"25,000' Rated Platform Rig",Leased,Zane Barnes Semi-Sub Rig
HEIDRUN,TLP,PRODUCING,Statoil,345,NORWAY,,,N/A,,,
MARS,TLP,PRODUCING,Shell,894,US - GOM,NONE,N/A,ABS (D),,,
RAM/POWELL,TLP,PRODUCING,Shell,980,US - GOM,NONE,N/A,ABS (D),"25,000' API Platform Rig",Leased,HP Rig #202
MORPETH,TLP,PRODUCING,Eni,518,US - GOM,ABS,+A1 FOI,ABS (D/F/I),None,NA,NA
URSA,TLP,PRODUCING,Shell,1159,US - GOM,NONE,N/A,ABS (D),API Platform Rig,Leased,HP Rig #201
ALLEGHENY,TLP,PRODUCING,Eni,1009,US - GOM,ABS,+A1 FOI,ABS (D/F/I),None,NA,NA
MARLIN,TLP,PRODUCING,BP,987,US - GOM,ABS,+A1 FPS,ABS (D/F/I),,Leased,
TYPHOON,TLP,Damaged in Hurricane and converted into Artificial reef,Chevron,639,US - GOM,ABS,+A1 FOI,ABS (D/F/I),None,Leased,NA
BRUTUS,TLP,PRODUCING,Shell,910,US - GOM,NONE,N/A,ABS (D),"25,000' Rated Platform Rig",Leased,HP Rig #202
PRINCE,TLP,PRODUCING,Palm Energy Offshore,454,US - GOM,ABS,+A1 FOI,ABS (D/F/I),"1,200 HP   Platform Rig",Leased,Nabors's Super Sundowner
WEST SENO A,TLWP,PRODUCING,Chevron,1021,INDONESIA,ABS,+A1 FOI,N/A,Tender Assisted Platform Rig,Leased,Smedvig's West Alliance Tender
MATTERHORN,TLP,PRODUCING,Total,859,US - GOM,ABS,+A1 FOI,ABS (D/F/I),"1,000 HP  Platform Rig",Leased,Nabors's SuperSundowner XVI
MARCO POLO,TLP,PRODUCING,Anadarko,1311,US - GOM,ABS,+A1 FOI,ABS (D/F/I),"1,200 HP Work over Rig",Leased,
KIZOMBA A,TLWP,PRODUCING,ExxonMobil,1178,ANGOLA,DNV,,N/A,"25,000'  Tender Assisted Rig",Leased,Pride International
MAGNOLIA,TLP,PRODUCING,ConocoPhillips,1425,US - GOM,ABS,+A1 FOI,ABS (D/F/I),Compl./Work over,Leased,Nabors
KIZOMBA B,TLWP,PRODUCING,ExxonMobil,1178,ANGOLA,DNV,,N/A,"25,000' Rated Rig   Tender Assisted Rig",Leased,
OVENG,TLWP,PRODUCING,Amerada Hess,271,EQUATORIAL GUINEA,NONE,N/A,N//A,Tender Assisted Rig (TAD),Leased,Atwood Oceanics's Seahawk
OKUME/EBANO,TLWP,PRODUCING,Amerada Hess,503,EQUATORIAL GUINEA,NONE,N/A,N/A,Tender Assisted Drilling Rig (TAD),Leased,Atwood Oceanics's Seahawk
NEPTUNE,TLP,PRODUCING,BHP,1280,US - GOM,ABS,+A1 FOI,ABS (D/F/I),None,NA,NA
SHENZI,,PRODUCING,BHP,1333,US - GOM,ABS,+A1 FOI,ABS (D/F/I),,,
PAPA TERRA P-61,,,Petrobras,1180,BRAZIL - CAMPOS BASIN,,,,,,
