summary_nr,report_id,event_date,event_time,event_desc,event_keyword,const_end_use,build_stories,nonbuild_ht,project_cost,project_type,sic_list,fatality,state_flag,abstract_text,load_dt
508960,1050210,1994-06-05 22:30:00,,Employees injured by flash fire,"WORK RULES,SCBA,TANK,BURN,CONFINED SPACE,FIRE,CONSTRUCTION",,,,,,"1311,1629",,,,2019-07-22 00:18:27 EDT
514661,625700,1990-04-06 00:00:00,,Employee killed when struck in head by check valve cap,"HEAD,CHECK VALVE,EQUIPMENT FAILURE,HIGH PRESSURE,VALVE,OIL WELL SERVICING,STRUCK BY,FLYING OBJECT",,,,,,1389,X,,,2019-07-22 00:18:27 EDT
514893,625700,1990-05-06 00:00:00,,"Employee drowns in oxygen deficient tank, two hospitalized","OXYGEN DEFICIENCY,UNCONSCIOUSNESS,ASPHYXIATED,CONFINED SPACE,WORK RULES,DROWN,GAS WELL DRILLING,RESPIRATOR",,,,,,1381,X,,,2019-07-22 00:18:27 EDT
515148,625700,1990-09-27 00:00:00,,Employee crushed to death by well-testing burner,"CRUSHED,OIL WELL SERVICING,STORAGE RACK,INATTENTION",,,,,,1389,X,,,2019-07-22 00:18:27 EDT
515155,625700,1990-08-29 00:00:00,,Derrrickman killed when crushed against derrick by pipe,"DERRICK,DERRICKMAN,COLLAPSE,CRUSHED,OIL WELL SERVICING,PIPE,DERRICK PLATFORM",,,,,,1389,X,,,2019-07-22 00:18:27 EDT
521211,830600,1994-09-01 13:00:00,,Employee drowns after falling into frac tank,"HATCH,WORK RULES,FRAC TANK,FALL,OIL WELL SERVICING,DROWN,TOXIC FUMES,OVEREXPOSURE,UNGUARDED,WATER",,,,,,1389,X,,,2019-07-22 00:18:27 EDT
521237,830600,1994-10-24 16:15:00,,"Employees burned, one dies in oil storage tank explosion","BURN,WORK RULES,FIRE,OIL TANK,OIL WELL DRILLING,STORAGE TANK,EXPLOSION,ARM,PICKUP TRUCK,FACE",,,,,,1381,X,,,2019-07-22 00:18:27 EDT
521666,830500,1990-07-09 00:00:00,,Floorhand dies of heat exhaustion,"REPAIR,OIL WELL SERVICING,HEAT EXHAUSTION,HIGH TEMPERATURE",,,,,,1389,X,,,2019-07-22 00:18:27 EDT
522177,830500,1993-09-07 00:00:00,,Employees suffer injuries in oil/gas well explosion,"VENTING,WORK RULES,ENGINE,GAS WELL DRILLING,REPAIR,FIRE,OIL WELL DRILLING,NATURAL GAS,WELLHEAD",,,,,,"1389,1311",,,,2019-07-22 00:18:27 EDT
522185,830500,1992-09-14 00:00:00,,Employee killed when struck in head by heater door,"HEAD,HEATER,OIL WELL DRILLING,EXPLOSION,STRUCK BY,FLYING OBJECT,GAS WELL DRILLING,DOOR",,,,,,1311,X,,,2019-07-22 00:18:27 EDT
525980,830600,1991-02-01 00:00:00,,Employees burned in gas rig explosion,"BURN,WELDING,EXPLOSION,WELLHEAD,GAS WELL DRILLING",,,,,,"1389,7361",,,,2019-07-22 00:18:27 EDT
550020,627400,1990-05-31 12:20:00,,ELECTRIC SHOCK - CONTACT WITH OVERHEAD LINE THRU WOOD,"E GI III,OVERHEAD POWER LINE,ELECTRICAL,ELECTROCUTED,TANK",,,,,,1389,X,,,2019-07-22 00:18:27 EDT
550046,627400,1990-11-10 00:00:00,,STRUCK BY WRENCH,"ELECTRIC MOTOR,WRENCH,ABDOMEN,ROTATING SHAFT,LOCKOUT,SHAFT,STRUCK BY",,,,,,1389,X,,,2019-07-22 00:18:27 EDT
550095,627400,1990-02-06 00:00:00,,Employee killed when struck in head by tongs,"FRACTURE,HEAD,OIL WELL DRILLING,SKULL,STRUCK BY,TONGS,GAS WELL DRILLING",,,,,,1381,X,,,2019-07-22 00:18:27 EDT
550186,627400,1990-08-10 00:00:00,,Employee killed when struck by flying pipe,"HEAD,ROLLER--MACH/PART,OIL WELL SERVICING,PIPE,STRUCK BY,FLYING OBJECT,UNGUARDED",,,,,,1389,X,,,2019-07-22 00:18:27 EDT
550327,627400,1992-03-20 00:00:00,,EMPLOYEE DIES WHEN CRUSHED BY ROLLING DRILL COLLAR,"SLIP,DRILL COLLAR,SKULL,OIL WELL DRILLING,CRUSHED,FALL,STRUCK BY",,,,,,"1381,1311",X,,,2019-07-22 00:18:27 EDT
550343,627400,1993-09-16 14:30:00,,ELECTRIC SHOCK - CONTACT WITH OVERHEAD LINE THRU METAL RULE,"OVERHEAD POWER LINE,ELECTRICAL,MEASURING DEVICE,ELECTROCUTED,E GI IB",,,,,,1311,X,,,2019-07-22 00:18:27 EDT
550350,627400,1992-05-20 09:30:00,,EMPLOYEE DIES AFTER FALLING DURING DESCENT FROM DERRICK,"DERRICK,HEAD,TRAVELLING BLOCK,WORK RULES,FALL,FALL PROTECTION,OIL WELL SERVICING,ELEVATOR",,,,,,1389,X,,,2019-07-22 00:18:27 EDT
