﻿OccNo,OccID,VesselID,VesselName,XrfOccVesselVictimCountID,ManuallyEnteredStatsIND,VictimMissing,VictimMinorInjuries,VictimSeriousInjuries,VictimDeath,TotalVesselInjuries,TotalPeopleInWater,PeopleInWaterWearingLSE,PeopleInWaterLseTypeID,PeopleInWaterLseTypeDisplayEng,PeopleInWaterLseTypeDisplayFre,PeopleInWaterNoLSE,PeopleInWaterDontKnowLSE
"M25C0047",52953,99,"CSL NIAGARA",21444,0,0,0,0,0,0,0,0,,,,0,0
"M25C0047",52953,,"ASHORE/RIVAGE",21443,0,0,0,0,0,0,0,0,,,,0,0
"M25A0067",52951,9451,"TURMEL B.",21436,0,0,0,0,0,0,0,0,,,,0,0
"M25A0067",52951,,"ASHORE/RIVAGE",21435,0,0,0,0,0,0,0,0,,,,0,0
"M25A0066",52950,31233,"BIBIANNE MARIE II",21432,0,0,0,0,0,0,0,0,,,,0,0
"M25A0066",52950,,"ASHORE/RIVAGE",21431,0,0,0,0,0,0,0,0,,,,0,0
"M25C0044",52944,27714,"JOHNNY RANGER",21446,0,0,0,0,0,0,0,0,,,,0,0
"M25C0044",52944,,"ASHORE/RIVAGE",21445,0,0,0,0,0,0,0,0,,,,0,0
"M25C0043",52942,18892,"WOLFE ISLANDER III",21448,0,0,0,0,0,0,0,0,,,,0,0
"M25C0043",52942,,"ASHORE/RIVAGE",21447,0,0,0,0,0,0,0,0,,,,0,0
"M25C0041",52940,27714,"JOHNNY RANGER",21442,0,0,0,0,0,0,0,0,,,,0,0
"M25C0041",52940,,"ASHORE/RIVAGE",21441,0,0,0,0,0,0,0,0,,,,0,0
"M25A0062",52938,31234,"UNCLE RODDIE GOULD",21434,0,0,0,0,0,0,0,0,,,,0,0
"M25A0062",52938,,"ASHORE/RIVAGE",21433,0,0,0,0,0,0,0,0,,,,0,0
"M25C0036",52932,23107,"THOMIKA",21440,0,0,0,0,0,0,0,0,,,,0,0
"M25C0036",52932,,"ASHORE/RIVAGE",21439,0,0,0,0,0,0,0,0,,,,0,0
"M25C0034",52929,21447,"MERIDIAN 66",21438,0,0,0,0,0,0,0,0,,,,0,0
"M25C0034",52929,,"ASHORE/RIVAGE",21437,0,0,0,0,0,0,0,0,,,,0,0
"M25C0033",52925,2871,"MOLLY M I",21430,0,0,0,0,0,0,0,0,,,,0,0
"M25C0033",52925,,"ASHORE/RIVAGE",21429,0,0,0,0,0,0,0,0,,,,0,0
"M25P0062",52924,31231,"EASTERLY BIRDIE",21425,0,0,0,0,0,0,0,0,,,,0,0
"M25P0062",52924,31230,"PACIFIC GUARDIAN",21426,0,0,0,0,0,0,0,0,,,,0,0
"M25P0062",52924,,"ASHORE/RIVAGE",21424,0,0,0,0,0,0,0,0,,,,0,0
"M25P0061",52923,31232,"INLET CRUSADER",21428,0,0,0,0,0,0,0,0,,,,0,0
"M25P0061",52923,,"ASHORE/RIVAGE",21427,0,0,0,0,0,0,0,0,,,,0,0
"M25A0059",52922,31226,"KNOT GUILTY",21413,0,0,0,0,0,0,0,0,,,,0,0
"M25A0059",52922,,"ASHORE/RIVAGE",21412,0,0,0,0,0,0,0,0,,,,0,0
"M25A0058",52921,29473,"WHITETAIL 15",21417,0,0,0,0,0,0,0,0,,,,0,0
"M25A0058",52921,,"ASHORE/RIVAGE",21416,0,0,0,0,0,0,0,0,,,,0,0
"M25P0059",52919,31227,"C32734BC (GWI GWI)",21421,1,0,0,1,0,1,0,0,,,,0,0
"M25P0059",52919,,"ASHORE/RIVAGE",21420,0,0,0,0,0,0,0,0,,,,0,0
"M25P0058",52918,30622,"STHUQI'",21423,0,0,0,0,0,0,0,0,,,,0,0
"M25P0058",52918,,"ASHORE/RIVAGE",21422,0,0,0,0,0,0,0,0,,,,0,0
"M25A0057",52917,31209,"ARNOLD EDWARD",21415,0,0,0,0,0,0,0,0,,,,0,0
"M25A0057",52917,,"ASHORE/RIVAGE",21414,0,0,0,0,0,0,0,0,,,,0,0
"M25A0056",52915,20840,"PIELAW",21419,0,0,0,0,0,0,0,0,,,,0,0
"M25A0056",52915,,"ASHORE/RIVAGE",21418,0,0,0,0,0,0,0,0,,,,0,0
"M25A0055",52914,29098,"KYLE SEA XVI",21404,0,0,0,0,0,0,0,0,,,,0,0
"M25A0055",52914,,"ASHORE/RIVAGE",21403,0,0,0,0,0,0,0,0,,,,0,0
"M25P0056",52913,31225,"CHARALAMBOS",21406,0,0,0,0,0,0,0,0,,,,0,0
"M25P0056",52913,,"ASHORE/RIVAGE",21405,0,0,0,0,0,0,0,0,,,,0,0
"M25A0054",52912,31224,"F.F.S.",21402,0,0,0,0,0,0,0,0,,,,0,0
"M25A0054",52912,,"ASHORE/RIVAGE",21398,0,0,0,0,0,0,0,0,,,,0,0
