﻿OccNo,OccID,VesselID,VesselName,VesselSoftwareAudioID,RecordingEquipID,RecordingEquipDisplayEng,RecordingEquipDisplayFre,SoftwareAudioMakeID,SoftwareAudioMakeDisplayEng,SoftwareAudioMakeDisplayFre,SoftwareAudioModelID,SoftwareAudioModelDisplayEng,SoftwareAudioModelDisplayFre,SoftwareVersion,SerialNumber,VdrDetailID,RecCapacity_NumberOfDays,RecAudioFilesDelEnum,RecAudioFilesDelEnumDisplayEng,RecAudioFilesDelEnumDisplayFre,RecAudioFilesSegregatedEnum,RecAudioFilesSegregatedEnumDisplayEng,RecAudioFilesSegregatedEnumDisplayFre,CapsuleRecCapacity_NumberOfDays,CapsuleAudioFilesDelEnum,CapsuleAudioFilesDelEnumDisplayEng,CapsuleAudioFilesDelEnumDisplayFre,CapsuleAudioFilesSegregatedEnum,CapsuleAudioFilesSegregatedEnumDisplayEng,CapsuleAudioFilesSegregatedEnumDisplayFre,DataExtractedEnum,DataExtractedEnumDisplayEng,DataExtractedEnumDisplayFre,ReasonNotExtractedID,ReasonNotExtractedDisplayEng,ReasonNotExtractedDisplayFre,EquipSeizedEnum,EquipSeizedEnumDisplayEng,EquipSeizedEnumDisplayFre,InstructionsPostedEnum,InstructionsPostedEnumDisplayEng,InstructionsPostedEnumDisplayFre,InstructionAvailableEnum,InstructionAvailableEnumDisplayEng,InstructionAvailableEnumDisplayFre
"M25C0047",52953,99,"CSL NIAGARA",3485,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25C0047",52953,99,"CSL NIAGARA",3485,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25C0047",52953,99,"CSL NIAGARA",3486,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25C0047",52953,99,"CSL NIAGARA",3486,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25C0043",52942,18892,"WOLFE ISLANDER III",3487,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25C0043",52942,18892,"WOLFE ISLANDER III",3487,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25P0059",52919,31227,"C32734BC (GWI GWI)",3484,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25P0059",52919,31227,"C32734BC (GWI GWI)",3484,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25P0059",52919,31227,"C32734BC (GWI GWI)",3484,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25P0059",52919,31227,"C32734BC (GWI GWI)",3484,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25A0047",52887,29408,"CAPT JACQUES CARTIER",3478,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25A0047",52887,29408,"CAPT JACQUES CARTIER",3479,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25A0047",52887,29408,"CAPT JACQUES CARTIER",3480,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25A0047",52887,29408,"CAPT JACQUES CARTIER",3481,16,"VDR","VDR",47,"Danelec","Danelec",89,"DM100 VDR","DM100 VDR",,,592,,,,,,,,,,,,,,,32,"No","Non",2,"Data Not Saved","Données non sauvegardées",32,"No","Non",,,,,,
"M25A0046",52886,30596,"C20435ON (PRIVATE ROBERTSON)",3483,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25A0035",52854,8100,"KOPIT HOPSON 1752",3474,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25A0035",52854,8100,"KOPIT HOPSON 1752",3474,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25A0035",52854,8100,"KOPIT HOPSON 1752",3475,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25A0035",52854,8100,"KOPIT HOPSON 1752",3475,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25A0035",52854,8100,"KOPIT HOPSON 1752",3476,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
