Reference,Number of ships involved,Ships involved,SOLAS status,Flag Administrations,Ship types,Occurrence date and time,Casualty event,Casualty severity,Coordinates,Place,Location,Number of investigation reports,Administrations submitting investigation reports
"C0002332","1","SEVEN SEAS (IMO 6926012)","SEVEN SEAS (IMO 6926012): ","Syrian Arab Republic","General Cargo","1999-12-31 00:00","","Very serious marine casualty","","","","0",""
"C0002529","2","EGYPTIAN NAVY SHIP NO.445, M. F. LEADER (IMO 8120387)","EGYPTIAN NAVY SHIP NO.445: , M. F. LEADER (IMO 8120387): ","Egypt, Panama",", Container","1999-12-31 00:00","","Marine casualty","","2 cables from Great Pass Beacon Brg 135º","","0",""
"C0003055","1","SOCIALITY (IMO 8214346)","SOCIALITY (IMO 8214346): ","United Kingdom","General Cargo","1999-12-31 00:00","","Marine casualty","","Irish Sea","","0",""
"C0002547","1","FULL CITY (IMO 9073672)","FULL CITY (IMO 9073672): ","Panama","Bulk Dry","1999-12-30 00:00","","Marine casualty","","","","0",""
"C0003054","1","LEON (IMO 7806570)","LEON (IMO 7806570): ","Cyprus","General Cargo","1999-12-29 00:00","","Marine casualty","","Mediterranean Sea","","0",""
"C0003041","1","MINT ASTRA (IMO 8812904)","MINT ASTRA (IMO 8812904): ","Bahamas","General Cargo","1999-12-29 00:00","","Marine casualty","","At Armaport","","0",""
"C0003043","1","VOLGONEFT-248 (IMO 8728000)","VOLGONEFT-248 (IMO 8728000): ","Russian Federation","Oil Tanker","1999-12-28 00:00","","Very serious marine casualty","","At Menekse Anchorage, Istambul","","0",""
"C0002988","1","FRIGGA","FRIGGA: ","Antigua and Barbuda","Non-ship structures","1999-12-28 00:00","","Marine casualty","","English Channel","","0",""
"C0003651","1","JUNEAU","JUNEAU: ","United States","Non-ship structures","1999-12-28 00:00","","Very serious marine casualty","","Seattle Harbour, pier 15 1/2, Washington","","1","Canada"
"C0003042","1","RILOS (IMO 7736921)","RILOS (IMO 7736921): ","Malta","General Cargo","1999-12-27 00:00","","Marine casualty","","At Bilbao","","0",""
"C0003065","1","LADY HADIL (IMO 5013961)","LADY HADIL (IMO 5013961): ","Syrian Arab Republic","General Cargo","1999-12-27 00:00","","Marine casualty","","ON Irwad Island, near Tartus","","0",""
"C0003039","1","HEDLO (IMO 7124879)","HEDLO (IMO 7124879): ","Bahamas","General Cargo","1999-12-25 00:00","","Marine casualty","","8 miles WSW of Haugesund, North Sea","","1","Bahamas"
"C0003034","1","CONFIDENCE (IMO 8325121)","CONFIDENCE (IMO 8325121): ","Netherlands (Kingdom of)","General Cargo","1999-12-25 00:00","","Marine casualty","","60 miles E of Berwick-upon-Tweed","","0",""
"C0002550","1","TWINKLE ACE (IMO 8909575)","TWINKLE ACE (IMO 8909575): ","Panama","General Cargo","1999-12-25 00:00","","Marine casualty","","","","0",""
"C0002261","1","SONSOLES","SONSOLES: ","Spain","Dredging","1999-12-25 00:00","","Very serious marine casualty","","Puerto de El Ferrol","","0",""
"C0002150","1","BARDE TEAM (IMO 7503635)","BARDE TEAM (IMO 7503635): ","Norway","General Cargo","1999-12-24 00:00","","Very serious marine casualty","","Indian Ocean","","0",""
"C0003035","1","HARNS (IMO 9080675)","HARNS (IMO 9080675): ","Netherlands (Kingdom of)","General Cargo","1999-12-24 00:00","","Marine casualty","","Near Bridgewater Bay","","0",""
"C0002989","1","BLACKFRIARS (IMO 8416475)","BLACKFRIARS (IMO 8416475): ","United Kingdom","Oil Tanker","1999-12-24 00:00","","Marine casualty","","","","0",""
"C0003040","1","JUSTO (IMO 7015509)","JUSTO (IMO 7015509): ","Bahamas","General Cargo","1999-12-23 00:00","","Marine casualty","","At Steinsoy Light, entering Karmsundet, near Hauge","","0",""
"C0003047","1","ASIA SOUTH KOREA (IMO 7213046)","ASIA SOUTH KOREA (IMO 7213046): ","Philippines","Non-ship structures","1999-12-23 00:00","","Very serious marine casualty","","Off Bantayan Island","","1","Philippines"
"C0003048","1","INGEBORG PILOT (IMO 8010415)","INGEBORG PILOT (IMO 8010415): ","Norway","General Cargo","1999-12-22 00:00","","Marine casualty","","North Sea","","0",""
"C0002432","1","XIN ZHU JIANG (IMO 7515298)","XIN ZHU JIANG (IMO 7515298): ","China","Bulk Dry","1999-12-21 00:00","","Very serious marine casualty","","South China Sea","","0",""
"C0003049","1","MINTHI (IMO 8120806)","MINTHI (IMO 8120806): ","Cyprus","General Cargo","1999-12-20 00:00","","Marine casualty","","20 miles from Port of Spain, Trinidad and Tobago","","0",""
"C0003036","1","APNOIA (IMO 7925077)","APNOIA (IMO 7925077): ","Malta","Oil Tanker","1999-12-20 00:00","","Marine casualty","","Entering Cape Fear River","","0",""
