PARAMETER,RP_10YR,RP_25YR,RP_50YR,RP_100YR,RP_200YR,RP_1000YR,RP_2000YR
1 hour mean wind speed (m/s),28.4,33,36.5,40.7,44.7,50.9,52.9
10 min mean wind speed (m/s),31.2,36.5,40.6,45.6,50.5,58.1,60.5
1 min mean wind speed (m/s),34.8,41,45.9,52,57.9,67.2,70.3
3 sec gust (m/s),39.4,46.9,52.9,60.2,67.5,79.2,83.1
Significant wave height (m),8.3,10.6,12.3,14,15.4,17.5,18.2
Maximum wave height (m),14.7,18.7,21.7,24.7,27.2,30.9,32.1
Maximum crest elevation (m),9.5,12.1,14,15.9,17.5,19.8,20.5
Peak spectral period (s),12.6,13.7,14.4,15.2,15.7,17,17.3
Period of maximum wave (s),11.3,12.3,13,13.7,14.1,15.3,15.6
Surface speed (m/s),8.3,10.6,12.3,14,15.4,17.5,18.2
Speed at mid-profile (m/s),14.7,18.7,21.7,24.7,27.2,30.9,32.1
Bottom of profile (m),9.5,12.1,14,15.9,17.5,19.8,20.5
Currents (depth 10-50 m),12.6,13.7,14.4,15.2,15.7,17,17.3
Uniform speed (m/s),11.3,12.3,13,13.7,14.1,15.3,15.6
Associated storm surge (m),0.22,0.34,0.43,0.53,0.62,0.74,0.8
Tidal amplitude (m),0.42,0.42,0.42,0.42,0.42,0.42,0.42
