RIG_NAME,VESSEL_TYPE,VESSEL_DESIGN,CONSTRUCTION_YEAR,UPGRADE_YEAR,CLASSIFICATION_SOCIETY,MAX_WATER_DEPTH_RATING_FT,MAX_DRILLING_DEPTH_FT,TOTAL_VESSEL_POWER_HP,QUARTERS_CAPACITY,LENGTH_FT,WIDTH_FT,OPERATING_DRAFT_FT,MAX_VARIABLE_LOAD_ST,DERRICK_RATING_KIPS,DRAWWORKS_HP,BOP_OPERATING_PRESSURE_KSI
ATWOOD HUNTER,SS,Korkut New Era,1981,2001,ABS,5000,25000,8050,120,290,246.7,55,3630,1200,3000,10
ATWOOD EAGLE,SS,Korkut New Era,1982,2002,ABS,5000,25000,7800,120,325,200,55,4500,1200,3000,10
ATWOOD  FALCON,SS,Korkut New Era,1983,98,ABS,5000,25000,7800,122,325,226,55,4400,1000,3000,10
ATWOOD OSPREY,SS,F&G ExD Millennium,2011,,ABS,8200,32000,,200,354,244,55.7,7000,2000,6900,15
OCEAN AMERICA,SS,Odyssey,1988,2004,ABS,5500,30000,18120,123,401,259,80,7835,1800,3000,15
OCEAN BARONESS,SS,Victory,1973,2001,ABS,8000,35000,12940,138,324,327,74.5,5500,2000,4000,15
OCEAN QUEST,SS,Victory,1973,1996,ABS,4000,25000,9075,99,324,336,70,5600,1150,3000,15
OCEAN WINNER,SS,Enhanced Aker H-3,1976,,DNV,4000,25000,3880,96,355,248,70,3920,1000,3000,10
OCEAN WORKER,SS,Enhanced Pacesetter 9500,1982,,ABS,4000,25000,13280,108,303,200,65,4428,1050,3000,10
OCEAN VALIANT,SS,Odyssey,1988,1999,ABS,5500,30000,18120,140,401,259,80,7050,1500,3000,15
OCEAN VICTORY,SS,Victory,1973,1997,ABS,5500,25000,9075,110,336,315,74,5700,1500,3000,15
OCEAN ENDEAVOR,SS,Victory,1975,2007,ABS,10000,35000,12940,140,324,327,74.5,6000,2000,4000,15
OCEAN MONARCH,SS,Victory,1974,2008,ABS,10000,35000,12940,150,324,327,74.5,6000,2000,4000,15
