FIELD_ID,FIELD_NAME,COUNTRY,BLOCK,RESERVE_TYPE,CURRENT_STATUS,DISCOVERY_DATE,PRODUCTION_START,WATER_DEPTH_M,WATER_DEPTH_FT,US_GOM_FLAG
720,Aasta Hansteen (Luva),Norway,"PL 218 - 6706/12, 6707/10",Gas,Under Development,Jul 1997,,1300,4290,
874,Abadi,Indonesia,Masela Block,Gas,Under Development,Feb 2002,,1000,3300,
365,Abalone,Brazil,Block BC-10,Oil/Gas,Suspended,Jan 2000,Jul 2009,2000,6600,
296,Abang,Equatorial Guinea,Block G,Oil/Gas,Discovery (Drilled),Jun 2002,,98,323,
542,Abare West,Brazil,BM-S-9,Oil/Gas,Discovery (Appraised),,,2163,7138,
760,Abo,Nigeria,OPL 316,Oil,Producing,,Apr 2003,800,2640,
1353,Aboabo,Philippines,SC 63,Gas,Discovery (Drilled),Jan 1981,,70,231,
463,Absheron,Azerbaijan,Absheron Block,Oil/Gas,Discovery (Drilled),Sep 2011,,500,1650,
1275,Abu Qir,Egypt,,Gas,Producing - Under Dev.,Jan 1965,,35,116,
326,Acacia,Angola,17,Oil,Producing,Apr 2003,Aug 2011,1030,3399,
271,Achilles,Australia,WA-374-P,Gas,Discovery (Drilled),Sep 2009,,,,
808,Acme,Australia,WA-205-P,Gas,Discovery (Drilled),Aug 2010,,878,2897,
808,Acme West,Australia,WA-205-P,Gas,Discovery (Drilled),Oct 2011,,925,3053,
115,Aconcagua,US,Mississippi Canyon 305,Gas,Producing - Under Dev.,Jan 1999,Sep 2002,2346,7742,Y
1507,Aegean,US,Keathley Canyon 163,n/a,Non-Commercial,,,1717,5666,Y
1670,Affanga Deep,Gabon,Gnondo Block,n/a,Bright Spot,,,,,
316,Affleck,UK,Block 30/19a,Oil/Gas,Producing,,Aug 2009,72,238,
249,Agbami,Nigeria,OML 127 and 128,Oil/Gas,Producing,Jan 1999,Jul 2008,1372,4528,
800,Agge-3B.T1,Nigeria,OML 136,Gas,Discovery (Drilled),Jun 2010,,140,462,
1648,Agulha,Mozambique,Area 4,Gas,Discovery (Drilled),Sep 2013,,2492,8224,
753,Airidh,UK,42/19a,Gas,Non-Commercial,,,61,201,
708,Aje,Niger,OML 113,Oil/Gas,Under Development,Jan 1996,,914,3016,
535,Akal,Mexico,,Oil/Gas,Producing,Jan 1976,Jan 1981,35,116,
951,Akasa,Ghana,West Cape Three Points block,Oil,Discovery (Drilled),Aug 2011,,1158,3821,
560,Akcakoca,Turkey,,Gas,Producing - Under Dev.,,,95,314,
668,Akepo,Nigeria,OML 90,Oil,Under Development,Jan 1993,,8,26,
