DEV_NAME,FIELD_NAME_CODES,RESERVES_BOOKED,BOEM_ORIG_RESERVES_MEAN_MMBOE,BOEM_CUM_PROD_MMBOE,BOEM_REM_RESERVES_MEAN_MMBOE,DISCOVERY_DATE,FIRST_PROD_DATE,RESERVES_VINTAGE,SOURCE_NAME,SOURCE_URL,DATES_SOURCE,ACCESS_DATE
Anchor,GC807,N,,,,2014-11-01,2024-08-01,31-Dec-2023,"BOEM Reserves Inventory Program, 2023 Tables (Table 4)",https://www.data.boem.gov/FieldReserves/Files/2023%20Tables%20xlsx%20Public.zip,BSEE Deepwater Qualified Fields (DeepQualRawData.zip),2026-07-06
Big Foot,WR029,Y,176.9,51.1,125.80000000000001,2005-12-02,2018-11-01,31-Dec-2023,"BOEM Reserves Inventory Program, 2023 Tables (Table 4)",https://www.data.boem.gov/FieldReserves/Files/2023%20Tables%20xlsx%20Public.zip,BSEE Deepwater Qualified Fields (DeepQualRawData.zip),2026-07-06
Buckskin,KC872,Y,456.6,51.0,405.6,2008-11-25,2019-06-01,31-Dec-2023,"BOEM Reserves Inventory Program, 2023 Tables (Table 4)",https://www.data.boem.gov/FieldReserves/Files/2023%20Tables%20xlsx%20Public.zip,BSEE Deepwater Qualified Fields (DeepQualRawData.zip),2026-07-06
Cascade Chinook,WR206+WR469,Y,74.0,64.0,9.999999999999993,2002-04-14,2012-02-01,31-Dec-2023,"BOEM Reserves Inventory Program, 2023 Tables (Table 4)",https://www.data.boem.gov/FieldReserves/Files/2023%20Tables%20xlsx%20Public.zip,BSEE Deepwater Qualified Fields (DeepQualRawData.zip),2026-07-06
Jack St Malo,WR759+WR678,Y,550.6,369.9,180.70000000000002,2003-10-13,2014-12-01,31-Dec-2023,"BOEM Reserves Inventory Program, 2023 Tables (Table 4)",https://www.data.boem.gov/FieldReserves/Files/2023%20Tables%20xlsx%20Public.zip,BSEE Deepwater Qualified Fields (DeepQualRawData.zip),2026-07-06
Julia,WR627,Y,127.6,73.4,54.19999999999999,2007-04-07,2016-04-01,31-Dec-2023,"BOEM Reserves Inventory Program, 2023 Tables (Table 4)",https://www.data.boem.gov/FieldReserves/Files/2023%20Tables%20xlsx%20Public.zip,BSEE Deepwater Qualified Fields (DeepQualRawData.zip),2026-07-06
Kaskida,KC292,N,,,,2006-05-22,,31-Dec-2023,"BOEM Reserves Inventory Program, 2023 Tables (Table 4)",https://www.data.boem.gov/FieldReserves/Files/2023%20Tables%20xlsx%20Public.zip,BSEE Deepwater Qualified Fields (DeepQualRawData.zip),2026-07-06
North Platte,GB958,N,,,,2012-11-26,,31-Dec-2023,"BOEM Reserves Inventory Program, 2023 Tables (Table 4)",https://www.data.boem.gov/FieldReserves/Files/2023%20Tables%20xlsx%20Public.zip,BSEE Deepwater Qualified Fields (DeepQualRawData.zip),2026-07-06
Shenandoah,WR051,N,,,,2013-01-29,2025-07-25,31-Dec-2023,"BOEM Reserves Inventory Program, 2023 Tables (Table 4)",https://www.data.boem.gov/FieldReserves/Files/2023%20Tables%20xlsx%20Public.zip,BSEE Deepwater Qualified Fields (DeepQualRawData.zip),2026-07-06
Stones,WR508,Y,128.3,77.5,50.80000000000001,2005-03-10,2016-09-01,31-Dec-2023,"BOEM Reserves Inventory Program, 2023 Tables (Table 4)",https://www.data.boem.gov/FieldReserves/Files/2023%20Tables%20xlsx%20Public.zip,BSEE Deepwater Qualified Fields (DeepQualRawData.zip),2026-07-06
Tiber,KC102,N,,,,2009-08-15,,31-Dec-2023,"BOEM Reserves Inventory Program, 2023 Tables (Table 4)",https://www.data.boem.gov/FieldReserves/Files/2023%20Tables%20xlsx%20Public.zip,BSEE Deepwater Qualified Fields (DeepQualRawData.zip),2026-07-06
