VESSEL_NAME,VESSEL_CATEGORY,OWNER,DATA_SOURCE,RIG_DESIGN,WATER_DEPTH_RATING_FT,RIG_TYPE,DATA_SOURCE_URL,HULL_FORM_TYPE,HULL_LIBRARY_REF,LOA_M,BEAM_M,DRAFT_M,DIMENSION_CONFIDENCE
Ocean Apex,drilling_rig,Noble Corporation plc,contractor_fleet_page,Enhanced Victory Class,6000.0,semi_submersible,https://s201.q4cdn.com/439848451/files/doc_downloads/fleet/2024/08/apex-specification-sheet-revised.pdf,semi_sub,semi_sub_100m,104.0,78.0,21.0,estimated
Noble BlackHawk,drilling_rig,Noble Corporation plc,contractor_fleet_page,Gusto P10000,12000.0,drillship,https://s201.q4cdn.com/439848451/files/doc_downloads/fleet/2024/08/blackhawk-specification-sheet-revised.pdf,drillship,drillship_240m,238.0,42.0,12.0,estimated
Noble BlackHornet,drilling_rig,Noble Corporation plc,contractor_fleet_page,Gusto P10000,12000.0,drillship,https://s201.q4cdn.com/439848451/files/doc_downloads/fleet/2024/08/blackhornet-specification.pdf,drillship,drillship_240m,238.0,42.0,12.0,estimated
Noble BlackLion,drilling_rig,Noble Corporation plc,contractor_fleet_page,Gusto P10000,12000.0,drillship,https://s201.q4cdn.com/439848451/files/doc_downloads/fleet/2024/08/ocean-blacklion-specification.pdf,drillship,drillship_240m,238.0,42.0,12.0,estimated
Noble Courage,drilling_rig,Noble Corporation plc,contractor_fleet_page,F&G ExD Millennium,10000.0,drillship,https://s201.q4cdn.com/439848451/files/doc_downloads/fleet/2024/08/ocean-courage-specification-sheet-revised.pdf,drillship,drillship_240m,238.0,42.0,12.0,estimated
Noble Endeavor,drilling_rig,Noble Corporation plc,contractor_fleet_page,Odeco Victory,8000.0,semi_submersible,https://s201.q4cdn.com/439848451/files/doc_downloads/fleet/2024/08/endeavor-specification-sheet-revised.pdf,semi_sub,semi_sub_120m,120.0,90.0,24.0,estimated
Noble GreatWhite,drilling_rig,Noble Corporation plc,contractor_fleet_page,Moss CS60E,10000.0,drillship,https://s201.q4cdn.com/439848451/files/doc_downloads/fleet/2024/08/greatwhite-specification-sheet-revised.pdf,drillship,drillship_240m,238.0,42.0,12.0,estimated
Noble BlackRhino,drilling_rig,Noble Corporation plc,contractor_fleet_page,Gusto P10000,12000.0,drillship,https://s201.q4cdn.com/439848451/files/doc_downloads/fleet/2024/08/ocean-blackrhino-specification-sheet-revised.pdf,drillship,drillship_240m,238.0,42.0,12.0,estimated
Noble Bob Douglas,drilling_rig,Noble Corporation plc,contractor_fleet_page,Gusto P10000,12000.0,drillship,https://s201.q4cdn.com/439848451/files/doc_downloads/fleet/Rig-Details-Noble-Bob-Douglas.pdf,drillship,drillship_240m,238.0,42.0,12.0,estimated
Noble Developer,drilling_rig,Noble Corporation plc,contractor_fleet_page,DSS21-DPS2,10000.0,drillship,https://s201.q4cdn.com/439848451/files/doc_fleet/2024/01/developer.pdf,drillship,drillship_240m,238.0,42.0,12.0,estimated
Noble Deliverer,drilling_rig,Noble Corporation plc,contractor_fleet_page,DSS21-DPS2,10000.0,drillship,https://s201.q4cdn.com/439848451/files/doc_fleet/2024/01/deliverer.pdf,drillship,drillship_240m,238.0,42.0,12.0,estimated
Noble Discoverer,drilling_rig,Noble Corporation plc,contractor_fleet_page,DSS21-DPS2,10000.0,drillship,https://s201.q4cdn.com/439848451/files/doc_fleet/2024/01/discoverer.pdf,drillship,drillship_240m,238.0,42.0,12.0,estimated
Noble Don Taylor,drilling_rig,Noble Corporation plc,contractor_fleet_page,Gusto P10000,12000.0,drillship,https://s201.q4cdn.com/439848451/files/doc_downloads/fleet/Rig-Details-Noble-Don-Taylor.pdf,drillship,drillship_240m,238.0,42.0,12.0,estimated
Noble Faye Kozack,drilling_rig,Noble Corporation plc,contractor_fleet_page,Samsung 96K,12000.0,drillship,https://s201.q4cdn.com/439848451/files/doc_fleet/2023/noble-faye-kozack.pdf,drillship,drillship_240m,238.0,42.0,12.0,estimated
Noble Gerry de Souza,drilling_rig,Noble Corporation plc,contractor_fleet_page,Samsung 12000 Double Hull,12000.0,drillship,https://s201.q4cdn.com/439848451/files/doc_downloads/fleet/2023/rig-details-noble-gerry-de-souza.pdf,drillship,drillship_240m,238.0,42.0,12.0,estimated
Noble Globetrotter I,drilling_rig,Noble Corporation plc,contractor_fleet_page,Globetrotter Class,10000.0,drillship,https://s201.q4cdn.com/439848451/files/doc_downloads/fleet/Rig-Details-Noble-GlobetrotterI.pdf,drillship,drillship_240m,238.0,42.0,12.0,estimated
Noble Globetrotter II,drilling_rig,Noble Corporation plc,contractor_fleet_page,Globetrotter Class,10000.0,drillship,https://s201.q4cdn.com/439848451/files/doc_downloads/fleet/Rig-Details-Noble-GlobetrotterII.pdf,drillship,drillship_240m,238.0,42.0,12.0,estimated
Noble Innovator,drilling_rig,Noble Corporation plc,contractor_fleet_page,Gusto MSC CJ 70 - 150 MC,492.0,jack_up,https://s201.q4cdn.com/439848451/files/doc_downloads/fleet/2023/07/edited-noble-innovator.pdf,jackup,jackup_70m,70.0,76.0,5.5,generic
Noble Integrator,drilling_rig,Noble Corporation plc,contractor_fleet_page,Gusto MSC CJ70 X150 MD,492.0,jack_up,https://s201.q4cdn.com/439848451/files/doc_fleet/2024/01/integrator.pdf,jackup,jackup_70m,70.0,76.0,5.5,generic
Noble Interceptor,drilling_rig,Noble Corporation plc,contractor_fleet_page,Gusto MSC CJ70 X150 MD,492.0,jack_up,https://s201.q4cdn.com/439848451/files/doc_fleet/2024/01/interceptor.pdf,jackup,jackup_70m,70.0,76.0,5.5,generic
Noble Intrepid,drilling_rig,Noble Corporation plc,contractor_fleet_page,Gusto MSC CJ70 X150 MD,492.0,jack_up,https://s201.q4cdn.com/439848451/files/doc_fleet/2024/01/intrepid.pdf,jackup,jackup_70m,70.0,76.0,5.5,generic
Noble Invincible,drilling_rig,Noble Corporation plc,contractor_fleet_page,Gusto MSC CJ70 X150 MD,492.0,jack_up,https://s201.q4cdn.com/439848451/files/doc_fleet/2024/01/invincible.pdf,jackup,jackup_70m,70.0,76.0,5.5,generic
Noble Patriot,drilling_rig,Noble Corporation plc,contractor_fleet_page,"Trosvik, Bingo 3000",1500.0,semi_submersible,https://s201.q4cdn.com/439848451/files/doc_downloads/fleet/2024/08/patriot-specification-sheet-revised.pdf,semi_sub,semi_sub_80m,85.0,67.0,18.0,estimated
Noble Resolve,drilling_rig,Noble Corporation plc,contractor_fleet_page,Gusto MSC CJ50 X100 MC,350.0,jack_up,https://s201.q4cdn.com/439848451/files/doc_fleet/2024/01/resolve.pdf,jackup,jackup_70m,70.0,76.0,5.5,generic
Noble Sam Croft,drilling_rig,Noble Corporation plc,contractor_fleet_page,Gusto P10000,12000.0,drillship,https://s201.q4cdn.com/439848451/files/doc_downloads/fleet/Rig-Details-Noble-Sam-Croft.pdf,drillship,drillship_240m,238.0,42.0,12.0,estimated
Noble Stanley Lafosse,drilling_rig,Noble Corporation plc,contractor_fleet_page,Samsung 96K,12000.0,drillship,https://s201.q4cdn.com/439848451/files/doc_fleet/2023/09/revised-nsl.pdf,drillship,drillship_240m,238.0,42.0,12.0,estimated
Noble Tom Madden,drilling_rig,Noble Corporation plc,contractor_fleet_page,Gusto P10000,12000.0,drillship,https://s201.q4cdn.com/439848451/files/doc_downloads/fleet/Rig-Details-Noble-Tom-Madden.pdf,drillship,drillship_240m,238.0,42.0,12.0,estimated
Noble Valiant,drilling_rig,Noble Corporation plc,contractor_fleet_page,"Ship shaped, Samsung 96K",12000.0,drillship,https://s201.q4cdn.com/439848451/files/doc_fleet/2024/01/valiant.pdf,drillship,drillship_240m,238.0,42.0,12.0,estimated
Noble Venturer,drilling_rig,Noble Corporation plc,contractor_fleet_page,"Ship shaped, Samsung 96K",12000.0,drillship,https://s201.q4cdn.com/439848451/files/doc_fleet/2023/08/revised-noble-venturer.pdf,drillship,drillship_240m,238.0,42.0,12.0,estimated
Noble Viking,drilling_rig,Noble Corporation plc,contractor_fleet_page,"Ship shaped, Samsung 96K",12000.0,drillship,https://s201.q4cdn.com/439848451/files/doc_fleet/2024/01/viking.pdf,drillship,drillship_240m,238.0,42.0,12.0,estimated
Noble Voyager,drilling_rig,Noble Corporation plc,contractor_fleet_page,"Ship shaped, Samsung 96K",12000.0,drillship,https://s201.q4cdn.com/439848451/files/doc_fleet/2024/01/voyager.pdf,drillship,drillship_240m,238.0,42.0,12.0,estimated
Sevan Louisiana,drilling_rig,Seadrill Limited,contractor_fleet_page,,,semi_submersible,https://www.seadrill.com/wp-content/uploads/2024/01/Sevan_Louisiana.pdf,semi_sub,semi_sub_100m,104.0,78.0,21.0,generic
Sonangol Libongos,drilling_rig,Sonadrill Holding Ltd,contractor_fleet_page,,,drillship,https://www.seadrill.com/wp-content/uploads/2024/01/SONANGOL_LIBONGOS.pdf,drillship,drillship_230m,228.0,42.0,12.0,generic
Sonangol Quenguela,drilling_rig,Sonadrill Holding Ltd,contractor_fleet_page,,,drillship,https://www.seadrill.com/wp-content/uploads/2024/01/SONANGOL_QUENGUELA.pdf,drillship,drillship_230m,228.0,42.0,12.0,generic
West Aquarius,drilling_rig,Seadrill Limited,contractor_fleet_page,,,semi_submersible,https://www.seadrill.com/wp-content/uploads/2024/01/West_Aquarius-V3.pdf,semi_sub,semi_sub_100m,104.0,78.0,21.0,generic
West Auriga,drilling_rig,Seadrill Limited,contractor_fleet_page,,,drillship,https://www.seadrill.com/wp-content/uploads/2024/11/2024-10-West_Auriga.pdf,drillship,drillship_230m,228.0,42.0,12.0,generic
West Capella,drilling_rig,Seadrill Limited,contractor_fleet_page,,,drillship,https://www.seadrill.com/wp-content/uploads/2025/02/2025-02-West_Capella-V2.pdf,drillship,drillship_230m,228.0,42.0,12.0,generic
West Carina,drilling_rig,Seadrill Limited,contractor_fleet_page,,,drillship,https://www.seadrill.com/wp-content/uploads/2024/11/2024-09-West_Carina.pdf,drillship,drillship_230m,228.0,42.0,12.0,generic
