LEASE_NAME,SURF_LEASE_NUM,WATER_DEPTH,API_WELL_NUMBER,WELL_NAME,WELL_SPUD_DATE,TOTAL_DEPTH_DATE,DRILLING_DAYS,COMPLETION_DAYS,MAX_BH_TOTAL_MD,MAX_WELL_BORE_TVD,MAX_DRILL_FLUID_WGT
Anchor,G31752,5080,608114062100,001,03/16/2014,05/17/2014,62,15,15356.0,15356.0,17.0
Anchor,G31752,5080,608114062101,001,05/28/2014,06/14/2014,17,59,25800.0,25797.0,17.0
Anchor,G31751,5080,608114066100,001,01/26/2016,02/11/2016,16,17,11249.0,11249.0,17.0
Anchor,G31751,5080,608114066101,001,02/26/2016,06/18/2016,113,49,34022.0,33910.0,18.5
Anchor,G31752,5080,608114063500,002,08/12/2014,11/28/2014,108,65,33750.0,33749.0,16.8
Anchor,G31752,5080,608114063501,002,07/09/2015,07/28/2015,19,19,33400.0,33397.0,16.2
Anchor,G31752,5080,608114063502,002,08/14/2015,09/11/2015,28,36,35210.0,34094.0,16.6
Anchor,G31752,5080,608114067300,003,09/17/2016,11/07/2016,51,34,28642.0,28359.0,16.8
Anchor,G31752,5080,608114067301,003,12/04/2016,01/24/2017,51,33,33660.0,33046.0,16.6
Anchor,G31752,5080,608114075000,AP001,12/08/2021,03/14/2022,96,260,33550.0,33399.0,19.1
Anchor,G31752,5080,608114075100,AP002,11/16/2022,02/06/2023,82,139,33683.0,33367.0,17.5
Anchor,G31752,5080,608114076100,AP004,,,0,0,,,
Anchor,G31752,5080,608114076101,AP004,,,0,0,,,
Anchor,G31752,5080,608114076900,AP005,,,0,0,,,
Anchor,G31751,5080,608114077400,BP003,11/26/2023,05/15/2024,171,276,34184.0,33539.0,19.0
Anchor,G31751,5080,608114079600,BP006,,,0,0,,,
Anchor,G31752,5080,608114072800,SB001,11/19/2019,11/26/2019,7,2,5441.0,5441.0,12.1
Big Foot,G16942,5190,608124001900,001,07/26/2005,07/28/2005,2,9,8150.0,8150.0,16.0
Big Foot,G16942,5190,608124002000,002,08/09/2005,12/02/2005,115,37,25933.0,25127.0,16.6
Big Foot,G16942,5190,608124002001,002,01/01/2006,01/15/2006,14,7,22196.0,21497.0,13.5
Big Foot,G16942,5190,608124002002,002,01/15/2006,01/17/2006,2,11,22832.0,22137.0,14.7
