Lease Number,Area Code,Block Number,Lease Status Code,Lease Effective Date,Lease Expiration Date,Block Max Water Depth (meters)
 00008,GA,211,RELINQ,11/7/1947,10/30/1956,19
 00009,GA,190,RELINQ,11/7/1947,10/30/1956,18
 00010,GA,272,EXPIR,11/7/1947,6/23/1957,20
 00011,GA,272,EXPIR,11/7/1947,6/23/1957,20
 00012,GA,272,EXPIR,11/7/1947,6/23/1957,20
 00013,GA,272,EXPIR,11/7/1947,6/23/1957,20
 00014,GA,271,EXPIR,11/7/1947,6/23/1957,19
 00015,ST,53,EXPIR,7/17/1948,7/15/1958,20
 00016,WD,31,PROD,11/26/1946,,18
 00017,ST,82,EXPIR,4/25/1947,8/15/1972,19
 00018,ST,66,UNIT,4/25/1947,,21
 00019,ST,54,UNIT,4/25/1947,,20
 00020,ST,67,UNIT,4/25/1947,,20
 00021,WD,26,RELINQ,11/26/1946,9/1/1955,10
 00022,ST,83,EXPIR,4/25/1947,8/15/1972,24
 00023,WD,27,RELINQ,11/26/1946,12/30/1970,11
 00024,GI,16,UNIT,9/9/1946,,13
 00025,GI,17,UNIT,9/9/1946,,16
 00026,WD,30,PROD,11/26/1946,,15
 00027,PL,25,RELINQ,7/17/1948,7/15/1955,19
 00028,ST,55,UNIT,4/25/1947,,21
 00029,WD,25,EXPIR,6/19/1947,6/17/1957,8
 00030,ST,34,RELINQ,4/25/1947,12/22/1969,16
 00031,GI,22,UNIT,9/12/1946,,19
 00032,GI,18,PROD,9/9/1946,,18
 00033,GI,19,TERMIN,9/9/1946,10/3/2014,20
 00034,GI,23,UNIT,9/12/1946,,17
 00035,GI,9,TERMIN,9/9/1946,6/5/1981,13
 00036,GI,10,TERMIN,9/9/1946,6/5/1981,7
 00037,ST,52,RELINQ,5/10/1948,1/4/1958,19
 00038,SS,120,UNIT,5/10/1948,,12
 00039,WC,98,EXPIR,5/10/1948,5/8/1958,13
 00040,SS,119,UNIT,5/10/1948,,16
