api12,dev,category,drill_v30,compl_v30,drill_wed,compl_wed,d_drill,d_compl,spud_wed
608074030500,North Platte,unchanged,45,37,45,37,0,0,07/03/2012
608074030501,North Platte,unchanged,67,27,67,27,0,0,09/20/2012
608074030502,North Platte,unchanged,23,15,23,15,0,0,12/21/2012
608074031400,North Platte,unchanged,47,15,47,15,0,0,02/03/2015
608074031500,North Platte,unchanged,181,26,181,26,0,0,04/22/2015
608074031501,North Platte,unchanged,27,17,27,17,0,0,11/13/2015
608074031502,North Platte,unchanged,46,31,46,31,0,0,12/25/2015
608074032000,North Platte,unchanged,103,29,103,29,0,0,09/05/2016
608074032001,North Platte,unchanged,50,28,50,28,0,0,01/14/2017
608074032002,North Platte,unchanged,5,22,5,22,0,0,04/10/2017
608074032003,North Platte,unchanged,27,16,27,16,0,0,05/06/2017
608074032800,North Platte,unchanged,54,33,54,33,0,0,02/03/2023
608074033000,North Platte,unchanged,0,0,0,0,0,0,
608074033100,North Platte,unchanged,0,0,0,0,0,0,
608074033200,North Platte,wed_only,0,0,0,0,0,0,
608074033300,North Platte,wed_only,0,0,0,0,0,0,
608074033400,North Platte,wed_only,0,0,0,0,0,0,
608074033500,North Platte,wed_only,0,0,0,0,0,0,
608074033600,North Platte,wed_only,0,0,0,0,0,0,
608074033700,North Platte,wed_only,0,0,0,0,0,0,
608074034100,North Platte,wed_only,0,0,0,0,0,0,
608074034300,North Platte,wed_only,0,0,0,0,0,0,
608074034400,North Platte,wed_only,0,0,0,0,0,0,
608084001100,Kaskida,unchanged,25,8,25,8,0,0,01/24/2006
608084001101,Kaskida,unchanged,37,16,37,16,0,0,02/22/2006
608084001102,Kaskida,unchanged,38,46,38,46,0,0,04/14/2006
608084001103,Kaskida,unchanged,14,50,14,50,0,0,12/10/2006
608084001104,Kaskida,unchanged,47,26,47,26,0,0,04/16/2008
608084001500,Tiber,unchanged,156,13,156,13,0,0,03/12/2009
608084001600,Buckskin,wed_only,0,0,83,5,83,5,09/03/2008
608084001601,Buckskin,wed_only,0,0,55,16,55,16,11/26/2008
608084002100,Buckskin,wed_only,0,0,120,45,120,45,05/16/2011
608084002700,Kaskida,unchanged,364,55,364,55,0,0,11/02/2011
608084002701,Kaskida,unchanged,31,84,31,84,0,0,02/28/2013
608084003100,Buckskin,wed_only,0,0,153,20,153,20,03/26/2013
608084003101,Buckskin,wed_only,0,0,30,31,30,31,09/10/2013
608084003102,Buckskin,wed_only,0,0,19,41,19,41,11/06/2013
608084003103,Buckskin,wed_only,0,0,6,27,6,27,12/31/2013
608084003104,Buckskin,wed_only,0,0,9,43,9,43,01/30/2014
608084003105,Buckskin,wed_only,0,0,55,52,55,52,03/21/2014
608084003106,Buckskin,wed_only,0,0,69,36,69,36,07/02/2014
608084004700,Buckskin,wed_only,0,0,50,11,50,11,09/02/2014
608084004701,Buckskin,wed_only,0,0,47,8,47,8,10/27/2014
608084005500,Tiber,unchanged,58,23,58,23,0,0,01/24/2016
608084006000,Buckskin,wed_only,0,0,53,11,53,11,01/20/2018
608084006001,Buckskin,wed_only,0,0,6,159,6,159,03/22/2018
608084006100,Buckskin,wed_only,0,0,123,10,123,10,01/21/2018
608084006101,Buckskin,wed_only,0,0,3,175,3,175,05/31/2018
608084006700,Buckskin,wed_only,0,0,9,4,9,4,09/20/2021
608084006701,Buckskin,wed_only,0,0,22,64,22,64,10/01/2021
608084006702,Buckskin,wed_only,0,0,22,107,22,107,12/22/2021
608084007000,Buckskin,wed_only,0,0,38,14,38,14,10/18/2022
608084007200,Buckskin,wed_only,0,0,0,0,0,0,
608084007300,Buckskin,wed_only,0,0,37,7,37,7,07/28/2023
608084007301,Buckskin,wed_only,0,0,34,127,34,127,09/04/2023
608084007700,Buckskin,wed_only,0,0,0,0,0,0,
608084007701,Buckskin,wed_only,0,0,0,0,0,0,
608114062100,Anchor,unchanged,62,15,62,15,0,0,03/16/2014
608114062101,Anchor,unchanged,17,59,17,59,0,0,05/28/2014
608114063500,Anchor,unchanged,108,65,108,65,0,0,08/12/2014
608114063501,Anchor,unchanged,19,19,19,19,0,0,07/09/2015
608114063502,Anchor,unchanged,28,36,28,36,0,0,08/14/2015
608114066100,Anchor,unchanged,16,17,16,17,0,0,01/26/2016
608114066101,Anchor,unchanged,113,49,113,49,0,0,02/26/2016
608114067300,Anchor,unchanged,51,34,51,34,0,0,09/17/2016
608114067301,Anchor,unchanged,51,33,51,33,0,0,12/04/2016
608114072800,Anchor,unchanged,7,2,7,2,0,0,11/19/2019
608114075000,Anchor,unchanged,96,260,96,260,0,0,12/08/2021
608114075100,Anchor,unchanged,82,139,82,139,0,0,11/16/2022
608114076100,Anchor,unchanged,0,0,0,0,0,0,
608114076101,Anchor,wed_only,0,0,0,0,0,0,
608114076900,Anchor,unchanged,0,0,0,0,0,0,
608114077400,Anchor,unchanged,171,276,171,276,0,0,11/26/2023
608114079600,Anchor,wed_only,0,0,0,0,0,0,
608124000400,Jack St Malo,unchanged,60,39,60,39,0,0,09/21/2000
608124000401,Jack St Malo,unchanged,40,21,40,21,0,0,11/27/2000
608124000402,Jack St Malo,unchanged,19,25,19,25,0,0,05/21/2004
608124000800,Cascade Chinook,unchanged,73,9,73,9,0,0,01/31/2002
608124000801,Cascade Chinook,unchanged,23,22,23,22,0,0,04/23/2002
608124001000,Cascade Chinook,unchanged,157,27,157,27,0,0,01/13/2003
608124001100,Jack St Malo,unchanged,99,37,99,37,0,0,07/06/2003
608124001300,Jack St Malo,unchanged,70,5,70,5,0,0,03/09/2004
608124001301,Jack St Malo,unchanged,52,24,52,24,0,0,05/18/2004
608124001500,Stones,unchanged,69,52,69,52,0,0,12/31/2004
608124001600,Cascade Chinook,unchanged,71,140,71,140,0,0,03/19/2005
608124001601,Cascade Chinook,unchanged,46,60,46,60,0,0,10/09/2005
608124001700,Jack St Malo,unchanged,200,187,200,187,0,0,04/22/2005
608124001701,Jack St Malo,unchanged,22,89,22,89,0,0,10/05/2012
608124001900,Big Foot,unchanged,2,9,2,9,0,0,07/26/2005
608124002000,Big Foot,unchanged,115,37,115,37,0,0,08/09/2005
608124002001,Big Foot,unchanged,14,7,14,7,0,0,01/01/2006
608124002002,Big Foot,unchanged,2,11,2,11,0,0,01/15/2006
608124002003,Big Foot,unchanged,35,38,35,38,0,0,03/23/2006
608124002004,Big Foot,unchanged,7,21,7,21,0,0,06/03/2006
608124002005,Big Foot,unchanged,38,30,38,30,0,0,11/25/2008
608124002200,Stones,unchanged,0,13,0,13,0,0,08/02/2006
608124002300,Big Foot,unchanged,92,14,92,14,0,0,11/03/2006
608124002301,Big Foot,unchanged,34,21,34,21,0,0,10/15/2007
608124002302,Big Foot,unchanged,41,22,41,22,0,0,12/04/2007
608124002700,Jack St Malo,unchanged,19,14,19,14,0,0,08/06/2007
608124002701,Jack St Malo,unchanged,28,11,28,11,0,0,04/30/2008
608124002702,Jack St Malo,unchanged,2,9,2,9,0,0,06/04/2008
608124002703,Jack St Malo,unchanged,120,47,120,47,0,0,06/12/2008
608124002900,Jack St Malo,unchanged,172,26,172,26,0,0,08/17/2007
608124003100,Jack St Malo,unchanged,226,21,226,21,0,0,12/21/2007
608124003101,Jack St Malo,unchanged,56,34,56,34,0,0,08/23/2008
608124003300,Julia,unchanged,96,80,96,80,0,0,02/17/2008
608124003301,Julia,unchanged,37,173,37,173,0,0,01/20/2015
608124003400,Shenandoah,unchanged,19,13,19,13,0,0,06/04/2008
608124003401,Shenandoah,unchanged,109,27,109,27,0,0,07/03/2008
608124003402,Shenandoah,unchanged,72,74,72,74,0,0,11/11/2008
608124003800,Cascade Chinook,unchanged,209,245,209,245,0,0,11/06/2008
608124004400,Jack St Malo,unchanged,2,2,2,2,0,0,07/19/2009
608124004600,Cascade Chinook,unchanged,25,19,25,19,0,0,11/27/2009
608124004601,Cascade Chinook,unchanged,28,9,28,9,0,0,01/08/2010
608124004602,Cascade Chinook,unchanged,13,90,13,90,0,0,02/11/2010
608124004700,Cascade Chinook,unchanged,176,18,176,18,0,0,11/25/2009
608124004701,Cascade Chinook,unchanged,65,175,65,175,0,0,04/13/2012
608124005000,Jack St Malo,unchanged,95,245,95,245,0,0,11/13/2011
608124005100,Jack St Malo,unchanged,39,8,39,8,0,0,04/03/2012
608124005101,Jack St Malo,unchanged,1,9,1,9,0,0,05/17/2012
608124005102,Jack St Malo,unchanged,3,7,3,7,0,0,05/24/2012
608124005103,Jack St Malo,unchanged,32,102,32,102,0,0,06/02/2012
608124005200,Jack St Malo,unchanged,24,14,24,14,0,0,11/06/2011
608124005201,Jack St Malo,unchanged,50,114,50,114,0,0,08/10/2015
608124005202,Jack St Malo,unchanged,8,47,8,47,0,0,09/12/2016
608124005203,Jack St Malo,unchanged,30,66,30,66,0,0,10/30/2016
608124005300,Jack St Malo,unchanged,72,116,72,116,0,0,11/21/2011
608124005400,Jack St Malo,unchanged,61,80,61,80,0,0,11/22/2011
608124005500,Jack St Malo,unchanged,65,25,65,25,0,0,11/23/2011
608124005600,Jack St Malo,unchanged,111,248,111,248,0,0,11/26/2011
608124005700,Jack St Malo,unchanged,82,122,82,122,0,0,12/03/2011
608124005800,Jack St Malo,unchanged,44,105,44,105,0,0,12/05/2011
608124005900,Big Foot,unchanged,0,0,0,0,0,0,
608124006000,Big Foot,unchanged,76,138,76,138,0,0,12/10/2011
608124006001,Big Foot,unchanged,15,156,15,156,0,0,03/10/2019
608124006200,Big Foot,unchanged,126,265,126,265,0,0,04/03/2012
608124006300,Big Foot,unchanged,0,0,0,0,0,0,
608124006301,Big Foot,unchanged,0,0,0,0,0,0,
608124006302,Big Foot,unchanged,13,168,13,168,0,0,07/11/2024
608124006400,Big Foot,unchanged,0,0,0,0,0,0,
608124006401,Big Foot,unchanged,0,0,0,0,0,0,
608124006402,Big Foot,unchanged,0,0,0,0,0,0,
608124006403,Big Foot,unchanged,0,0,0,0,0,0,
608124006404,Big Foot,late_data,0,0,28,123,28,123,05/06/2025
608124006500,Big Foot,unchanged,63,86,63,86,0,0,05/23/2012
608124006600,Big Foot,unchanged,112,38,112,38,0,0,04/12/2012
608124006601,Big Foot,unchanged,0,22,0,22,0,0,01/04/2020
608124006602,Big Foot,unchanged,11,17,11,17,0,0,01/19/2020
608124006603,Big Foot,servicing_accrual,18,224,18,259,0,35,02/12/2020
608124006700,Big Foot,unchanged,98,102,98,102,0,0,05/17/2012
608124006800,Big Foot,servicing_accrual,118,164,118,210,0,46,01/22/2013
608124006900,Big Foot,unchanged,0,0,0,0,0,0,
608124007000,Big Foot,unchanged,0,0,0,0,0,0,
608124007100,Big Foot,unchanged,66,22,66,22,0,0,04/13/2012
608124007101,Big Foot,unchanged,7,16,7,16,0,0,02/05/2021
608124007102,Big Foot,unchanged,90,129,90,129,0,0,02/21/2021
608124007103,Big Foot,unchanged,14,69,14,69,0,0,09/18/2023
608124007200,Big Foot,unchanged,0,0,0,0,0,0,
608124007300,Big Foot,unchanged,0,0,0,0,0,0,
608124007400,Big Foot,unchanged,0,0,0,0,0,0,
608124007500,Shenandoah,unchanged,69,8,69,8,0,0,06/29/2012
608124007700,Stones,unchanged,123,49,123,49,0,0,06/20/2012
608124007900,Shenandoah,unchanged,134,49,134,49,0,0,09/17/2012
608124008200,Cascade Chinook,unchanged,3,9,3,9,0,0,12/18/2012
608124008300,Cascade Chinook,unchanged,222,128,222,128,0,0,01/01/2013
608124008700,Stones,unchanged,71,24,71,24,0,0,11/10/2013
608124009200,Stones,unchanged,39,4,39,4,0,0,02/15/2014
608124009201,Stones,unchanged,81,12,81,12,0,0,04/01/2014
608124009300,Shenandoah,unchanged,163,36,163,36,0,0,05/29/2014
608124009301,Shenandoah,unchanged,12,14,12,14,0,0,12/07/2014
608124009400,Julia,unchanged,116,143,116,143,0,0,07/10/2014
608124009500,Stones,unchanged,155,152,155,152,0,0,07/24/2014
608124009700,Cascade Chinook,unchanged,94,311,94,311,0,0,12/07/2014
608124009900,Stones,unchanged,79,101,79,101,0,0,03/18/2015
608124010100,Shenandoah,unchanged,94,16,94,16,0,0,05/26/2015
608124010101,Shenandoah,unchanged,38,16,38,16,0,0,09/08/2015
608124010102,Shenandoah,unchanged,49,13,49,13,0,0,10/26/2015
608124010103,Shenandoah,unchanged,12,15,12,15,0,0,12/21/2015
608124010200,Julia,unchanged,83,29,83,29,0,0,10/21/2015
608124010300,Stones,unchanged,1,10,1,10,0,0,08/01/2015
608124010400,Stones,unchanged,88,117,88,117,0,0,08/07/2015
608124010500,Stones,unchanged,1,15,1,15,0,0,08/12/2015
608124010700,Jack St Malo,unchanged,24,7,24,7,0,0,10/29/2015
608124010701,Jack St Malo,unchanged,29,94,29,94,0,0,11/27/2015
608124010800,Julia,unchanged,138,130,138,130,0,0,02/13/2016
608124010900,Shenandoah,unchanged,113,44,113,44,0,0,03/14/2016
608124011000,Stones,unchanged,77,24,77,24,0,0,05/12/2016
608124011001,Stones,unchanged,23,112,23,112,0,0,08/16/2016
