grain,api12,api10,well_name,drilling_days,completion_days,pnd_days,ta_days,war_days_total,war_weeks,days_status,max_md_ft,max_tvd_ft,max_mud_ppg,drilling_days_additive,completion_days_additive,overlap_days,war_feed_start,war_feed_end,war_first_material_month,war_returns_before_1998
bore,608124001500,6081240015,001,72,0,0,47,121,19,war_covered,28639,28638,16,,,,,,,
bore,608124002200,6081240022,002,7,0,0,0,16,4,war_covered,12600,12600,12,,,,,,,
bore,608124007700,6081240077,001,119,0,24,26,178,28,war_covered,29571,28076,14.1,,,,,,,
bore,608124008700,6081240087,004,70,0,9,0,104,16,war_covered,17434,16633,13,,,,,,,
bore,608124009200,6081240092,005,38,0,7,0,45,7,war_covered,20525,18865,16.2,,,,,,,
bore,608124009201,6081240092,005,77,0,0,0,95,14,war_covered,25585,22869,11.1,,,,,,,
bore,608124009500,6081240095,SN105,151,91,49,17,308,45,war_covered,31225,28306,14,,,,,,,
bore,608124009900,6081240099,SN109,70,51,56,6,183,28,war_covered,30853,28333,14.1,,,,,,,
bore,608124010300,6081240103,009,6,0,0,0,16,3,war_covered,11231,11230,9.5,,,,,,,
bore,608124010400,6081240104,SN208,71,77,14,49,225,37,war_covered,27840,27326,14,,,,,,,
bore,608124010500,6081240105,008,3,0,0,5,17,4,war_covered,11242,11242,8.6,,,,,,,
bore,608124011000,6081240110,011,75,0,21,0,103,15,war_covered,29050,28125,13.7,,,,,,,
bore,608124011001,6081240110,SN110,7,76,21,26,137,22,war_covered,28075,27228,14,,,,,,,
bore,608124011200,6081240112,SN206,63,61,7,0,164,27,war_covered,30717,27172,14.3,,,,,,,
bore,608124011700,6081240117,SN207,56,32,14,0,102,15,war_covered,31080,28179,14,,,,,,,
bore,608124012300,6081240123,SN213,38,34,42,0,148,23,war_covered,30131,28272,13.9,,,,,,,
bore,608124012900,6081240129,SN115,42,41,16,0,110,19,war_covered,28684,27488,13.9,,,,,,,
bore,608124013400,6081240134,SN216,35,40,8,0,99,16,war_covered,28283,27595,13.9,,,,,,,
bore,608124013700,6081240137,SN114,49,0,7,0,93,14,war_covered,29795,26641,14.2,,,,,,,
bore,608124013701,6081240137,SN114,7,45,35,0,89,14,war_covered,29878,27023,14.2,,,,,,,
bore,608124014300,6081240143,SN219,49,0,8,7,70,11,war_covered,28917,27932,13.7,,,,,,,
bore,608124014301,6081240143,SN219,0,26,28,0,54,9,war_covered,28630,27522,13.9,,,,,,,
meta,,,war_feed,,,,,,,,,,,,,,1988-04,2026-02,1997-10,867
well,,6081240015,1 bore(s): 00,72,0,0,,121,0,war_covered,,,,72,0,0,,,,
well,,6081240022,1 bore(s): 00,7,0,0,,16,0,war_covered,,,,7,0,0,,,,
well,,6081240077,1 bore(s): 00,119,0,24,,178,0,war_covered,,,,119,0,0,,,,
well,,6081240087,1 bore(s): 00,70,0,9,,104,0,war_covered,,,,70,0,0,,,,
well,,6081240092,"2 bore(s): 00,01",115,0,7,,140,0,war_covered,,,,115,0,0,,,,
well,,6081240095,1 bore(s): 00,151,91,49,,308,0,war_covered,,,,151,91,0,,,,
well,,6081240099,1 bore(s): 00,70,51,56,,183,0,war_covered,,,,70,51,0,,,,
well,,6081240103,1 bore(s): 00,6,0,0,,16,0,war_covered,,,,6,0,0,,,,
well,,6081240104,1 bore(s): 00,71,77,14,,225,0,war_covered,,,,71,77,0,,,,
well,,6081240105,1 bore(s): 00,3,0,0,,17,0,war_covered,,,,3,0,0,,,,
well,,6081240110,"2 bore(s): 00,01",82,76,42,,233,0,war_covered,,,,82,76,7,,,,
well,,6081240112,1 bore(s): 00,63,61,7,,164,0,war_covered,,,,63,61,0,,,,
well,,6081240117,1 bore(s): 00,56,32,14,,102,0,war_covered,,,,56,32,0,,,,
well,,6081240123,1 bore(s): 00,38,34,42,,148,0,war_covered,,,,38,34,0,,,,
well,,6081240129,1 bore(s): 00,42,41,16,,110,0,war_covered,,,,42,41,0,,,,
well,,6081240134,1 bore(s): 00,35,40,8,,99,0,war_covered,,,,35,40,0,,,,
well,,6081240137,"2 bore(s): 00,01",56,45,42,,175,0,war_covered,,,,56,45,7,,,,
well,,6081240143,"2 bore(s): 00,01",49,26,36,,117,0,war_covered,,,,49,26,7,,,,
