Project Name,DEV_SYSTEM,FO Month,TOTAL OIL BBL,Host_CAPEX_USD,SURF_USD,Booster_Pump_USD,Water_Injection_Pump_USD,Dry_Well_System_USD,Facilities Cost USD,DRILLING_COST_USD,COMPLETION_COST_USD,DnC_Total_USD,Revenue_USD,Royalty_USD,Variable_OPEX_USD,Fixed_OPEX_USD,Net_CashFlow_USD,NPV_USD,MIRR_monthly,MIRR_annual
Anchor,subsea20,2024-08-01,18562603,800000000,1050000000,0,0,0,1950000000,656800000,1104400000,1761200000,1335958340.3,250492188.80625,148500824,262500000,-3036734672.506249,-1389655712.205039,-0.005747278148249935,-0.06682850773013671
Big Foot,dry,2018-11-01,78182482,1500000000,0,0,0,720000000,2320000000,988000000,913500000,1901500000,5586939410.69,1047551139.504375,312729928,900000000,-894841656.8143749,-878257738.4439859,0.00392330600125379,0.04810896935107523
Buckskin,tieback15,2018-08-01,72879824,80000000,1000000000,250000000,0,0,1530000000,834400000,810400000,1644800000,5203463969.21,975649494.2268751,437278944,518750000,76618569.47666836,-541424990.2080374,0.005386074260451457,0.06658233260763291
Cascade Chinook,subsea15,2012-09-01,39651847,900000000,600000000,0,0,0,1600000000,964000000,1009600000,1973600000,2789852494.9,523097342.7937501,237911082,2037500000,-3582255929.89375,-1474596716.244775,-0.001295233042459043,-0.01543254967179108
Jack St Malo,subsea15,2006-08-01,438899461,900000000,6000000000,500000000,350000000,0,7850000000,2452000000,3185600000,5637600000,28035025961.39,5256567367.760625,2633396766,1750000000,3876894843.827209,-3912773080.805978,0.004534635721535007,0.05579350626061097
Julia,tieback15,2016-03-01,77475653,80000000,1000000000,250000000,0,0,1530000000,641600000,708000000,1349600000,5197319399.29,974497387.366875,464853918,762500000,91535794.1992693,-558376630.4990904,0.005297220244344647,0.065451733241074
Kaskida,subsea20,,0,0,0,0,0,0,0,611600000,313500000,925100000,0.0,0.0,0,0,-925100000.0,-625020726.744186,,
North Platte,subsea20,,0,0,0,0,0,0,0,742500000,325600000,1068100000,0.0,0.0,0,0,-1068100000.0,-783522050.8193302,,
Shenandoah,subsea20,2025-02-01,21176508,800000000,1400000000,0,0,0,2300000000,1090400000,1107700000,2198100000,1587553757.07,297666329.450625,169412064,137500000,-3515124636.380625,-1094014909.010077,-0.001197863223889928,-0.01428003396630317
Stones,subsea15,2016-09-01,89038434,900000000,2400000000,250000000,175000000,0,3825000000,1165600000,934400000,2100000000,5979097095.57,1121080705.419375,534230604,1412500000,-3013714213.849376,-1383347869.265982,0.002575367227125369,0.03134593252644247
Tiber,subsea20,,0,0,0,0,0,0,0,235400000,39600000,275000000,0.0,0.0,0,0,-275000000.0,-227969015.4623905,,
