field,surf_lease_num,water_depth_ft,api_well_number,well_name,spud_date,total_depth_date,drilling_days,completion_days,max_bh_total_md_ft,max_well_bore_tvd_ft,max_drill_fluid_wgt_ppg
Anchor,G31752,5080.0,608114062100.0,001,2014-03-16,2014-05-17,62.0,15.0,15356.0,15356.0,17.0
Anchor,G31752,5080.0,608114062101.0,001,2014-05-28,2014-06-14,17.0,59.0,25800.0,25797.0,17.0
Anchor,G31751,5080.0,608114066100.0,001,2016-01-26,2016-02-11,16.0,17.0,11249.0,11249.0,17.0
Anchor,G31751,5080.0,608114066101.0,001,2016-02-26,2016-06-18,113.0,49.0,34022.0,33910.0,18.5
Anchor,G31752,5080.0,608114063500.0,002,2014-08-12,2014-11-28,108.0,65.0,33750.0,33749.0,16.8
Anchor,G31752,5080.0,608114063501.0,002,2015-07-09,2015-07-28,19.0,19.0,33400.0,33397.0,16.2
Anchor,G31752,5080.0,608114063502.0,002,2015-08-14,2015-09-11,28.0,36.0,35210.0,34094.0,16.6
Anchor,G31752,5080.0,608114067300.0,003,2016-09-17,2016-11-07,51.0,34.0,28642.0,28359.0,16.8
Anchor,G31752,5080.0,608114067301.0,003,2016-12-04,2017-01-24,51.0,33.0,33660.0,33046.0,16.6
Anchor,G31752,5080.0,608114075000.0,AP001,2021-12-08,2022-03-14,96.0,260.0,33550.0,33399.0,19.1
Anchor,G31752,5080.0,608114075100.0,AP002,2022-11-16,2023-02-06,82.0,139.0,33683.0,33367.0,17.5
Anchor,G31752,5080.0,608114076100.0,AP004,,,,,,,
Anchor,G31752,5080.0,608114076900.0,AP005,,,,,,,
Anchor,G31751,5080.0,608114077400.0,BP003,2023-11-26,2024-05-15,171.0,276.0,34184.0,33539.0,19.0
Anchor,G31752,5080.0,608114072800.0,SB001,2019-11-19,2019-11-26,7.0,2.0,5441.0,5441.0,12.1
Big Foot,G16942,5190.0,608124001900.0,001,2005-07-26,2005-07-28,2.0,9.0,8150.0,8150.0,16.0
Big Foot,G16942,5190.0,608124002000.0,002,2005-08-09,2005-12-02,115.0,37.0,25933.0,25127.0,16.6
Big Foot,G16942,5190.0,608124002001.0,002,2006-01-01,2006-01-15,14.0,7.0,22196.0,21497.0,13.5
Big Foot,G16942,5190.0,608124002002.0,002,2006-01-15,2006-01-17,2.0,11.0,22832.0,22137.0,14.7
Big Foot,G16942,5190.0,608124002003.0,002,2006-03-23,2006-04-27,35.0,38.0,25750.0,24433.0,17.0
Big Foot,G16942,5190.0,608124002004.0,002,2006-06-03,2006-06-10,7.0,21.0,23270.0,22500.0,17.0
Big Foot,G16942,5190.0,608124002005.0,002,2008-11-25,2009-01-02,38.0,30.0,23677.0,22111.0,16.8
Big Foot,G16942,5190.0,608124002300.0,003,2006-11-03,2007-10-07,92.0,14.0,22145.0,22144.0,16.8
Big Foot,G16942,5190.0,608124002301.0,003,2007-10-15,2007-11-18,34.0,21.0,25300.0,25287.0,16.5
Big Foot,G16942,5190.0,608124002302.0,003,2007-12-04,2008-01-14,41.0,22.0,25133.0,23878.0,16.8
Big Foot,G16942,5190.0,608124006200.0,A001,2012-04-03,2012-08-07,126.0,265.0,24660.0,23187.0,16.4
Big Foot,G16942,5190.0,608124006302.0,A002,2024-07-11,2024-07-24,13.0,168.0,22263.0,21830.0,14.0
Big Foot,G16942,5190.0,608124006300.0,A002,,,,,,,
Big Foot,G16942,5190.0,608124006301.0,A002,,,,,,,
Big Foot,G16942,5190.0,608124006400.0,A003,,,,,,,
Big Foot,G16942,5190.0,608124006401.0,A003,,,,,,,
Big Foot,G16942,5190.0,608124006402.0,A003,,,,,,,
Big Foot,G16942,5190.0,608124006403.0,A003,,,,,,,
Big Foot,G16942,5190.0,608124006404.0,A003,,,,,,,
Big Foot,G16942,5190.0,608124006000.0,A004,2011-12-10,2012-02-24,76.0,138.0,22445.0,22241.0,16.0
Big Foot,G16942,5190.0,608124006001.0,A004,2019-03-10,2019-03-25,15.0,156.0,22511.0,22253.0,16.4
Big Foot,G16942,5190.0,608124006500.0,A005,2012-05-23,2023-04-16,63.0,86.0,26114.0,24961.0,17.0
Big Foot,G16942,5190.0,608124006600.0,A006,2012-04-12,2019-11-28,112.0,38.0,20956.0,19547.0,17.0
Big Foot,G16942,5190.0,608124006601.0,A006,2020-01-04,2020-01-04,,22.0,19684.0,18466.0,17.0
