,excel_sum,task8_sum,absolute_diff_sum,absolute_diff_mean,percent_diff_mean,max_absolute_diff,max_percent_diff
CAPEX_monthly,2600000000.0000014,2518749999.9999995,81250000.00000021,1477272.727272731,84.59504132231407,82727272.72727272,190.9090909090909
Cumulative_CAPEX,72799999999.99998,100782499999.99997,-27982499999.99996,-508772727.2727266,-34.372090622552165,992727272.7272729,63.63636363636365
Cumulative_NPV,0.0,-92909831481.1277,92909831481.1277,1689269663.293231,-100.0,2229134635.836368,100.0
Cumulative_OPEX,1982838521.7819939,117621440.42533244,1865217081.356661,33913037.84284838,1372.2922261671185,81777700.84367427,2031.7728550039512
Cumulative_cash_flow,-67721356966.64615,-100305849572.65657,32584492606.01043,592445320.1092806,-38.378685288389946,1016335216.826397,65.3133739441492
Cumulative_cash_flow_after_OPEX,5078643033.353833,-100423471013.08191,105502114046.43573,1918220255.3897405,-104.31694605245058,2755853290.8526106,109.97342050958511
Cumulative_revenue,7061481555.135845,476650427.3434246,6584831127.79242,119724202.32349855,1182.344190946981,318880991.69628304,1892.6644432060737
Daily_production_rate_BBL_per_day,188163.6928058871,8944.317946245057,179219.37485964212,3258.5340883571293,2124.3108423236213,4900.379968873797,3563.3709026811503
Monthly_production_BBL,5720176.2612989675,268329.53838735167,5451846.722911617,99124.48587112031,2153.9683202212696,149034.94193548386,3612.215848050231
Net_revenue_after_OPEX,249926605.94749227,12823315.094883487,237103290.85260877,4310968.924592887,2056.9135311053883,9277430.824412731,6942.450404804599
OPEX_monthly,85802643.91948454,4024943.0758102746,81777700.84367426,1486867.2880668046,2153.9683202212696,2235524.1290322584,3612.215848050232
Oil_price_USD,3113.14,3470.5784541049534,-357.43845410495373,-6.498880983726432,-8.294484765755017,38.09318064502339,69.78935154463767
Oil_sales,335729249.86697686,16848258.170693766,318880991.6962831,5797836.212659692,2063.0452343201578,11359527.479083745,5825.939620986825
Wells_producing,1294.0,1412.0,-118.0,-2.1454545454545455,-8.032283352025393,6.0,22.22222222222222
Wells_total,1294.0,1504.0,-210.0,-3.8181818181818183,-13.862427866380433,7.0,25.0
