LEASE_NUMBER,LEASE_NAME,DEV_NAME,DEV_SYSTEM,PRODUCTION_DATE,OIL_BBLS,GAS_MCF,WATER_BBLS,OIL_RATE_BOPD,GAS_RATE_MCFD,CUMULATIVE_OIL_MMBBL,CUMULATIVE_GAS_BCF,ACTIVE_WELL_COUNT
G16942,Big Foot,Big Foot,dry,200606,0,0,0,0.0,0.0,0.0,0.0,2
G16942,Big Foot,Big Foot,dry,200607,0,0,0,0.0,0.0,0.0,0.0,1
G16942,Big Foot,Big Foot,dry,200608,0,0,0,0.0,0.0,0.0,0.0,1
G16942,Big Foot,Big Foot,dry,200609,0,0,0,0.0,0.0,0.0,0.0,1
G16942,Big Foot,Big Foot,dry,200610,0,0,0,0.0,0.0,0.0,0.0,1
G16942,Big Foot,Big Foot,dry,200611,0,0,0,0.0,0.0,0.0,0.0,2
G16942,Big Foot,Big Foot,dry,200612,0,0,0,0.0,0.0,0.0,0.0,2
G16942,Big Foot,Big Foot,dry,200701,0,0,0,0.0,0.0,0.0,0.0,2
G16942,Big Foot,Big Foot,dry,200702,0,0,0,0.0,0.0,0.0,0.0,2
G16942,Big Foot,Big Foot,dry,200703,0,0,0,0.0,0.0,0.0,0.0,2
G16942,Big Foot,Big Foot,dry,200704,0,0,0,0.0,0.0,0.0,0.0,2
G16942,Big Foot,Big Foot,dry,200705,0,0,0,0.0,0.0,0.0,0.0,2
G16942,Big Foot,Big Foot,dry,200706,0,0,0,0.0,0.0,0.0,0.0,2
G16942,Big Foot,Big Foot,dry,200707,0,0,0,0.0,0.0,0.0,0.0,2
G16942,Big Foot,Big Foot,dry,200708,0,0,0,0.0,0.0,0.0,0.0,2
G16942,Big Foot,Big Foot,dry,200709,0,0,0,0.0,0.0,0.0,0.0,2
G16942,Big Foot,Big Foot,dry,200710,0,0,0,0.0,0.0,0.0,0.0,2
G16942,Big Foot,Big Foot,dry,200711,0,0,0,0.0,0.0,0.0,0.0,1
G16942,Big Foot,Big Foot,dry,200712,0,0,0,0.0,0.0,0.0,0.0,2
G16942,Big Foot,Big Foot,dry,200801,0,0,0,0.0,0.0,0.0,0.0,2
G16942,Big Foot,Big Foot,dry,200802,0,0,0,0.0,0.0,0.0,0.0,2
G16942,Big Foot,Big Foot,dry,200803,0,0,0,0.0,0.0,0.0,0.0,2
G16942,Big Foot,Big Foot,dry,200804,0,0,0,0.0,0.0,0.0,0.0,2
G16942,Big Foot,Big Foot,dry,200805,0,0,0,0.0,0.0,0.0,0.0,2
G16942,Big Foot,Big Foot,dry,200806,0,0,0,0.0,0.0,0.0,0.0,2
G16942,Big Foot,Big Foot,dry,200807,0,0,0,0.0,0.0,0.0,0.0,2
G16942,Big Foot,Big Foot,dry,200808,0,0,0,0.0,0.0,0.0,0.0,2
G16942,Big Foot,Big Foot,dry,200809,0,0,0,0.0,0.0,0.0,0.0,2
G16942,Big Foot,Big Foot,dry,200810,0,0,0,0.0,0.0,0.0,0.0,2
G16942,Big Foot,Big Foot,dry,200811,0,0,0,0.0,0.0,0.0,0.0,2
G16942,Big Foot,Big Foot,dry,200812,0,0,0,0.0,0.0,0.0,0.0,2
G16942,Big Foot,Big Foot,dry,200901,0,0,0,0.0,0.0,0.0,0.0,3
G16942,Big Foot,Big Foot,dry,200902,0,0,0,0.0,0.0,0.0,0.0,3
G16942,Big Foot,Big Foot,dry,200903,0,0,0,0.0,0.0,0.0,0.0,3
G16942,Big Foot,Big Foot,dry,200904,0,0,0,0.0,0.0,0.0,0.0,3
G16942,Big Foot,Big Foot,dry,200905,0,0,0,0.0,0.0,0.0,0.0,3
G16942,Big Foot,Big Foot,dry,200906,0,0,0,0.0,0.0,0.0,0.0,3
G16942,Big Foot,Big Foot,dry,200907,0,0,0,0.0,0.0,0.0,0.0,3
G16942,Big Foot,Big Foot,dry,200908,0,0,0,0.0,0.0,0.0,0.0,3
G16942,Big Foot,Big Foot,dry,200909,0,0,0,0.0,0.0,0.0,0.0,3
G16942,Big Foot,Big Foot,dry,200910,0,0,0,0.0,0.0,0.0,0.0,3
G16942,Big Foot,Big Foot,dry,200911,0,0,0,0.0,0.0,0.0,0.0,3
G16942,Big Foot,Big Foot,dry,200912,0,0,0,0.0,0.0,0.0,0.0,3
