API_WELL_NUMBER,BOTM_LEASE_NUM,WELL_SPUD_DATE,TOTAL_DEPTH_DATE,BOREHOLE_STAT_DT,BH_TOTAL_MD,WELL_BORE_TVD
608124000800,G16965,1/31/2002,4/14/2002,4/23/2002,26710,26685
608124000801,G16965,4/23/2002,5/16/2002,6/4/2002,27929,27908
608124001000,G16997,1/13/2003,6/19/2003,1/5/2014,27652,27626
608124001500,G17001,12/31/2004,3/10/2005,10/23/2017,28639,28638
608124001600,G16965,3/19/2005,5/29/2005,10/9/2005,30213,28000
608124001601,G16970,10/9/2005,11/24/2005,12/24/2021,28565,26575
608124002200,G17001,8/2/2006,8/2/2006,10/23/2017,12600,12600
608124002900,G18753,8/17/2007,2/5/2008,3/29/2021,28459,28458
608124003300,G20351,2/17/2008,5/23/2008,1/20/2015,30955,30951
608124003301,G20351,1/20/2015,2/26/2015,7/12/2015,30483,30453
608124003800,G16970,11/6/2008,6/3/2009,5/3/2010,27019,26804
608124004600,G16997,11/27/2009,12/22/2009,1/8/2010,21695,21671
608124004601,G16997,1/8/2010,2/5/2010,2/10/2010,25077,25022
608124004602,G16997,2/11/2010,2/24/2010,5/21/2010,26378,26222
608124004700,G16965,11/25/2009,3/28/2012,4/13/2012,19400,19348
608124004701,G16970,4/13/2012,6/17/2012,12/4/2012,27243,26493
608124005600,G21245,11/26/2011,3/16/2012,9/5/2012,28276,28049
608124005700,G21245,12/3/2011,5/4/2013,2/7/2015,29325,28367
608124005800,G21245,12/5/2011,9/21/2015,4/6/2016,28692,28195
608124007700,G18730,6/20/2012,10/21/2012,10/23/2017,29571,28076
608124008200,G16965,12/18/2012,12/21/2012,12/27/2012,11967,11967
608124008300,G16965,1/1/2013,8/11/2013,12/16/2013,27460,26969
608124008700,G17001,11/10/2013,1/20/2014,1/27/2014,17434,16633
608124009200,G17001,2/15/2014,3/26/2014,4/1/2014,20525,18865
608124009201,G17001,4/1/2014,6/21/2014,7/2/2014,25585,22868
608124009400,G20351,7/10/2014,11/3/2014,10/7/2015,30944,30685
608124009500,G17001,7/24/2014,12/26/2014,1/12/2016,31225,28307
608124009700,G16997,12/7/2014,3/11/2015,7/15/2018,26480,26263
608124009900,G17001,3/18/2015,6/5/2015,10/12/2015,30853,28333
608124010200,G20351,10/21/2015,1/12/2016,8/28/2019,31400,30815
608124010300,G17001,8/1/2015,8/2/2015,12/16/2016,11231,11230
608124010400,G17001,8/7/2015,2/20/2017,5/8/2021,27840,27326
608124010500,G17001,8/12/2015,8/13/2015,2/13/2016,11226,11226
608124010800,G20351,2/13/2016,6/30/2016,11/26/2017,31315,30310
608124011000,G17001,5/12/2016,7/28/2016,8/16/2016,29050,28126
608124011001,G17001,8/16/2016,9/8/2016,6/2/2021,28075,27228
608124011100,G20351,9/3/2016,10/25/2016,1/24/2017,22195,21096
608124011101,G25251,1/24/2017,5/26/2017,9/2/2017,31472,28961
608124011200,G32690,12/8/2016,8/21/2017,9/17/2017,30717,27172
608124011400,G21245,12/17/2016,2/12/2017,5/8/2017,29401,28265
608124011700,G17001,4/2/2017,6/3/2017,7/12/2017,31080,28179
608124011800,G18753,5/16/2017,6/11/2017,6/15/2017,12847,12846
608124011801,G21245,6/15/2017,9/4/2017,12/24/2017,31071,28536
608124012200,G21245,1/5/2018,2/21/2018,6/5/2018,30612,28533
608124012300,G17001,4/6/2018,5/15/2018,7/27/2018,30131,28272
608124012700,G20351,5/10/2019,9/26/2019,10/29/2019,33077,30334
608124012701,G20351,10/29/2019,11/17/2019,2/20/2020,31910,29185
608124012900,G17001,10/22/2019,4/23/2020,6/12/2020,28681,27488
608124013400,G17001,12/9/2020,2/27/2021,4/11/2021,28283,27595
608124013600,G21245,4/11/2021,5/27/2021,8/5/2021,31295,28590
608124013700,G17001,8/17/2021,1/20/2022,2/4/2022,29795,26635
608124013701,G17001,2/4/2022,2/8/2022,4/19/2022,29878,27023
608124014300,G17001,12/19/2022,2/2/2023,2/13/2023,28917,27933
608124014301,G17001,2/14/2023,2/16/2023,3/16/2023,28630,27522
608124015100,G18753,10/14/2023,11/21/2023,1/15/2024,28695,28015
